"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",3.23835965051514,0,0
"RCP2.6_SFM","noAFM",3.23846831176783,0,0
"REF_MFM","noAFM",4.40631187025233,0,0
"REF_SFM","noAFM",4.40633553678391,0,0
"RCP2.6_MFM","AFMfree",3.23769594171738,0,0
"RCP2.6_SFM","AFMfree",3.23771885831779,0,0
"REF_MFM","AFMfree",4.40520485233868,0,0
"REF_SFM","AFMfree",4.40540482653671,0,0
"RCP2.6_MFM","AFM25",3.23701023170085,0,0
"RCP2.6_SFM","AFM25",3.23706848776312,0,0
"REF_MFM","AFM25",4.40528149044424,0,0
"REF_SFM","AFM25",4.40513351640877,0,0
"RCP2.6_MFM","AFM50",3.23660738435421,0,0
"RCP2.6_SFM","AFM50",3.23872639260585,0,0
"REF_MFM","AFM50",4.40507585631836,0,0
"REF_SFM","AFM50",4.407397403744,0,0
"RCP2.6_MFM","AFM75",3.23757873033178,0,0
"RCP2.6_SFM","AFM75",3.23779362023339,0,0
"REF_MFM","AFM75",4.40614475978207,0,0
"REF_SFM","AFM75",4.40761989612292,0,0
"RCP2.6_MFM","AFM100",3.23721144389226,0,0
"RCP2.6_SFM","AFM100",3.23918056502671,0,0
"REF_MFM","AFM100",4.4064453654706,0,0
"REF_SFM","AFM100",4.40924688826568,0,0
