"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.141689504981363,0,0
"RCP2.6_SFM","noAFM",0.141694429114583,0,0
"REF_MFM","noAFM",0.163170986047692,0,0
"REF_SFM","noAFM",0.16317484216035,0,0
"RCP2.6_MFM","AFMfree",0.141464932446071,0,0
"RCP2.6_SFM","AFMfree",0.141460266130268,0,0
"REF_MFM","AFMfree",0.162950606524846,0,0
"REF_SFM","AFMfree",0.162970277099369,0,0
"RCP2.6_MFM","AFM25",0.141448456595047,0,0
"RCP2.6_SFM","AFM25",0.141530847607041,0,0
"REF_MFM","AFM25",0.162970565258037,0,0
"REF_SFM","AFM25",0.163038649349309,0,0
"RCP2.6_MFM","AFM50",0.141464886112358,0,0
"RCP2.6_SFM","AFM50",0.141756179829075,0,0
"REF_MFM","AFM50",0.162982521377752,0,0
"REF_SFM","AFM50",0.16325677824389,0,0
"RCP2.6_MFM","AFM75",0.141551730999652,0,0
"RCP2.6_SFM","AFM75",0.1418426627152,0,0
"REF_MFM","AFM75",0.163051485910569,0,0
"REF_SFM","AFM75",0.163389676761419,0,0
"RCP2.6_MFM","AFM100",0.141599265936276,0,0
"RCP2.6_SFM","AFM100",0.142021981555762,0,0
"REF_MFM","AFM100",0.163121448671015,0,0
"REF_SFM","AFM100",0.163631550492654,0,0
