"Group","Scenario","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_SelectionSystem_im_median","For_SelectionSystem_ex_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP2.6_MFM","noAFM",0.000113657580295232,0.00086019052053668,0.000795510233390221,0.00022576022373593,0.0184404857786699,0.0157969697142445,0.0366084311996537,0.00883526525416264,0.000291601910628497,0.00021239322900596,7.91421831438496e-05,0,0.00083360536451778,0,0,1.67358423258854e-06,0,0,0,0.000201093086754912,0.000150650635760133,0.0228064190525522,0.000454250589882271,4.61994305027771e-05,0.00557687922318115,0.00268932813180455,0,0.00270374468693816,0,0.0239662533677694
"RCP2.6_SFM","noAFM",0.000113656217967543,0.00086018471666199,0.000795474817444971,0.00022575648661334,0.0184421224163937,0.0157970602213548,0.0366092522829258,0.00883529591423104,0.000291634162967333,0.000212675702874441,7.91304809359307e-05,0,0.000842445368753722,0,0,1.67118640301301e-06,0,0,0,0.000201089778506107,0.000150643337411791,0.0228066865747774,0.000451812301637342,4.61982530737713e-05,0.00557692275910995,0.00268887239507702,0,0.00270336509869327,0,0.023962478640769
"REF_MFM","noAFM",0.000828055135729216,0.000882024980272651,0.000901803096443644,0.000240508885941383,0.0344617165833222,0.016304784012467,0.0745915708436626,0.00907447265496365,0.000187758828483941,0.000202715085140627,8.03173917486502e-05,0,0.000571486461899012,0,0,9.1493758111061e-06,0,0,0,2.3310367489957e-05,5.94340764232183e-05,0.00208946075591811,4.87830153561766e-05,0,0.0031273623848331,0.00314615067125214,0,0.00158181152623381,0,0.0147583099142999
"REF_SFM","noAFM",0.000827841450979204,0.000882016866843859,0.000901803716910624,0.000240499267365571,0.0344607915590108,0.0163049952937189,0.0745898624946,0.00907454032829281,0.000187839813979007,0.000201659745658766,8.0328371634987e-05,0,0.000583195249567466,0,0,9.1386687302387e-06,0,0,0,2.33108755927531e-05,5.95747234814365e-05,0.00208946097138936,5.16126651968838e-05,0,0.00312739614891867,0.00314563158965558,0,0.00158179107426838,0,0.0147515512845544
"RCP2.6_MFM","AFMfree",0.000114503811378384,0.000855887708206879,0.000794563963895079,0.000224248428652633,0.0184607038880224,0.0157906810360479,0.0366202108200908,0.00883422336050424,0.000223887352011094,0.000153678023138103,8.0154666802004e-05,8.01336329252262e-06,0.000607057113937255,0,0,2.26084124001334e-06,0,0,0,0.000199371508987,0.000143692613568681,0.0228008423994888,0.000407814993864167,4.59178330253063e-05,0.00557556919932008,0.00269772377983168,0,0.00271854797387286,0,0.024105377766893
"RCP2.6_SFM","AFMfree",0.000114176956839704,0.000855938604079039,0.000794613979382076,0.000224216050802743,0.018471617738376,0.0157904771278641,0.0366266166155738,0.00883416280131867,0.00022478327599615,0.000156426659184977,7.97720850771977e-05,7.99120003652643e-06,0.000602969553130522,0,0,1.96059616545754e-06,0,0,0,0.000199355868826717,0.000143207489746763,0.0228005824410023,0.000387156622337685,4.59187857733339e-05,0.00557550523881546,0.00269686064627118,0,0.00271874066249475,0,0.0241072151311725
"REF_MFM","AFMfree",0.000824740192871101,0.00087818705132718,0.000900317144427772,0.000239319282096268,0.0344530582212681,0.0162970702141099,0.074572012732431,0.00907279635556995,0.000146685648113225,0.000133566581220752,8.2486629242907e-05,5.35963078015986e-06,0.00035740987278912,0,0,8.16740398869958e-06,0,0,0,2.31818456089289e-05,5.6008125079857e-05,0.00208871103123492,5.14101421696144e-05,0,0.00312711085552734,0.00316796144806434,0,0.00159487315524121,0,0.0148701729616838
"REF_SFM","AFMfree",0.000826312738609122,0.000879304575629933,0.000901454006079291,0.000239737373593735,0.0344559952366149,0.0162972986904414,0.0745737370206965,0.00907287444356479,0.000155805962733177,0.00013578197933407,8.02881205450903e-05,5.40963439029653e-06,0.00037309422380345,0,0,6.26511565574805e-06,0,0,0,2.31703851285908e-05,5.61985802560215e-05,0.00208877296250362,4.76228007168028e-05,0,0.00312713747635782,0.0031671805869995,0,0.00159432123997615,0,0.0148625139457387
"RCP2.6_MFM","AFM25",0.000112071461751532,0.000854916183017785,0.000792444523593247,0.000223948048896031,0.0184339933734095,0.0157903272664964,0.0366001916450597,0.00883420104730315,0.000206322816491038,0.000166112124938739,7.88318685902444e-05,6.3751403616728e-06,0.000608585661267317,0,0,5.38544806951023e-06,0,0,0,0.000199148367578148,0.000148315066005435,0.0228020695033704,0.000461512759438893,4.582549889635e-05,0.00557563346445009,0.00269722903934576,0,0.00271771625896435,0,0.0240873000277515
"RCP2.6_SFM","AFM25",0.000110480251304011,0.000855219386173458,0.000790775131044623,0.00022419794491601,0.0184063896500113,0.0157927239403082,0.0365800492924674,0.00883475044825981,0.000206424599795568,0.000195974640039631,8.07031479343204e-05,6.61191023741116e-06,0.00074782755453372,0,0,1.43370159953223e-06,0,0,0,0.000199263266634392,0.000154049800785713,0.0228056635951307,0.00052298622584096,4.58229996588445e-05,0.00557624357150656,0.00269091212546063,0,0.00271046525200198,0,0.0239918791713964
"REF_MFM","AFM25",0.00082628702026077,0.000880730174973772,0.000900717451762184,0.000239219879896553,0.0344561153925397,0.0162973999450002,0.0745732987455642,0.00907280317848178,0.000152121042891449,0.00013908626104583,8.11146630061541e-05,4.27394915580375e-06,0.000371765375240453,0,0,1.00098396959922e-05,0,0,0,2.31369204817476e-05,5.66999400034042e-05,0.00208882682880379,4.86378686390715e-05,0,0.0031271145595298,0.00316702718857884,0,0.00159360888943492,0,0.0148605701430506
"REF_SFM","AFM25",0.000827893574794394,0.000882406762152567,0.00090287776851495,0.000240123734955956,0.0344542507009495,0.0162989475888335,0.074576089315597,0.0090733001675766,0.000165672411023356,0.000182267690870672,8.1624080698989e-05,5.04499274448778e-06,0.000432515061912343,0,0,4.61862552506762e-06,0,0,0,2.31270413155658e-05,5.81053036104365e-05,0.00208906809824115,5.51178844456071e-05,0,0.00312723208642682,0.00315753876428422,0,0.00158819402184823,0,0.0148126336729876
"RCP2.6_MFM","AFM50",0.000110975590171596,0.000854208844032979,0.000790055350119436,0.000223598448166718,0.018408298777011,0.0157908698179357,0.0365806424252779,0.00883432808632056,0.000186669452322718,0.000186364028903781,7.79063402673446e-05,4.58122957119416e-06,0.0006528692369624,0,0,8.76802705894683e-06,0,0,0,0.000198979663170604,0.000152561535448056,0.0228037536278119,0.000517508742069603,4.57480476053707e-05,0.00557582733269418,0.00269393932361017,0,0.00271407214096268,0,0.0240523600448635
"RCP2.6_SFM","AFM50",0.000107320758616038,0.000854444267343946,0.000786955840002593,0.000223922252882417,0.0183531693665756,0.0157992607377186,0.0365522536592746,0.00883582328476881,0.000184874347486189,0.000249430196130024,8.3746125396079e-05,4.65175404192742e-06,0.00111124828625781,0,0,1.3521480282105e-06,0,0,0,0.00019911908008347,0.00016412209717764,0.0228150756273781,0.000639992416626512,4.57349945935975e-05,0.00557801164721906,0.00267911342104921,0,0.00268913395267462,0,0.0237974235677497
"REF_MFM","AFM50",0.000826644740350414,0.000881886458718929,0.000901692559394382,0.000239442578270746,0.0344527669294893,0.0162975565365614,0.0745729075861742,0.0090729453298963,0.000145635045211575,0.000160167380583331,7.99369048182343e-05,3.42988830109388e-06,0.000388597916704041,0,0,1.23294494250491e-05,0,0,0,2.31063074742726e-05,5.78369445278592e-05,0.00208888901528289,5.4164240971781e-05,0,0.00312714759094305,0.00316335428272685,0,0.00159099046810346,0,0.0148410932238225
"REF_SFM","AFM50",0.000824217238929923,0.00088116375654311,0.000899956723383212,0.00023986259881451,0.0344588229952846,0.0163084081257697,0.074599431803787,0.00907551357643694,0.000145841792696591,0.000238810994150839,8.53172674167328e-05,3.7978703783388e-06,0.000772210980534552,0,0,4.11837052307043e-06,0,0,0,2.30968164322941e-05,6.35645769342477e-05,0.002090171450758,6.18280124408496e-05,0,0.00312763560033454,0.00313183683939479,0,0.00157209612804913,0,0.0146490747248968
"RCP2.6_MFM","AFM75",0.000108173207460945,0.000856644100240413,0.000790117387344744,0.000224049583975232,0.0183900119295647,0.0157936721012503,0.0365710995470591,0.00883508476765746,0.000167979513129606,0.000200729812603676,7.71687561384914e-05,2.41649809656074e-06,0.000808677675216419,0,0,1.20882427804022e-05,0,0,0,0.000199477319741002,0.000159298829694152,0.0228074614052409,0.000558252725575381,4.57378415617225e-05,0.0055764482182031,0.00268838460179179,0,0.00270685768975262,0,0.0239718992455733
"RCP2.6_SFM","AFM75",0.000105375252082681,0.000853660730365446,0.000784080252002702,0.000223631049283607,0.0182970163757027,0.0158024682422708,0.0365076377258362,0.0088362807280961,0.000162976374613319,0.000311838252551247,8.88250683477609e-05,2.43500615143033e-06,0.00129360672107834,0,0,1.11254520742455e-06,0,0,0,0.000199139227315142,0.000170838803778633,0.0228198284450507,0.000764966613567747,4.56483195609591e-05,0.00557894327971834,0.00267148429982343,0,0.00267680244331804,0,0.0236440669594775
"REF_MFM","AFM75",0.000827491786149302,0.00088445094799617,0.000902539765901781,0.000239684750843153,0.0344562324473146,0.0162995102825667,0.0745804345061482,0.00907339303422235,0.000129531941737422,0.000174535488910072,7.91495730701846e-05,1.88661232702861e-06,0.000496468148440492,0,0,1.52573413679477e-05,0,0,0,2.30658626010551e-05,5.99122213300294e-05,0.00208910687205427,5.24352982337198e-05,0,0.00312721982222499,0.00315519219669061,0,0.00158584315208723,0,0.0147981438583521
"REF_SFM","AFM75",0.000817114345883287,0.00087885657177854,0.000897602595890052,0.000239746007098992,0.0344404749711789,0.0163125322716414,0.0746028662718847,0.00907669460314949,0.000115488168518631,0.000335494959669312,9.06965858616341e-05,2.4788053060605e-06,0.00104399181717559,0,0,4.04646741421352e-06,0,0,0,2.30459625900813e-05,7.04845422691117e-05,0.00209061764751067,9.42353831694846e-05,0,0.00312802834248772,0.00310374962184314,0,0.00155743710274452,0,0.0144639937163538
"RCP2.6_MFM","AFM100",0.000108497821195291,0.000861725064689974,0.000792910867436959,0.000224878091228422,0.0183525662467851,0.0157944482012215,0.0365499579500849,0.00883486228899938,0.00014820961663623,0.000232987067006432,7.70002407544604e-05,0,0.000852271206155938,0,0,1.55002639748755e-05,0,0,0,0.00020060894679129,0.000162390507454402,0.0228091066189164,0.000633440815216596,4.58164908687024e-05,0.0055766946841035,0.00268718540319264,0,0.00270074576457729,0,0.0239374617789862
"RCP2.6_SFM","AFM100",0.000103789364537501,0.000853203972332598,0.000781229289230197,0.000223372331767853,0.0182693728659767,0.0158080334225834,0.0364853031663863,0.00883754880750805,0.000142192305904746,0.000365427209813689,9.79634082256861e-05,0,0.00159905643686156,0,0,1.47044820572075e-07,0,0,0,0.000200402686532105,0.000178740524618025,0.0228266815374861,0.000840598168724411,4.55757986913519e-05,0.00558029645913176,0.00266033897696704,0,0.00266034289111191,0,0.0234623648865502
"REF_MFM","AFM100",0.000829636357991087,0.00088954650205044,0.000904797892634934,0.00023999927173312,0.0344525474079699,0.0163022040348286,0.0745823846764518,0.00907389426129678,0.000113009569254191,0.000209688650533457,7.89295501581773e-05,0,0.000599786228633286,0,0,1.83311867115077e-05,0,0,0,2.30920762190766e-05,6.27235578830202e-05,0.00208939262392873,6.32199277038525e-05,0,0.00312732738757821,0.00314449836060979,0,0.00157979477940943,0,0.0147366443674359
"REF_SFM","AFM100",0.000810473878600531,0.000877030499242438,0.000893874655147774,0.000238888088827638,0.0344245416638681,0.0163225927921066,0.0746133687537588,0.00907911300109871,9.2240721246236e-05,0.000417383531834356,9.93404915860977e-05,0,0.00144660931419521,0,0,3.62086572495197e-06,0,0,0,2.30315677620148e-05,7.60515936042043e-05,0.00209187324860579,0.000141298325923412,0,0.00312863245881102,0.00307157579425646,0,0.00153912650312811,0,0.0142408827433256
