"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",14.0621802945068,0,0,"2020"
"REF",14.0679356556968,0,0,"2020"
"RCP2.6",13.9372541673956,0,0,"2030"
"REF",14.6834356852944,0,0,"2030"
"RCP2.6",13.9980258616693,0,0,"2040"
"REF",15.1513919065815,0,0,"2040"
"RCP2.6",14.0225923233379,0,0,"2050"
"REF",15.5107799836261,0,0,"2050"
"RCP2.6",14.0120095414118,0,0,"2060"
"REF",15.8382191365075,0,0,"2060"
"RCP2.6",14.0614358766049,0,0,"2070"
"REF",16.0770476926387,0,0,"2070"
"RCP2.6",14.1938520287972,0,0,"2080"
"REF",16.2096155420208,0,0,"2080"
"RCP2.6",14.2759507734185,0,0,"2090"
"REF",16.2842334931945,0,0,"2090"
"RCP2.6",14.1689504981363,0,0,"2100"
"REF",16.3170986047692,0,0,"2100"
