"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",3.91452344260148,0,0,"2020"
"REF",3.91624881843954,0,0,"2020"
"RCP2.6",3.79415251639189,0,0,"2030"
"REF",4.0567179192506,0,0,"2030"
"RCP2.6",3.75792098027399,0,0,"2040"
"REF",4.16699185701465,0,0,"2040"
"RCP2.6",3.68945876325991,0,0,"2050"
"REF",4.25107806309113,0,0,"2050"
"RCP2.6",3.61274360894711,0,0,"2060"
"REF",4.32561955961482,0,0,"2060"
"RCP2.6",3.53703405266994,0,0,"2070"
"REF",4.37815289935095,0,0,"2070"
"RCP2.6",3.46232262886054,0,0,"2080"
"REF",4.40471885193831,0,0,"2080"
"RCP2.6",3.36413745113588,0,0,"2090"
"REF",4.41197803079637,0,0,"2090"
"RCP2.6",3.23835965051514,0,0,"2100"
"REF",4.40631187025233,0,0,"2100"
