"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.108412807190354,0,0
"RCP2.6_SFM","noAFM",0.110338277574521,0,0
"REF_MFM","noAFM",0.0930338368747534,0,0
"REF_SFM","noAFM",0.0933057282677672,0,0
"RCP2.6_MFM","AFMfree",0.0937100338751493,0,0
"RCP2.6_SFM","AFMfree",0.0964494409769703,0,0
"REF_MFM","AFMfree",0.0772009059825838,0,0
"REF_SFM","AFMfree",0.0779335568605579,0,0
"RCP2.6_MFM","AFM25",0.0966379724898733,0,0
"RCP2.6_SFM","AFM25",0.0949693532723641,0,0
"REF_MFM","AFM25",0.0768932553373113,0,0
"REF_SFM","AFM25",0.0815473871962763,0,0
"RCP2.6_MFM","AFM50",0.0965789584840598,0,0
"RCP2.6_SFM","AFM50",0.108223547701722,0,0
"REF_MFM","AFM50",0.0779693032086401,0,0
"REF_SFM","AFM50",0.0956246477085558,0,0
"RCP2.6_MFM","AFM75",0.0960934474755777,0,0
"RCP2.6_SFM","AFM75",0.123302698994285,0,0
"REF_MFM","AFM75",0.0823233659047857,0,0
"REF_SFM","AFM75",0.0998281370817418,0,0
"RCP2.6_MFM","AFM100",0.103527747664891,0,0
"RCP2.6_SFM","AFM100",0.147626322854793,0,0
"REF_MFM","AFM100",0.0849451136982786,0,0
"REF_SFM","AFM100",0.1150239872764,0,0
