"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.00628700518967794,0,0,"noAFM","2020"
"RCP2.6_SFM",0.00627896805191105,0,0,"noAFM","2020"
"REF_MFM",0.00637761575293488,0,0,"noAFM","2020"
"REF_SFM",0.0063921542886965,0,0,"noAFM","2020"
"RCP2.6_MFM",0.00632321534162143,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.00631900031783607,0,0,"AFMfree","2020"
"REF_MFM",0.00642801227207042,0,0,"AFMfree","2020"
"REF_SFM",0.00642317639118951,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.0063130601156935,0,0,"AFM25","2020"
"RCP2.6_SFM",0.00631430548549866,0,0,"AFM25","2020"
"REF_MFM",0.00640889945263951,0,0,"AFM25","2020"
"REF_SFM",0.00641979940426989,0,0,"AFM25","2020"
"RCP2.6_MFM",0.00629259546186528,0,0,"AFM50","2020"
"RCP2.6_SFM",0.0063045990605083,0,0,"AFM50","2020"
"REF_MFM",0.0064367359603671,0,0,"AFM50","2020"
"REF_SFM",0.00640343632585703,0,0,"AFM50","2020"
"RCP2.6_MFM",0.00628701720552591,0,0,"AFM75","2020"
"RCP2.6_SFM",0.00626342971043021,0,0,"AFM75","2020"
"REF_MFM",0.00642547671982302,0,0,"AFM75","2020"
"REF_SFM",0.00642363898810362,0,0,"AFM75","2020"
"RCP2.6_MFM",0.00627665437916682,0,0,"AFM100","2020"
"RCP2.6_SFM",0.00629196925396626,0,0,"AFM100","2020"
"REF_MFM",0.00639525936500406,0,0,"AFM100","2020"
"REF_SFM",0.00640578881575583,0,0,"AFM100","2020"
"RCP2.6_MFM",0.00738231058205056,0,0,"noAFM","2030"
"RCP2.6_SFM",0.007364030452047,0,0,"noAFM","2030"
"REF_MFM",0.00713082104895036,0,0,"noAFM","2030"
"REF_SFM",0.00716051865785846,0,0,"noAFM","2030"
"RCP2.6_MFM",0.00746897134694457,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.00716855504585778,0,0,"AFMfree","2030"
"REF_MFM",0.00716606883090064,0,0,"AFMfree","2030"
"REF_SFM",0.00714077942065433,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.00746586385065358,0,0,"AFM25","2030"
"RCP2.6_SFM",0.00721762946100306,0,0,"AFM25","2030"
"REF_MFM",0.00705020171010732,0,0,"AFM25","2030"
"REF_SFM",0.00720664910585717,0,0,"AFM25","2030"
"RCP2.6_MFM",0.00736297402786634,0,0,"AFM50","2030"
"RCP2.6_SFM",0.00745838794859067,0,0,"AFM50","2030"
"REF_MFM",0.00721571656354736,0,0,"AFM50","2030"
"REF_SFM",0.00716482809297811,0,0,"AFM50","2030"
"RCP2.6_MFM",0.00729489870330146,0,0,"AFM75","2030"
"RCP2.6_SFM",0.00798468907487819,0,0,"AFM75","2030"
"REF_MFM",0.00710779320566189,0,0,"AFM75","2030"
"REF_SFM",0.00778726117567375,0,0,"AFM75","2030"
"RCP2.6_MFM",0.00739744159237669,0,0,"AFM100","2030"
"RCP2.6_SFM",0.00886251450944162,0,0,"AFM100","2030"
"REF_MFM",0.00716774746390462,0,0,"AFM100","2030"
"REF_SFM",0.0085997102408977,0,0,"AFM100","2030"
"RCP2.6_MFM",0.0101174017599445,0,0,"noAFM","2040"
