"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Clear_cut",0.0292454006539537
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",0.000167520280435049
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0.0170981412994876
"RCP2.6_MFM","noAFM","EP_EU",0.0352668069420177
"RCP2.6_SFM","noAFM","Clear_cut",0.0292485759348802
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",0.000167278442652369
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0.0170863159722347
"RCP2.6_SFM","noAFM","EP_EU",0.0352656168327384
"REF_MFM","noAFM","Clear_cut",0.0188153250043629
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",0.000915742352767632
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0.0133554154483515
"REF_MFM","noAFM","EP_EU",0.00829869280384344
"REF_SFM","noAFM","Clear_cut",0.0188237366717709
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",0.000914658793775982
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0.0133701505063664
"REF_SFM","noAFM","EP_EU",0.00831282537292345
"RCP2.6_MFM","AFMfree","Clear_cut",0.0224753573462156
"RCP2.6_MFM","AFMfree","Retention",0.000801289433019975
"RCP2.6_MFM","AFMfree","Selection",0.000226885372510409
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0.0173968321592024
"RCP2.6_MFM","AFMfree","EP_EU",0.0343948067830557
"RCP2.6_SFM","AFMfree","Clear_cut",0.0225823062495496
"RCP2.6_SFM","AFMfree","Retention",0.00080158591011911
"RCP2.6_SFM","AFMfree","Selection",0.000197074875432399
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0.0173598666301393
"RCP2.6_SFM","AFMfree","EP_EU",0.03434691110892
"REF_MFM","AFMfree","Clear_cut",0.0147182282613241
"REF_MFM","AFMfree","Retention",0.000534853668102428
"REF_MFM","AFMfree","Selection",0.000816912229958389
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0.0135151973340988
"REF_MFM","AFMfree","EP_EU",0.00794142079640285
"REF_SFM","AFMfree","Clear_cut",0.0156686735877252
"REF_SFM","AFMfree","Retention",0.000541954669057142
"REF_SFM","AFMfree","Selection",0.000628177190288363
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0.0135753183479656
"REF_SFM","AFMfree","EP_EU",0.00795861333544073
"RCP2.6_MFM","AFM25","Clear_cut",0.0206993758728209
"RCP2.6_MFM","AFM25","Retention",0.00063764471100352
"RCP2.6_MFM","AFM25","Selection",0.000542304344986543
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",0.0173150387545952
"RCP2.6_MFM","AFM25","EP_EU",0.0348372955017183
"RCP2.6_SFM","AFM25","Clear_cut",0.0207536586569294
"RCP2.6_SFM","AFM25","Retention",0.000663892673892499
"RCP2.6_SFM","AFM25","Selection",0.000143455792068711
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",0.0171402144991274
"RCP2.6_SFM","AFM25","EP_EU",0.0354170940438043
"REF_MFM","AFM25","Clear_cut",0.0152488201338177
"REF_MFM","AFM25","Retention",0.000426385053155466
"REF_MFM","AFM25","Selection",0.00100381978615503
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",0.0134382103079028
"REF_MFM","AFM25","EP_EU",0.00800585768851255
"REF_SFM","AFM25","Clear_cut",0.016639722150134
"REF_SFM","AFM25","Retention",0.000505276228149893
"REF_SFM","AFM25","Selection",0.000463131828120361
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",0.013424739468036
"REF_SFM","AFM25","EP_EU",0.00814560722467348
"RCP2.6_MFM","AFM50","Clear_cut",0.0187129117202807
"RCP2.6_MFM","AFM50","Retention",0.000458240108611165
"RCP2.6_MFM","AFM50","Selection",0.000883821043978782
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",0.0169922028629546
"RCP2.6_MFM","AFM50","EP_EU",0.0352441990995572
"RCP2.6_SFM","AFM50","Clear_cut",0.0185752356363588
"RCP2.6_SFM","AFM50","Retention",0.0004671082340066
"RCP2.6_SFM","AFM50","Selection",0.000135268387230371
"RCP2.6_SFM","AFM50","Timber",0
"RCP2.6_SFM","AFM50","Other_management",0.0169657835780462
"RCP2.6_SFM","AFM50","EP_EU",0.0364135943003973
"REF_MFM","AFM50","Clear_cut",0.0145880386976381
"REF_MFM","AFM50","Retention",0.00034228009271431
"REF_MFM","AFM50","Selection",0.00123767699319066
"REF_MFM","AFM50","Timber",0
"REF_MFM","AFM50","Other_management",0.0133713996191725
"REF_MFM","AFM50","EP_EU",0.00811686209324659
"REF_SFM","AFM50","Clear_cut",0.0146424283909747
"REF_SFM","AFM50","Retention",0.000380343320739559
"REF_SFM","AFM50","Selection",0.000412534406765422
"REF_SFM","AFM50","Timber",0
"REF_SFM","AFM50","Other_management",0.0132704887722179
"REF_SFM","AFM50","EP_EU",0.00869053968704421
"RCP2.6_MFM","AFM75","Clear_cut",0.0168258150397785
"RCP2.6_MFM","AFM75","Retention",0.000241906332750528
"RCP2.6_MFM","AFM75","Selection",0.00121879544040294
"RCP2.6_MFM","AFM75","Timber",0
"RCP2.6_MFM","AFM75","Other_management",0.0168517164049727
