"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Clear_cut",0
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",0
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0.00238062480997931
"RCP2.6_MFM","noAFM","EP_EU",0.00507723390571258
"RCP2.6_SFM","noAFM","Clear_cut",0
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",0
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0.00237887066205828
"RCP2.6_SFM","noAFM","EP_EU",0.00507709088737031
"REF_MFM","noAFM","Clear_cut",0
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",0
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0.00196450902108748
"REF_MFM","noAFM","EP_EU",0.00142258684465233
"REF_SFM","noAFM","Clear_cut",0
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",0
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0.00196594133276867
"REF_SFM","noAFM","EP_EU",0.00142385136388164
"RCP2.6_MFM","AFMfree","Clear_cut",0
"RCP2.6_MFM","AFMfree","Retention",0
"RCP2.6_MFM","AFMfree","Selection",0
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0.00243837791363598
"RCP2.6_MFM","AFMfree","EP_EU",0.00497949340623909
"RCP2.6_SFM","AFMfree","Clear_cut",0
"RCP2.6_SFM","AFMfree","Retention",0
"RCP2.6_SFM","AFMfree","Selection",0
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0.00242951536019173
"RCP2.6_SFM","AFMfree","EP_EU",0.00498166008270673
"REF_MFM","AFMfree","Clear_cut",0
"REF_MFM","AFMfree","Retention",0
"REF_MFM","AFMfree","Selection",0
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0.00198990754163227
"REF_MFM","AFMfree","EP_EU",0.00136803612654144
"REF_SFM","AFMfree","Clear_cut",0
"REF_SFM","AFMfree","Retention",0
"REF_SFM","AFMfree","Selection",0
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0.00199769595701185
"REF_SFM","AFMfree","EP_EU",0.00136741958796579
"RCP2.6_MFM","AFM25","Clear_cut",0
"RCP2.6_MFM","AFM25","Retention",0
"RCP2.6_MFM","AFM25","Selection",0
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",0.00243315605645974
"RCP2.6_MFM","AFM25","EP_EU",0.00507273927611961
"RCP2.6_SFM","AFM25","Clear_cut",0
"RCP2.6_SFM","AFM25","Retention",0
"RCP2.6_SFM","AFM25","Selection",0
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",0.00240667405276284
"RCP2.6_SFM","AFM25","EP_EU",0.0051525396579177
"REF_MFM","AFM25","Clear_cut",0
"REF_MFM","AFM25","Retention",0
"REF_MFM","AFM25","Selection",0
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",0.00198292722628644
"REF_MFM","AFM25","EP_EU",0.00137724626686252
"REF_SFM","AFM25","Clear_cut",0
"REF_SFM","AFM25","Retention",0
"REF_SFM","AFM25","Selection",0
"REF_SFM","AFM25","Timber",0
