"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0817778691758941,0,0
"RCP2.6_SFM","noAFM",0.0817677871825058,0,0
"REF_MFM","noAFM",0.0413851756093254,0,0
"REF_SFM","noAFM",0.0414213713448367,0,0
"RCP2.6_MFM","AFMfree",0.0752951710940041,0,0
"RCP2.6_SFM","AFMfree",0.0752877447741604,0,0
"REF_MFM","AFMfree",0.0375266122898866,0,0
"REF_SFM","AFMfree",0.038372737130477,0,0
"RCP2.6_MFM","AFM25",0.0740316591851244,0,0
"RCP2.6_SFM","AFM25",0.0741183156658223,0,0
"REF_MFM","AFM25",0.0381230929695435,0,0
"REF_SFM","AFM25",0.0391784768991138,0,0
"RCP2.6_MFM","AFM50",0.0722913748353825,0,0
"RCP2.6_SFM","AFM50",0.0725569901360393,0,0
"REF_MFM","AFM50",0.0376562574959621,0,0
"REF_SFM","AFM50",0.0373963345777419,0,0
"RCP2.6_MFM","AFM75",0.0711080600114885,0,0
"RCP2.6_SFM","AFM75",0.0703062452822107,0,0
"REF_MFM","AFM75",0.0361966892775433,0,0
"REF_SFM","AFM75",0.0347202602048728,0,0
"RCP2.6_MFM","AFM100",0.0695569780201587,0,0
"RCP2.6_SFM","AFM100",0.0684315067921094,0,0
"REF_MFM","AFM100",0.0348871874301496,0,0
"REF_SFM","AFM100",0.0324170653299512,0,0
