"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.0335111593431272,0,0,"noAFM","2020"
"RCP2.6_SFM",0.0335111583403401,0,0,"noAFM","2020"
"REF_MFM",0.0341124199977396,0,0,"noAFM","2020"
"REF_SFM",0.0341117803703187,0,0,"noAFM","2020"
"RCP2.6_MFM",0.0337161183207552,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.0336930254571678,0,0,"AFMfree","2020"
"REF_MFM",0.034217014083117,0,0,"AFMfree","2020"
"REF_SFM",0.0344415825220193,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.0337184408241372,0,0,"AFM25","2020"
"RCP2.6_SFM",0.0333786044972578,0,0,"AFM25","2020"
"REF_MFM",0.0341118742394555,0,0,"AFM25","2020"
"REF_SFM",0.0340820928085907,0,0,"AFM25","2020"
"RCP2.6_MFM",0.0335155725462071,0,0,"AFM50","2020"
"RCP2.6_SFM",0.0329528114681971,0,0,"AFM50","2020"
"REF_MFM",0.0342988741541351,0,0,"AFM50","2020"
"REF_SFM",0.0335683830125853,0,0,"AFM50","2020"
"RCP2.6_MFM",0.0335163929000894,0,0,"AFM75","2020"
"RCP2.6_SFM",0.032422831458471,0,0,"AFM75","2020"
"REF_MFM",0.0343025009985706,0,0,"AFM75","2020"
"REF_SFM",0.0331540705924921,0,0,"AFM75","2020"
"RCP2.6_MFM",0.0335153579696812,0,0,"AFM100","2020"
"RCP2.6_SFM",0.0315239145196761,0,0,"AFM100","2020"
"REF_MFM",0.0342154875352841,0,0,"AFM100","2020"
"REF_SFM",0.0321017666029388,0,0,"AFM100","2020"
"RCP2.6_MFM",0.0371974194592319,0,0,"noAFM","2030"
"RCP2.6_SFM",0.0371987166083612,0,0,"noAFM","2030"
"REF_MFM",0.0364429806347994,0,0,"noAFM","2030"
"REF_SFM",0.0364457461908804,0,0,"noAFM","2030"
"RCP2.6_MFM",0.0366477348087777,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.0365035564705987,0,0,"AFMfree","2030"
"REF_MFM",0.0358692013609403,0,0,"AFMfree","2030"
"REF_SFM",0.0360281315702739,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.0365743413802656,0,0,"AFM25","2030"
"RCP2.6_SFM",0.0362682623962878,0,0,"AFM25","2030"
"REF_MFM",0.0356420494129328,0,0,"AFM25","2030"
"REF_SFM",0.0356382498810228,0,0,"AFM25","2030"
"RCP2.6_MFM",0.0361653743988109,0,0,"AFM50","2030"
"RCP2.6_SFM",0.0358547397970227,0,0,"AFM50","2030"
"REF_MFM",0.0356120498041825,0,0,"AFM50","2030"
"REF_SFM",0.0350954213821058,0,0,"AFM50","2030"
"RCP2.6_MFM",0.0360717404128939,0,0,"AFM75","2030"
"RCP2.6_SFM",0.0354912089947823,0,0,"AFM75","2030"
"REF_MFM",0.0354245544831146,0,0,"AFM75","2030"
"REF_SFM",0.0345621311192505,0,0,"AFM75","2030"
"RCP2.6_MFM",0.0359603279726706,0,0,"AFM100","2030"
"RCP2.6_SFM",0.0345643671579524,0,0,"AFM100","2030"
"REF_MFM",0.0352014743158967,0,0,"AFM100","2030"
"REF_SFM",0.0334645942440262,0,0,"AFM100","2030"
"RCP2.6_MFM",0.039932720232971,0,0,"noAFM","2040"
"RCP2.6_SFM",0.0399401592422289,0,0,"noAFM","2040"
