"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0.00463533359438744
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",0.0544720291490436
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.0352668069420177
"RCP2.6_MFM","noAFM","Annual_crops",0.0114500780925597
"RCP2.6_MFM","noAFM","Pasture",0.0796995921465005
"RCP2.6_MFM","noAFM","Permanent_crops",0.0861605352244727
"RCP2.6_MFM","noAFM","Urban",0.022623719203073
"RCP2.6_SFM","noAFM","Afforestation",0.00463519191398319
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",0.0544619424070447
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.0352656168327384
"RCP2.6_SFM","noAFM","Annual_crops",0.0114498026307056
"RCP2.6_SFM","noAFM","Pasture",0.0796959108200897
"RCP2.6_SFM","noAFM","Permanent_crops",0.0861597928511885
"RCP2.6_SFM","noAFM","Urban",0.022623302098493
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",0.0411516277125623
"REF_MFM","noAFM","Energy_crops_and_plantations",0.00829869280384344
"REF_MFM","noAFM","Annual_crops",0.0828871954197423
"REF_MFM","noAFM","Pasture",0.0903264042360147
"REF_MFM","noAFM","Permanent_crops",0.0882866506974033
"REF_MFM","noAFM","Urban",0.0240848365708763
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",0.0411748580784417
"REF_SFM","noAFM","Energy_crops_and_plantations",0.00831282537292345
"REF_SFM","noAFM","Annual_crops",0.0828659561881075
"REF_SFM","noAFM","Pasture",0.0903266646169904
"REF_SFM","noAFM","Permanent_crops",0.088285993738597
"REF_SFM","noAFM","Urban",0.0240839324738339
"RCP2.6_MFM","AFMfree","Afforestation",0.00460699906694514
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",0.0489638689503351
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.0343948067830557
"RCP2.6_MFM","AFMfree","Annual_crops",0.0115343519925467
"RCP2.6_MFM","AFMfree","Pasture",0.0796097773776159
"RCP2.6_MFM","AFMfree","Permanent_crops",0.0857294773743134
"RCP2.6_MFM","AFMfree","Urban",0.0224743927455833
"RCP2.6_SFM","AFMfree","Afforestation",0.00460688476011324
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",0.0489676335129728
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.03434691110892
"RCP2.6_SFM","AFMfree","Annual_crops",0.0115050731091456
"RCP2.6_SFM","AFMfree","Pasture",0.0796249016308387
"RCP2.6_SFM","AFMfree","Permanent_crops",0.0857442142071979
"RCP2.6_SFM","AFMfree","Urban",0.0224794299009557
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",0.0378687452183688
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.00794142079640285
"REF_MFM","AFMfree","Annual_crops",0.0825576658313372
"REF_MFM","AFMfree","Pasture",0.0901800499540294
"REF_MFM","AFMfree","Permanent_crops",0.087903327652674
"REF_MFM","AFMfree","Urban",0.0239666119950886
"REF_SFM","AFMfree","Afforestation",0
"REF_SFM","AFMfree","Regrowth",0
"REF_SFM","AFMfree","Forest",0.038473987016391
"REF_SFM","AFMfree","Energy_crops_and_plantations",0.00795861333544073
"REF_SFM","AFMfree","Annual_crops",0.0826839785371205
"REF_SFM","AFMfree","Pasture",0.0902439592275389
"REF_SFM","AFMfree","Permanent_crops",0.0880031011584537
"REF_SFM","AFMfree","Urban",0.0239879477595141
"RCP2.6_MFM","AFM25","Afforestation",0.0045975727928849
"RCP2.6_MFM","AFM25","Regrowth",0
"RCP2.6_MFM","AFM25","Forest",0.0471242060673718
"RCP2.6_MFM","AFM25","Energy_crops_and_plantations",0.0348372955017183
"RCP2.6_MFM","AFM25","Annual_crops",0.0112884383353588
"RCP2.6_MFM","AFM25","Pasture",0.0793953857887791
"RCP2.6_MFM","AFM25","Permanent_crops",0.0856306498816238
"RCP2.6_MFM","AFM25","Urban",0.0224440986623458
"RCP2.6_SFM","AFM25","Afforestation",0.00459722921408821
"RCP2.6_SFM","AFM25","Regrowth",0
"RCP2.6_SFM","AFM25","Forest",0.0468132439977523
"RCP2.6_SFM","AFM25","Energy_crops_and_plantations",0.0354170940438043
"RCP2.6_SFM","AFM25","Annual_crops",0.0111257401174323
"RCP2.6_SFM","AFM25","Pasture",0.0792006668821593
"RCP2.6_SFM","AFM25","Permanent_crops",0.0856483096671327
"RCP2.6_SFM","AFM25","Urban",0.0224513024225733
"REF_MFM","AFM25","Afforestation",0
"REF_MFM","AFM25","Regrowth",0
"REF_MFM","AFM25","Forest",0.0382623664618627
"REF_MFM","AFM25","Energy_crops_and_plantations",0.00800585768851255
"REF_MFM","AFM25","Annual_crops",0.0827110615368427
"REF_MFM","AFM25","Pasture",0.0902180408691542
"REF_MFM","AFM25","Permanent_crops",0.0881562251880059
"REF_MFM","AFM25","Urban",0.0239561089146486
"REF_SFM","AFM25","Afforestation",0
"REF_SFM","AFM25","Regrowth",0
"REF_SFM","AFM25","Forest",0.0392231394531415
"REF_SFM","AFM25","Energy_crops_and_plantations",0.00814560722467348
"REF_SFM","AFM25","Annual_crops",0.0828405118011829
"REF_SFM","AFM25","Pasture",0.0903839562817677
"REF_SFM","AFM25","Permanent_crops",0.0883116229341834
"REF_SFM","AFM25","Urban",0.024026244312411
"RCP2.6_MFM","AFM50","Afforestation",0.00458949160327423
"RCP2.6_MFM","AFM50","Regrowth",0
"RCP2.6_MFM","AFM50","Forest",0.0448826555069605
"RCP2.6_MFM","AFM50","Energy_crops_and_plantations",0.0352441990995572
"RCP2.6_MFM","AFM50","Annual_crops",0.0111774468411986
"RCP2.6_MFM","AFM50","Pasture",0.0791503491408986
"RCP2.6_MFM","AFM50","Permanent_crops",0.0855571457775955
