"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.044424140573423,0,0
"RCP2.6_SFM","noAFM",0.0444211663281172,0,0
"REF_MFM","noAFM",0.0496212093154255,0,0
"REF_SFM","noAFM",0.0496204298117907,0,0
"RCP2.6_MFM","AFMfree",0.0444851330331969,0,0
"RCP2.6_SFM","AFMfree",0.0444771824516453,0,0
"REF_MFM","AFMfree",0.0496219438657352,0,0
"REF_SFM","AFMfree",0.0496804072013729,0,0
"RCP2.6_MFM","AFM25",0.0444935390101284,0,0
"RCP2.6_SFM","AFM25",0.0444883361056084,0,0
"REF_MFM","AFM25",0.0495925796376255,0,0
"REF_SFM","AFM25",0.0497003418888106,0,0
"RCP2.6_MFM","AFM50",0.0444581576350883,0,0
"RCP2.6_SFM","AFM50",0.044511758360472,0,0
"REF_MFM","AFM50",0.0496538186605103,0,0
"REF_SFM","AFM50",0.0496783969349643,0,0
"RCP2.6_MFM","AFM75",0.0445572933360487,0,0
"RCP2.6_SFM","AFM75",0.0444924550930856,0,0
"REF_MFM","AFM75",0.0497045599343658,0,0
"REF_SFM","AFM75",0.0497120438823705,0,0
"RCP2.6_MFM","AFM100",0.0447503227215607,0,0
"RCP2.6_SFM","AFM100",0.0444691887244254,0,0
"REF_MFM","AFM100",0.0498324387974084,0,0
"REF_SFM","AFM100",0.0496061938044671,0,0
