"Group","Scenario","Category","Values"
"RCP2.6_MFM","noAFM","EU28 - High-intensity management",1028.294771
"RCP2.6_MFM","noAFM","EU28 - Low-intensity management",15.58528103
"RCP2.6_MFM","noAFM","Import - High-intensity management",527.44787746
"RCP2.6_MFM","noAFM","Import - Low-intensity management",0
"RCP2.6_MFM","AFMfree","EU28 - High-intensity management",1084.6022828
"RCP2.6_MFM","AFMfree","EU28 - Low-intensity management",32.54532837
"RCP2.6_MFM","AFMfree","Import - High-intensity management",424.78568662
"RCP2.6_MFM","AFMfree","Import - Low-intensity management",0
"RCP2.6_MFM","AFM25","EU28 - High-intensity management",960.0001601
"RCP2.6_MFM","AFM25","EU28 - Low-intensity management",118.0936991
"RCP2.6_MFM","AFM25","Import - High-intensity management",466.99727103
"RCP2.6_MFM","AFM25","Import - Low-intensity management",0
"RCP2.6_MFM","AFM50","EU28 - High-intensity management",820.4986594
"RCP2.6_MFM","AFM50","EU28 - Low-intensity management",202.4386042
"RCP2.6_MFM","AFM50","Import - High-intensity management",529.83980583
"RCP2.6_MFM","AFM50","Import - Low-intensity management",0
"RCP2.6_MFM","AFM75","EU28 - High-intensity management",698.72684222
"RCP2.6_MFM","AFM75","EU28 - Low-intensity management",275.3132168
"RCP2.6_MFM","AFM75","Import - High-intensity management",583.7625619
"RCP2.6_MFM","AFM75","Import - Low-intensity management",0
"RCP2.6_MFM","AFM100","EU28 - High-intensity management",567.1337514
"RCP2.6_MFM","AFM100","EU28 - Low-intensity management",339.3853191
"RCP2.6_MFM","AFM100","Import - High-intensity management",658.384848
"RCP2.6_MFM","AFM100","Import - Low-intensity management",0
"RCP2.6_SFM","noAFM","EU28 - High-intensity management",1028.3831977
"RCP2.6_SFM","noAFM","EU28 - Low-intensity management",15.53557646
"RCP2.6_SFM","noAFM","Import - High-intensity management",527.41801841
"RCP2.6_SFM","noAFM","Import - Low-intensity management",0
"RCP2.6_SFM","AFMfree","EU28 - High-intensity management",1093.8946058
"RCP2.6_SFM","AFMfree","EU28 - Low-intensity management",25.82113538
"RCP2.6_SFM","AFMfree","Import - High-intensity management",422.4754069
"RCP2.6_SFM","AFMfree","Import - Low-intensity management",0
"RCP2.6_SFM","AFM25","EU28 - High-intensity management",1002.8845796
"RCP2.6_SFM","AFM25","EU28 - Low-intensity management",10.73940361
"RCP2.6_SFM","AFM25","Import - High-intensity management",548.26903682
"RCP2.6_SFM","AFM25","Import - Low-intensity management",0
"RCP2.6_SFM","AFM50","EU28 - High-intensity management",876.9378698
"RCP2.6_SFM","AFM50","EU28 - Low-intensity management",7.864798713
"RCP2.6_SFM","AFM50","Import - High-intensity management",696.9401584
"RCP2.6_SFM","AFM50","Import - Low-intensity management",0
"RCP2.6_SFM","AFM75","EU28 - High-intensity management",745.34828536
"RCP2.6_SFM","AFM75","EU28 - Low-intensity management",5.330352376
"RCP2.6_SFM","AFM75","Import - High-intensity management",852.2824038
"RCP2.6_SFM","AFM75","Import - Low-intensity management",0
"RCP2.6_SFM","AFM100","EU28 - High-intensity management",609.6881048
"RCP2.6_SFM","AFM100","EU28 - Low-intensity management",3.274594037
"RCP2.6_SFM","AFM100","Import - High-intensity management",1001.8915296
"RCP2.6_SFM","AFM100","Import - Low-intensity management",0
"REF_MFM","noAFM","EU28 - High-intensity management",468.4379924
"REF_MFM","noAFM","EU28 - Low-intensity management",119.9580538
"REF_MFM","noAFM","Import - High-intensity management",304.54014617
"REF_MFM","noAFM","Import - Low-intensity management",0
"REF_MFM","AFMfree","EU28 - High-intensity management",531.9617952
"REF_MFM","AFMfree","EU28 - Low-intensity management",107.6642032
"REF_MFM","AFMfree","Import - High-intensity management",226.74198827
"REF_MFM","AFMfree","Import - Low-intensity management",0
"REF_MFM","AFM25","EU28 - High-intensity management",477.4442077
"REF_MFM","AFM25","EU28 - Low-intensity management",152.5904718
"REF_MFM","AFM25","Import - High-intensity management",235.38437177
"REF_MFM","AFM25","Import - Low-intensity management",0
"REF_MFM","AFM50","EU28 - High-intensity management",408.5376538
"REF_MFM","AFM50","EU28 - Low-intensity management",203.2617841
"REF_MFM","AFM50","Import - High-intensity management",259.87875731
"REF_MFM","AFM50","Import - Low-intensity management",0
"REF_MFM","AFM75","EU28 - High-intensity management",328.80070125
"REF_MFM","AFM75","EU28 - Low-intensity management",255.3069707
"REF_MFM","AFM75","Import - High-intensity management",291.63592208
"REF_MFM","AFM75","Import - Low-intensity management",0
"REF_MFM","AFM100","EU28 - High-intensity management",247.259427
"REF_MFM","AFM100","EU28 - Low-intensity management",304.5481036
"REF_MFM","AFM100","Import - High-intensity management",331.13106531
"REF_MFM","AFM100","Import - Low-intensity management",0
"REF_SFM","noAFM","EU28 - High-intensity management",468.2729085
"REF_SFM","noAFM","EU28 - Low-intensity management",119.6645554
"REF_SFM","noAFM","Import - High-intensity management",305.56715032
"REF_SFM","noAFM","Import - Low-intensity management",0
"REF_SFM","AFMfree","EU28 - High-intensity management",556.7874838
"REF_SFM","AFMfree","EU28 - Low-intensity management",81.08449867
"REF_SFM","AFMfree","Import - High-intensity management",228.96982375
"REF_SFM","AFMfree","Import - Low-intensity management",0
"REF_SFM","AFM25","EU28 - High-intensity management",541.6899483
"REF_SFM","AFM25","EU28 - Low-intensity management",58.74719467
"REF_SFM","AFM25","Import - High-intensity management",279.74497272
"REF_SFM","AFM25","Import - Low-intensity management",0
"REF_SFM","AFM50","EU28 - High-intensity management",489.12953385
"REF_SFM","AFM50","EU28 - Low-intensity management",48.92820404
"REF_SFM","AFM50","Import - High-intensity management",359.43281069
"REF_SFM","AFM50","Import - Low-intensity management",0
"REF_SFM","AFM75","EU28 - High-intensity management",395.19109155
"REF_SFM","AFM75","EU28 - Low-intensity management",42.64352801
"REF_SFM","AFM75","Import - High-intensity management",478.56982713
"REF_SFM","AFM75","Import - Low-intensity management",0
"REF_SFM","AFM100","EU28 - High-intensity management",291.2151846
"REF_SFM","AFM100","EU28 - Low-intensity management",29.60443522
"REF_SFM","AFM100","Import - High-intensity management",607.92024306
"REF_SFM","AFM100","Import - Low-intensity management",0
