"Scenario","Year","forest_EU_noex","forest_ex","forest_EU_ex","forest_im","EP_EU","EP_im","tot_noexport"
"RCP_MFM_AF0","2000",4.23182378515393e-05,7.26299968841399e-05,4.63767160483729e-05,0.000185136608875748,NA,NA,3.39849106069436e-05
"RCP_MFM_AF0","2010",3.81258071626918e-05,7.2180422787238e-05,4.31991204773356e-05,0.000199822725171835,NA,NA,2.98890081995545e-05
"RCP_MFM_AF0","2020",3.45854431870329e-05,7.29853803065091e-05,4.05777900623651e-05,0.000207283191170951,7.03712419028017e-05,NA,2.66714507115056e-05
"RCP_MFM_AF0","2030",3.10583385405386e-05,7.28057873947529e-05,3.70136662589352e-05,0.000217724753973982,6.4925838107719e-05,NA,2.36027746538061e-05
"RCP_MFM_AF0","2040",2.76861022030262e-05,7.27959544719066e-05,3.43802112964028e-05,0.000250564380221903,6.26959619054831e-05,0.00015784237764093,2.04203669569233e-05
"RCP_MFM_AF0","2050",2.6389037511916e-05,7.24759709708849e-05,3.30060531470828e-05,0.000253925136703684,5.87302072371195e-05,0.000168666453570782,1.862945952121e-05
"RCP_MFM_AF0","2060",2.66478097783696e-05,7.18719281485596e-05,3.27952963180526e-05,0.000278237014685667,5.75556373057143e-05,0.000192106845338968,1.82511376653241e-05
"RCP_MFM_AF0","2070",2.89857871512347e-05,7.12725317735972e-05,3.44559509662759e-05,0.000295853038750523,5.43818373546843e-05,0.000181362505182466,1.90073450228908e-05
"RCP_MFM_AF0","2080",2.93499952044205e-05,7.07397779715573e-05,3.45463107264956e-05,0.000315052504164281,5.36594504320338e-05,0.000176799225443619,1.82441690238757e-05
"RCP_MFM_AF0","2090",2.8920839112607e-05,7.04113051972433e-05,3.40076233340709e-05,0.000340104835585472,5.26549626342855e-05,0.000185603908985128,1.70444553846932e-05
"RCP_MFM_AF0","2100",2.80471744019375e-05,7.01174316394013e-05,3.31238581189452e-05,0.000340479570625321,5.16414487095219e-05,0.00020260236509138,1.56300942101823e-05
"RCP_MFM_AF100","2000",4.23180959713447e-05,7.26296391285506e-05,4.63765452643597e-05,0.000184983275519171,NA,NA,3.39845035306557e-05
"RCP_MFM_AF100","2010",3.81256714182446e-05,7.21800496849379e-05,4.31989493723143e-05,0.000199653924652576,NA,NA,2.98886167041475e-05
"RCP_MFM_AF100","2020",3.48264725683263e-05,7.29680871374689e-05,4.0816662035916e-05,0.000202958267257921,7.04926076612901e-05,0.000241411086067754,2.69800433275339e-05
"RCP_MFM_AF100","2030",3.0635728600661e-05,7.25422667121807e-05,3.67011485904862e-05,0.000212370419340389,6.60153256968421e-05,0.000242530445624022,2.3340721870666e-05
"RCP_MFM_AF100","2040",2.74140249687758e-05,7.22184735769459e-05,3.41839279178125e-05,0.00024717846962663,6.04188754383437e-05,0.000154117006922532,1.97215552336743e-05
"RCP_MFM_AF100","2050",2.69531533753029e-05,7.22248153685162e-05,3.36001831124017e-05,0.000277488030050342,5.74035241352409e-05,0.000162468445773,1.81493705721494e-05
"RCP_MFM_AF100","2060",2.87148629356132e-05,7.18888250269219e-05,3.49548496441227e-05,0.000312006317731194,5.53975321829249e-05,0.000190916057916592,1.77211509933369e-05
"RCP_MFM_AF100","2070",3.15443593940435e-05,7.08872521679155e-05,3.72678994961402e-05,0.000336408496283071,5.17474608486291e-05,0.000174544608556974,1.74352447633011e-05
"RCP_MFM_AF100","2080",3.16965519361124e-05,7.0060423801415e-05,3.7397207594812e-05,0.000349307368478176,5.16673413725531e-05,0.000165396950311504,1.5588806448084e-05
"RCP_MFM_AF100","2090",3.02107881106251e-05,6.96771561786006e-05,3.62532251527566e-05,0.000336028885466507,5.1310186531404e-05,0.000174230958008982,1.3189062535895e-05
"RCP_MFM_AF100","2100",2.78932328423378e-05,6.97553847380392e-05,3.454087069702e-05,0.000329205294885327,5.12061107691971e-05,0.00019276393453715,1.08505245833274e-05
"RCP_MFM_AF25","2000",4.23182341493628e-05,7.26297904205864e-05,4.63766851982296e-05,0.000185223707902171,NA,NA,3.3985074853341e-05
"RCP_MFM_AF25","2010",3.81258182791497e-05,7.21802409504508e-05,4.3199102848431e-05,0.000199901539896625,NA,NA,2.9889150484884e-05
"RCP_MFM_AF25","2020",3.45850001267466e-05,7.29878865239019e-05,4.05778072396784e-05,0.000206973704599353,7.03713536001753e-05,0.000255804077371096,2.7037298806586e-05
"RCP_MFM_AF25","2030",3.09123148226019e-05,7.27584223249417e-05,3.6890330180079e-05,0.000217360278038034,6.53420518504354e-05,0.000258320115332843,2.38068763120855e-05
"RCP_MFM_AF25","2040",2.75540548193562e-05,7.25402243859608e-05,3.42747342566282e-05,0.000245036421738879,6.21000737305806e-05,0.000158731730390437,2.0215054358075e-05
"RCP_MFM_AF25","2050",2.64217658192491e-05,7.25309909658883e-05,3.30422771808377e-05,0.000266852135336888,5.8465740051472e-05,0.000164453418304471,1.85338919669369e-05
"RCP_MFM_AF25","2060",2.68736555931768e-05,7.2368578364274e-05,3.30304535250738e-05,0.000269475230142101,5.67636604961194e-05,0.000191509336571957,1.81881301917959e-05
"RCP_MFM_AF25","2070",2.92780895991184e-05,7.09285595478171e-05,3.47800056757716e-05,0.000304977645225313,5.39013706077863e-05,0.000179222402249683,1.86370265313139e-05
"RCP_MFM_AF25","2080",2.94353641029655e-05,7.02444539676695e-05,3.47280105700602e-05,0.000327995603453545,5.27180396608229e-05,0.000172607093380013,1.7508437572623e-05
"RCP_MFM_AF25","2090",2.89975864293848e-05,6.98823429849144e-05,3.42345103027897e-05,0.000329405103032985,5.1312281473273e-05,0.000181421877564639,1.61175978225522e-05
"RCP_MFM_AF25","2100",2.79429437117519e-05,6.95600209046135e-05,3.32320705790721e-05,0.000326489209223933,5.04177671607912e-05,0.000200973855516099,1.45354339315274e-05
"RCP_MFM_AF50","2000",4.2318204926418e-05,7.26297596080096e-05,4.6376655762447e-05,0.000185064774134213,NA,NA,3.39847465536186e-05
"RCP_MFM_AF50","2010",3.81257785302437e-05,7.21801810284764e-05,4.31990600942263e-05,0.000199718821496876,NA,NA,2.98888097876207e-05
"RCP_MFM_AF50","2020",3.48261016135403e-05,7.29709615371547e-05,4.08168007682105e-05,0.000203353549740896,7.04927870841573e-05,NA,2.66344970148248e-05
"RCP_MFM_AF50","2030",3.07604324337705e-05,7.26700510469563e-05,3.67910316237493e-05,0.000212320895797403,6.55610539503121e-05,0.000137085936830269,2.33856777597073e-05
"RCP_MFM_AF50","2040",2.72009377358021e-05,7.22698392502367e-05,3.39795936546398e-05,0.000233718712689101,6.17808121962295e-05,0.000156739633393791,1.98276169853227e-05
"RCP_MFM_AF50","2050",2.65966215528676e-05,7.27056459905331e-05,3.32429674177563e-05,0.000256933315911802,5.81667611710466e-05,0.000162863528336087,1.83774822034053e-05
"RCP_MFM_AF50","2060",2.70272517940011e-05,7.23712628895524e-05,3.32662312076396e-05,0.000279564266461412,5.6494859696442e-05,0.000189786590419666,1.78146089286336e-05
"RCP_MFM_AF50","2070",2.92888145079851e-05,7.07902772942786e-05,3.49322143814523e-05,0.000310777628706487,5.37586651246151e-05,0.00018064130337347,1.78896883251027e-05
"RCP_MFM_AF50","2080",2.97432108821493e-05,7.00809790610668e-05,3.51955647149456e-05,0.000320404690851232,5.24170363591692e-05,0.000172312311788158,1.67019187124116e-05
"RCP_MFM_AF50","2090",2.91100175676675e-05,6.96729839925587e-05,3.45797254507376e-05,0.000316064581529356,5.13838568870725e-05,0.000179663078703039,1.50729724890488e-05
"RCP_MFM_AF50","2100",2.78928690831937e-05,6.93405289407652e-05,3.35221786551956e-05,0.000313866294496038,5.04893816394706e-05,0.000197254675080988,1.32852522184588e-05
"RCP_MFM_AF75","2000",4.23181827537347e-05,7.26297340045053e-05,4.63766331304069e-05,0.000185015960165148,NA,NA,3.3984635233928e-05
"RCP_MFM_AF75","2010",3.81257567195352e-05,7.21801530965006e-05,4.31990373715971e-05,0.000199637322244453,NA,NA,2.98886546606782e-05
"RCP_MFM_AF75","2020",3.48260894466426e-05,7.29709483317554e-05,4.08167884382148e-05,0.00020318042659263,7.04927977234527e-05,5.62513494904765e-05,2.67148226922344e-05
"RCP_MFM_AF75","2030",3.06972183816702e-05,7.25846951055998e-05,3.67422040896425e-05,0.000210880764316638,6.59695102190968e-05,0.000146154933376115,2.33137556351766e-05
"RCP_MFM_AF75","2040",2.72041428692684e-05,7.24596627949199e-05,3.39955578649324e-05,0.000239441676753293,6.12541707182607e-05,0.000153191301477608,1.97232258355452e-05
"RCP_MFM_AF75","2050",2.67751248598805e-05,7.26199373840346e-05,3.34011329200121e-05,0.000250355689997358,5.77629187066917e-05,0.000166295079594384,1.8318727001298e-05
"RCP_MFM_AF75","2060",2.74583917184263e-05,7.22363458256993e-05,3.372617596295e-05,0.000281305627841683,5.55403849791616e-05,0.000191630758641564,1.75651499963028e-05
"RCP_MFM_AF75","2070",3.01236772993682e-05,7.12604958232414e-05,3.58528954375738e-05,0.000334689814763445,5.31630499997868e-05,0.000175386130636898,1.75600887939694e-05
"RCP_MFM_AF75","2080",3.0466793252062e-05,7.04860768773299e-05,3.60614286203299e-05,0.000349554326902528,5.16455214075663e-05,0.000168813784069615,1.6133367375901e-05
"RCP_MFM_AF75","2090",2.95315326736698e-05,7.00839946681742e-05,3.52730164509529e-05,0.000341005017075165,5.06538807947856e-05,0.000179216050881111,1.41722126355235e-05
"RCP_MFM_AF75","2100",2.78757878221431e-05,6.99146328681787e-05,3.39596363229383e-05,0.000337109868914964,5.02348179205337e-05,0.000196408947023228,1.21137013476318e-05
"RCP_MFM_noAF","2000",4.23180669282026e-05,7.26296077219808e-05,4.63765159047754e-05,0.00018501104910274,NA,NA,3.39845337625865e-05
"RCP_MFM_noAF","2010",3.81256428601614e-05,7.2180015186258e-05,4.31989199292261e-05,0.000199588108434871,NA,NA,2.98884829460357e-05
"RCP_MFM_noAF","2020",3.48233318480079e-05,7.29811337829589e-05,4.08160635621509e-05,0.000203230927973756,7.04923584560482e-05,5.63150460473703e-05,2.67129077482739e-05
"RCP_MFM_noAF","2030",3.24702645424138e-05,7.26343352848939e-05,3.82496875126253e-05,0.000213025310890629,6.60504195010059e-05,0.000206597719206619,2.47400307104049e-05
"RCP_MFM_noAF","2040",3.07978294840024e-05,7.29112658252221e-05,3.71091074097983e-05,0.000258298590900699,6.2149112426726e-05,0.000160730632243599,2.22357659409928e-05
"RCP_MFM_noAF","2050",3.14833206308419e-05,7.30415683484356e-05,3.75281566624919e-05,0.000286039931894642,5.86041955887211e-05,0.00016742657732281,2.13950159511435e-05
"RCP_MFM_noAF","2060",3.23902653692434e-05,7.27649652613981e-05,3.79867584236014e-05,0.000302506187787908,5.70296780590769e-05,0.00019083458713082,2.09168196687173e-05
"RCP_MFM_noAF","2070",3.62167003578408e-05,7.20276844690204e-05,4.10258493032271e-05,0.00032924607456716,5.44104808463356e-05,0.000180077382709486,2.19033705754202e-05
