"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",42507.2516109073,0,0,"noAFM","2020"
"RCP2.6_SFM",42494.6377931537,0,0,"noAFM","2020"
"REF_MFM",43318.9023759176,0,0,"noAFM","2020"
"REF_SFM",43355.5228645129,0,0,"noAFM","2020"
"RCP2.6_MFM",42544.1657860211,0,0,"AFMfree","2020"
"RCP2.6_SFM",42742.9786658748,0,0,"AFMfree","2020"
"REF_MFM",43355.436938102,0,0,"AFMfree","2020"
"REF_SFM",43704.3567676013,0,0,"AFMfree","2020"
"RCP2.6_MFM",42513.8222820447,0,0,"AFM25","2020"
"RCP2.6_SFM",42403.2909112661,0,0,"AFM25","2020"
"REF_MFM",43382.3118017698,0,0,"AFM25","2020"
"REF_SFM",43341.1595485515,0,0,"AFM25","2020"
"RCP2.6_MFM",42517.1380572784,0,0,"AFM50","2020"
"RCP2.6_SFM",42042.3239655812,0,0,"AFM50","2020"
"REF_MFM",43404.6672866381,0,0,"AFM50","2020"
"REF_SFM",42886.8507787802,0,0,"AFM50","2020"
"RCP2.6_MFM",42477.8074832472,0,0,"AFM75","2020"
"RCP2.6_SFM",41420.804228746,0,0,"AFM75","2020"
"REF_MFM",43372.0473796955,0,0,"AFM75","2020"
"REF_SFM",42282.8591136106,0,0,"AFM75","2020"
"RCP2.6_MFM",42520.9576880168,0,0,"AFM100","2020"
"RCP2.6_SFM",40613.4706619165,0,0,"AFM100","2020"
"REF_MFM",43320.5752068277,0,0,"AFM100","2020"
"REF_SFM",41442.5495446955,0,0,"AFM100","2020"
"RCP2.6_MFM",49789.8832240489,0,0,"noAFM","2030"
"RCP2.6_SFM",49746.9401274356,0,0,"noAFM","2030"
"REF_MFM",48391.1041789082,0,0,"noAFM","2030"
"REF_SFM",48506.2576372505,0,0,"noAFM","2030"
"RCP2.6_MFM",49232.7124089507,0,0,"AFMfree","2030"
"RCP2.6_SFM",48347.8455007425,0,0,"AFMfree","2030"
"REF_MFM",47657.9507825137,0,0,"AFMfree","2030"
"REF_SFM",47704.9522570419,0,0,"AFMfree","2030"
"RCP2.6_MFM",49182.6587139497,0,0,"AFM25","2030"
"RCP2.6_SFM",48518.5407882739,0,0,"AFM25","2030"
"REF_MFM",47249.7294822129,0,0,"AFM25","2030"
"REF_SFM",47895.8053560571,0,0,"AFM25","2030"
"RCP2.6_MFM",48725.4139248775,0,0,"AFM50","2030"
"RCP2.6_SFM",49190.8593529654,0,0,"AFM50","2030"
"REF_MFM",47542.0817099879,0,0,"AFM50","2030"
"REF_SFM",47626.6975422603,0,0,"AFM50","2030"
"RCP2.6_MFM",48444.5064926974,0,0,"AFM75","2030"
"RCP2.6_SFM",51592.9569454394,0,0,"AFM75","2030"
"REF_MFM",47406.6380075662,0,0,"AFM75","2030"
"REF_SFM",49422.5095127541,0,0,"AFM75","2030"
"RCP2.6_MFM",48910.4505985614,0,0,"AFM100","2030"
"RCP2.6_SFM",54517.2900823457,0,0,"AFM100","2030"
"REF_MFM",47437.2176595909,0,0,"AFM100","2030"
"REF_SFM",52055.5791949466,0,0,"AFM100","2030"
"RCP2.6_MFM",63045.9383402431,0,0,"noAFM","2040"
"RCP2.6_SFM",63026.3075742351,0,0,"noAFM","2040"
"REF_MFM",55430.5532801642,0,0,"noAFM","2040"
"REF_SFM",55520.9574808316,0,0,"noAFM","2040"
"RCP2.6_MFM",58905.2903426289,0,0,"AFMfree","2040"
"RCP2.6_SFM",57860.6420472957,0,0,"AFMfree","2040"
"REF_MFM",49700.3946479798,0,0,"AFMfree","2040"
"REF_SFM",50071.5144945038,0,0,"AFMfree","2040"
"RCP2.6_MFM",58418.8740120953,0,0,"AFM25","2040"
"RCP2.6_SFM",57890.7119871822,0,0,"AFM25","2040"
"REF_MFM",49850.084383284,0,0,"AFM25","2040"
"REF_SFM",52042.0180115156,0,0,"AFM25","2040"
"RCP2.6_MFM",57246.2859861353,0,0,"AFM50","2040"
"RCP2.6_SFM",63039.3948169655,0,0,"AFM50","2040"
"REF_MFM",50259.6336345087,0,0,"AFM50","2040"
"REF_SFM",56259.4560903211,0,0,"AFM50","2040"
"RCP2.6_MFM",57971.8753835931,0,0,"AFM75","2040"
"RCP2.6_SFM",66097.4033980774,0,0,"AFM75","2040"
"REF_MFM",50951.3356988628,0,0,"AFM75","2040"
"REF_SFM",58635.6806724771,0,0,"AFM75","2040"
"RCP2.6_MFM",59627.3377686379,0,0,"AFM100","2040"
"RCP2.6_SFM",71314.273404377,0,0,"AFM100","2040"
"REF_MFM",52296.1596485573,0,0,"AFM100","2040"
"REF_SFM",64693.1406562443,0,0,"AFM100","2040"
"RCP2.6_MFM",76632.660916972,0,0,"noAFM","2050"
"RCP2.6_SFM",77132.4169779661,0,0,"noAFM","2050"
"REF_MFM",64259.7848238342,0,0,"noAFM","2050"
"REF_SFM",64325.6011360057,0,0,"noAFM","2050"
"RCP2.6_MFM",66463.0169463986,0,0,"AFMfree","2050"
"RCP2.6_SFM",67027.9699643016,0,0,"AFMfree","2050"
"REF_MFM",52750.3277763802,0,0,"AFMfree","2050"
"REF_SFM",53301.6829770786,0,0,"AFMfree","2050"
"RCP2.6_MFM",67202.9631856236,0,0,"AFM25","2050"
"RCP2.6_SFM",67724.5660729888,0,0,"AFM25","2050"
"REF_MFM",52833.0434356513,0,0,"AFM25","2050"
"REF_SFM",56143.5261476115,0,0,"AFM25","2050"
"RCP2.6_MFM",67156.4151222394,0,0,"AFM50","2050"
