"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",260460.115322541
"RCP2.6_MFM","noAFM","EU28_Forest_net",225058.866205088
"RCP2.6_MFM","noAFM","Import_Energy_plantations",102410.957133861
"RCP2.6_MFM","noAFM","Import_Forest",307266.427897965
"RCP2.6_SFM","noAFM","EU28_Energy_crops",260654.58718993
"RCP2.6_SFM","noAFM","EU28_Forest_net",225009.79846116
"RCP2.6_SFM","noAFM","Import_Energy_plantations",101796.059514529
"RCP2.6_SFM","noAFM","Import_Forest",309975.062130938
"REF_MFM","noAFM","EU28_Energy_crops",59110.4864454456
"REF_MFM","noAFM","EU28_Forest_net",154005.878728011
"REF_MFM","noAFM","Import_Energy_plantations",17308.5246021264
"REF_MFM","noAFM","Import_Forest",240495.973651313
"REF_SFM","noAFM","EU28_Energy_crops",59138.507601614
"REF_SFM","noAFM","EU28_Forest_net",154035.533267207
"REF_SFM","noAFM","Import_Energy_plantations",19107.2320474842
"REF_SFM","noAFM","Import_Forest",241465.39289445
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",254805.409575494
"RCP2.6_MFM","AFMfree","EU28_Forest_net",191115.79915052
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",92183.1782005907
"RCP2.6_MFM","AFMfree","Import_Forest",209885.073105248
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",254867.877534684
"RCP2.6_SFM","AFMfree","EU28_Forest_net",191141.213009458
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",89409.4438278517
"RCP2.6_SFM","AFMfree","Import_Forest",206492.918618255
"REF_MFM","AFMfree","EU28_Energy_crops",56334.5518742073
"REF_MFM","AFMfree","EU28_Forest_net",132253.831275307
"REF_MFM","AFMfree","Import_Energy_plantations",18769.873895899
"REF_MFM","AFMfree","Import_Forest",140451.78810218
"REF_SFM","AFMfree","EU28_Energy_crops",56532.7115664078
"REF_SFM","AFMfree","EU28_Forest_net",136740.432629907
"REF_SFM","AFMfree","Import_Energy_plantations",17454.195845071
"REF_SFM","AFMfree","Import_Forest",145877.223928018
"RCP2.6_MFM","AFM25","EU28_Energy_crops",257531.945182546
"RCP2.6_MFM","AFM25","EU28_Forest_net",182809.203524262
"RCP2.6_MFM","AFM25","Import_Energy_plantations",103401.034806452
"RCP2.6_MFM","AFM25","Import_Forest",218208.978284026
"RCP2.6_SFM","AFM25","EU28_Energy_crops",261325.033961839
"RCP2.6_SFM","AFM25","EU28_Forest_net",181690.592482724
"RCP2.6_SFM","AFM25","Import_Energy_plantations",118752.228177217
"RCP2.6_SFM","AFM25","Import_Forest",261901.657590325
"REF_MFM","AFM25","EU28_Energy_crops",56851.1639021398
"REF_MFM","AFM25","EU28_Forest_net",133998.166209035
"REF_MFM","AFM25","Import_Energy_plantations",17557.5692585975
"REF_MFM","AFM25","Import_Forest",147706.389033059
"REF_SFM","AFM25","EU28_Energy_crops",57843.7629130329
"REF_SFM","AFM25","EU28_Forest_net",139527.697658942
"REF_SFM","AFM25","Import_Energy_plantations",19722.4295705781
"REF_SFM","AFM25","Import_Forest",180189.693656104
"RCP2.6_MFM","AFM50","EU28_Energy_crops",259658.916248225
"RCP2.6_MFM","AFM50","EU28_Forest_net",172577.881703143
"RCP2.6_MFM","AFM50","Import_Energy_plantations",117351.083196271
"RCP2.6_MFM","AFM50","Import_Forest",234873.556698748
"RCP2.6_SFM","AFM50","EU28_Energy_crops",266635.880371376
"RCP2.6_SFM","AFM50","EU28_Forest_net",170339.71450959
"RCP2.6_SFM","AFM50","Import_Energy_plantations",144881.785638775
"RCP2.6_SFM","AFM50","Import_Forest",395914.013221604
"REF_MFM","AFM50","EU28_Energy_crops",57540.677575814
"REF_MFM","AFM50","EU28_Forest_net",130231.050437932
"REF_MFM","AFM50","Import_Energy_plantations",19505.6647119352
"REF_MFM","AFM50","Import_Forest",158791.563329894
"REF_SFM","AFM50","EU28_Energy_crops",61721.9152124126
"REF_SFM","AFM50","EU28_Forest_net",131358.746966078
"REF_SFM","AFM50","Import_Energy_plantations",21723.3689953121
"REF_SFM","AFM50","Import_Forest",312189.046180378
"RCP2.6_MFM","AFM75","EU28_Energy_crops",264015.149056472
"RCP2.6_MFM","AFM75","EU28_Forest_net",164739.180971972
"RCP2.6_MFM","AFM75","Import_Energy_plantations",126135.734723118
"RCP2.6_MFM","AFM75","Import_Forest",283253.236936882
"RCP2.6_SFM","AFM75","EU28_Energy_crops",270789.836641446
"RCP2.6_SFM","AFM75","EU28_Forest_net",157401.1830428
"RCP2.6_SFM","AFM75","Import_Energy_plantations",170522.226592937
"RCP2.6_SFM","AFM75","Import_Forest",464842.66981114
"REF_MFM","AFM75","EU28_Energy_crops",59308.5349900143
"REF_MFM","AFM75","EU28_Forest_net",123197.94015053
"REF_MFM","AFM75","Import_Energy_plantations",18553.1824482123
"REF_MFM","AFM75","Import_Forest",197365.288114434
"REF_SFM","AFM75","EU28_Energy_crops",65442.4806923222
"REF_SFM","AFM75","EU28_Forest_net",116564.850050421
"REF_SFM","AFM75","Import_Energy_plantations",29882.9159099328
"REF_SFM","AFM75","Import_Forest",424641.853406429
"RCP2.6_MFM","AFM100","EU28_Energy_crops",266832.894806374
"RCP2.6_MFM","AFM100","EU28_Forest_net",154951.904643201
"RCP2.6_MFM","AFM100","Import_Energy_plantations",143604.392961477
"RCP2.6_MFM","AFM100","Import_Forest",320281.461712031
"RCP2.6_SFM","AFM100","EU28_Energy_crops",275951.63945137
"RCP2.6_SFM","AFM100","EU28_Forest_net",146438.790209357
"RCP2.6_SFM","AFM100","Import_Energy_plantations",187952.044947666
"RCP2.6_SFM","AFM100","Import_Forest",591147.847115739
"REF_MFM","AFM100","EU28_Energy_crops",60989.3694523124
"REF_MFM","AFM100","EU28_Forest_net",116177.724941315
"REF_MFM","AFM100","Import_Energy_plantations",21662.8985464607
"REF_MFM","AFM100","Import_Forest",244678.293730438
"REF_SFM","AFM100","EU28_Energy_crops",68740.2494443255
