"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",260460.115322541
"RCP2.6_MFM","noAFM","EU28_Forest_net",225058.866205088
"RCP2.6_MFM","noAFM","Import_Energy_plantations",102410.957133861
"RCP2.6_MFM","noAFM","Clear_cut_im",70276.5268463531
"RCP2.6_MFM","noAFM","Pulp_Timber_Plantation_im",236989.901051612
"RCP2.6_MFM","noAFM","Selection_im",0
"RCP2.6_MFM","noAFM","Selective_im",0
"RCP2.6_SFM","noAFM","EU28_Energy_crops",260654.58718993
"RCP2.6_SFM","noAFM","EU28_Forest_net",225009.79846116
"RCP2.6_SFM","noAFM","Import_Energy_plantations",101796.059514529
"RCP2.6_SFM","noAFM","Clear_cut_im",70380.6479691573
"RCP2.6_SFM","noAFM","Pulp_Timber_Plantation_im",239594.41416178
"RCP2.6_SFM","noAFM","Selection_im",0
"RCP2.6_SFM","noAFM","Selective_im",0
"REF_MFM","noAFM","EU28_Energy_crops",59110.4864454456
"REF_MFM","noAFM","EU28_Forest_net",154005.878728011
"REF_MFM","noAFM","Import_Energy_plantations",17308.5246021264
"REF_MFM","noAFM","Clear_cut_im",68855.5013948201
"REF_MFM","noAFM","Pulp_Timber_Plantation_im",171640.472256493
"REF_MFM","noAFM","Selection_im",0
"REF_MFM","noAFM","Selective_im",0
"REF_SFM","noAFM","EU28_Energy_crops",59138.507601614
"REF_SFM","noAFM","EU28_Forest_net",154035.533267207
"REF_SFM","noAFM","Import_Energy_plantations",19107.2320474842
"REF_SFM","noAFM","Clear_cut_im",68376.0067827078
"REF_SFM","noAFM","Pulp_Timber_Plantation_im",173089.386111742
"REF_SFM","noAFM","Selection_im",0
"REF_SFM","noAFM","Selective_im",0
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",254805.409575494
"RCP2.6_MFM","AFMfree","EU28_Forest_net",191115.79915052
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",92183.1782005907
"RCP2.6_MFM","AFMfree","Clear_cut_im",50235.5035571336
"RCP2.6_MFM","AFMfree","Pulp_Timber_Plantation_im",159649.569548114
"RCP2.6_MFM","AFMfree","Selection_im",0
"RCP2.6_MFM","AFMfree","Selective_im",0
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",254867.877534684
"RCP2.6_SFM","AFMfree","EU28_Forest_net",191141.213009458
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",89409.4438278517
"RCP2.6_SFM","AFMfree","Clear_cut_im",50910.4845316658
"RCP2.6_SFM","AFMfree","Pulp_Timber_Plantation_im",155582.434086589
"RCP2.6_SFM","AFMfree","Selection_im",0
"RCP2.6_SFM","AFMfree","Selective_im",0
"REF_MFM","AFMfree","EU28_Energy_crops",56334.5518742073
"REF_MFM","AFMfree","EU28_Forest_net",132253.831275307
"REF_MFM","AFMfree","Import_Energy_plantations",18769.873895899
"REF_MFM","AFMfree","Clear_cut_im",46811.8812335636
"REF_MFM","AFMfree","Pulp_Timber_Plantation_im",93639.9068686162
"REF_MFM","AFMfree","Selection_im",0
"REF_MFM","AFMfree","Selective_im",0
"REF_SFM","AFMfree","EU28_Energy_crops",56532.7115664078
"REF_SFM","AFMfree","EU28_Forest_net",136740.432629907
"REF_SFM","AFMfree","Import_Energy_plantations",17454.195845071
"REF_SFM","AFMfree","Clear_cut_im",47720.0878485744
"REF_SFM","AFMfree","Pulp_Timber_Plantation_im",98157.1360794434
"REF_SFM","AFMfree","Selection_im",0
"REF_SFM","AFMfree","Selective_im",0
"RCP2.6_MFM","AFM25","EU28_Energy_crops",257531.945182546
"RCP2.6_MFM","AFM25","EU28_Forest_net",182809.203524262
"RCP2.6_MFM","AFM25","Import_Energy_plantations",103401.034806452
"RCP2.6_MFM","AFM25","Clear_cut_im",54025.4264511784
"RCP2.6_MFM","AFM25","Pulp_Timber_Plantation_im",164183.551832848
"RCP2.6_MFM","AFM25","Selection_im",0
"RCP2.6_MFM","AFM25","Selective_im",0
"RCP2.6_SFM","AFM25","EU28_Energy_crops",261325.033961839
"RCP2.6_SFM","AFM25","EU28_Forest_net",181690.592482724
"RCP2.6_SFM","AFM25","Import_Energy_plantations",118752.228177217
"RCP2.6_SFM","AFM25","Clear_cut_im",64090.6781417561
"RCP2.6_SFM","AFM25","Pulp_Timber_Plantation_im",197810.979448569
"RCP2.6_SFM","AFM25","Selection_im",0
"RCP2.6_SFM","AFM25","Selective_im",0
"REF_MFM","AFM25","EU28_Energy_crops",56851.1639021398
"REF_MFM","AFM25","EU28_Forest_net",133998.166209035
"REF_MFM","AFM25","Import_Energy_plantations",17557.5692585975
"REF_MFM","AFM25","Clear_cut_im",48701.3596493997
"REF_MFM","AFM25","Pulp_Timber_Plantation_im",99005.0293836598
"REF_MFM","AFM25","Selection_im",0
"REF_MFM","AFM25","Selective_im",0
"REF_SFM","AFM25","EU28_Energy_crops",57843.7629130329
"REF_SFM","AFM25","EU28_Forest_net",139527.697658942
"REF_SFM","AFM25","Import_Energy_plantations",19722.4295705781
"REF_SFM","AFM25","Clear_cut_im",61466.0529343165
"REF_SFM","AFM25","Pulp_Timber_Plantation_im",118723.640721788
"REF_SFM","AFM25","Selection_im",0
"REF_SFM","AFM25","Selective_im",0
"RCP2.6_MFM","AFM50","EU28_Energy_crops",259658.916248225
"RCP2.6_MFM","AFM50","EU28_Forest_net",172577.881703143
"RCP2.6_MFM","AFM50","Import_Energy_plantations",117351.083196271
"RCP2.6_MFM","AFM50","Clear_cut_im",60300.7454034687
"RCP2.6_MFM","AFM50","Pulp_Timber_Plantation_im",174572.811295279
"RCP2.6_MFM","AFM50","Selection_im",0
"RCP2.6_MFM","AFM50","Selective_im",0
"RCP2.6_SFM","AFM50","EU28_Energy_crops",266635.880371376
"RCP2.6_SFM","AFM50","EU28_Forest_net",170339.71450959
"RCP2.6_SFM","AFM50","Import_Energy_plantations",144881.785638775
"RCP2.6_SFM","AFM50","Clear_cut_im",80709.5211565937
