"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",9409.15969550315,0,0
"RCP2.6_SFM","noAFM",9441.00158677944,0,0
"REF_MFM","noAFM",4404.70102205323,0,0
"REF_SFM","noAFM",4440.54380193662,0,0
"RCP2.6_MFM","AFMfree",7960.56810240987,0,0
"RCP2.6_SFM","AFMfree",7848.2712148127,0,0
"REF_MFM","AFMfree",3105.30696301457,0,0
"REF_SFM","AFMfree",3165.18450395098,0,0
"RCP2.6_MFM","AFM25",8268.99679769437,0,0
"RCP2.6_SFM","AFM25",9114.68867963174,0,0
"REF_MFM","AFM25",3180.29348561532,0,0
"REF_SFM","AFM25",3557.56454151459,0,0
"RCP2.6_MFM","AFM50",8668.96362789387,0,0
"RCP2.6_SFM","AFM50",11474.0856803364,0,0
"REF_MFM","AFM50",3308.4399196375,0,0
"REF_SFM","AFM50",5494.79062382715,0,0
"RCP2.6_MFM","AFM75",9604.29231244979,0,0
"RCP2.6_SFM","AFM75",12605.5604546461,0,0
"REF_MFM","AFM75",3902.47662802733,0,0
"REF_SFM","AFM75",7060.87841548266,0,0
"RCP2.6_MFM","AFM100",10338.7413103493,0,0
"RCP2.6_SFM","AFM100",14758.867977686,0,0
"REF_MFM","AFM100",4541.94448173245,0,0
"REF_SFM","AFM100",9347.21085514647,0,0
