"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",895196.366559455,0,0
"RCP2.6_SFM","noAFM",897435.507296558,0,0
"REF_MFM","noAFM",470920.863426895,0,0
"REF_SFM","noAFM",473746.665810755,0,0
"RCP2.6_MFM","AFMfree",747989.460031853,0,0
"RCP2.6_SFM","AFMfree",741911.452990249,0,0
"REF_MFM","AFMfree",347810.045147593,0,0
"REF_SFM","AFMfree",356604.563969404,0,0
"RCP2.6_MFM","AFM25",761951.161797287,0,0
"RCP2.6_SFM","AFM25",823669.512212106,0,0
"REF_MFM","AFM25",356113.288402832,0,0
"REF_SFM","AFM25",397283.583798657,0,0
"RCP2.6_MFM","AFM50",784461.437846386,0,0
"RCP2.6_SFM","AFM50",977771.393741345,0,0
"REF_MFM","AFM50",366068.956055576,0,0
"REF_SFM","AFM50",526993.077354181,0,0
"RCP2.6_MFM","AFM75",838143.301688445,0,0
"RCP2.6_SFM","AFM75",1063555.91608832,0,0
"REF_MFM","AFM75",398424.94570319,0,0
"REF_SFM","AFM75",636532.100059105,0,0
"RCP2.6_MFM","AFM100",885670.654123084,0,0
"RCP2.6_SFM","AFM100",1201490.32172413,0,0
"REF_MFM","AFM100",443508.286670526,0,0
"REF_SFM","AFM100",793019.205017361,0,0
