"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",247548.270068542,0,0,"noAFM","2020"
"RCP2.6_SFM",247481.723499636,0,0,"noAFM","2020"
"REF_MFM",252080.087314031,0,0,"noAFM","2020"
"REF_SFM",252271.257958262,0,0,"noAFM","2020"
"RCP2.6_MFM",247535.699032254,0,0,"AFMfree","2020"
"RCP2.6_SFM",248807.206069931,0,0,"AFMfree","2020"
"REF_MFM",252206.11827896,0,0,"AFMfree","2020"
"REF_SFM",254210.829921008,0,0,"AFMfree","2020"
"RCP2.6_MFM",247384.167055128,0,0,"AFM25","2020"
"RCP2.6_SFM",246800.493898792,0,0,"AFM25","2020"
"REF_MFM",252465.173380544,0,0,"AFM25","2020"
"REF_SFM",251993.658447933,0,0,"AFM25","2020"
"RCP2.6_MFM",247569.500260845,0,0,"AFM50","2020"
"RCP2.6_SFM",244669.643367212,0,0,"AFM50","2020"
"REF_MFM",252377.933526588,0,0,"AFM50","2020"
"REF_SFM",249365.269657787,0,0,"AFM50","2020"
"RCP2.6_MFM",247345.386522312,0,0,"AFM75","2020"
"RCP2.6_SFM",240928.460917153,0,0,"AFM75","2020"
"REF_MFM",252189.286205325,0,0,"AFM75","2020"
"REF_SFM",245690.53234844,0,0,"AFM75","2020"
"RCP2.6_MFM",247613.893327492,0,0,"AFM100","2020"
"RCP2.6_SFM",236100.4172884,0,0,"AFM100","2020"
"REF_MFM",251969.432022828,0,0,"AFM100","2020"
"REF_SFM",240818.760686002,0,0,"AFM100","2020"
"RCP2.6_MFM",286974.580268953,0,0,"noAFM","2030"
"RCP2.6_SFM",286747.494288818,0,0,"noAFM","2030"
"REF_MFM",279768.900326272,0,0,"noAFM","2030"
"REF_SFM",280380.420855431,0,0,"noAFM","2030"
"RCP2.6_MFM",283143.30145292,0,0,"AFMfree","2030"
"RCP2.6_SFM",278413.581755766,0,0,"AFMfree","2030"
"REF_MFM",275195.610185451,0,0,"AFMfree","2030"
"REF_SFM",275272.356887624,0,0,"AFMfree","2030"
"RCP2.6_MFM",282922.355164346,0,0,"AFM25","2030"
"RCP2.6_SFM",279193.8079514,0,0,"AFM25","2030"
"REF_MFM",273114.686966925,0,0,"AFM25","2030"
"REF_SFM",276135.912951456,0,0,"AFM25","2030"
"RCP2.6_MFM",280645.853190031,0,0,"AFM50","2030"
"RCP2.6_SFM",282651.136037046,0,0,"AFM50","2030"
"REF_MFM",274527.59114596,0,0,"AFM50","2030"
"REF_SFM",274586.331043913,0,0,"AFM50","2030"
"RCP2.6_MFM",279194.198680015,0,0,"AFM75","2030"
"RCP2.6_SFM",294905.413909337,0,0,"AFM75","2030"
"REF_MFM",273842.848151822,0,0,"AFM75","2030"
"REF_SFM",283506.573640141,0,0,"AFM75","2030"
"RCP2.6_MFM",281832.027599365,0,0,"AFM100","2030"
"RCP2.6_SFM",309871.322350258,0,0,"AFM100","2030"
"REF_MFM",274074.203682047,0,0,"AFM100","2030"
"REF_SFM",296955.831404806,0,0,"AFM100","2030"
"RCP2.6_MFM",357722.920801221,0,0,"noAFM","2040"
"RCP2.6_SFM",357606.243212764,0,0,"noAFM","2040"
"REF_MFM",317091.078092798,0,0,"noAFM","2040"
"REF_SFM",317573.271150069,0,0,"noAFM","2040"
"RCP2.6_MFM",334128.594563475,0,0,"AFMfree","2040"
"RCP2.6_SFM",328472.039882626,0,0,"AFMfree","2040"
"REF_MFM",285400.170239874,0,0,"AFMfree","2040"
"REF_SFM",287106.236719394,0,0,"AFMfree","2040"
"RCP2.6_MFM",331716.689958154,0,0,"AFM25","2040"
"RCP2.6_SFM",328635.355845439,0,0,"AFM25","2040"
"REF_MFM",286325.065468809,0,0,"AFM25","2040"
"REF_SFM",297334.610039725,0,0,"AFM25","2040"
"RCP2.6_MFM",325736.078757471,0,0,"AFM50","2040"
"RCP2.6_SFM",355773.688855828,0,0,"AFM50","2040"
"REF_MFM",288294.472608203,0,0,"AFM50","2040"
"REF_SFM",319367.428790705,0,0,"AFM50","2040"
"RCP2.6_MFM",329631.973519706,0,0,"AFM75","2040"
"RCP2.6_SFM",372663.048061466,0,0,"AFM75","2040"
"REF_MFM",292021.656918935,0,0,"AFM75","2040"
"REF_SFM",332689.912189264,0,0,"AFM75","2040"
"RCP2.6_MFM",338574.023909631,0,0,"AFM100","2040"
"RCP2.6_SFM",400067.259154718,0,0,"AFM100","2040"
"REF_MFM",299278.681746732,0,0,"AFM100","2040"
"REF_SFM",364346.424476708,0,0,"AFM100","2040"
"RCP2.6_MFM",430695.14461724,0,0,"noAFM","2050"
"RCP2.6_SFM",433291.517074239,0,0,"noAFM","2050"
"REF_MFM",364102.652969282,0,0,"noAFM","2050"
"REF_SFM",364478.944877577,0,0,"noAFM","2050"
"RCP2.6_MFM",374208.560744185,0,0,"AFMfree","2050"
"RCP2.6_SFM",377089.305964747,0,0,"AFMfree","2050"
"REF_MFM",301164.276574471,0,0,"AFMfree","2050"
"REF_SFM",303720.196623811,0,0,"AFMfree","2050"
"RCP2.6_MFM",378353.081471716,0,0,"AFM25","2050"
"RCP2.6_SFM",381356.126403547,0,0,"AFM25","2050"
"REF_MFM",301694.009171384,0,0,"AFM25","2050"
"REF_SFM",319037.271486778,0,0,"AFM25","2050"
"RCP2.6_MFM",378590.210631143,0,0,"AFM50","2050"
"RCP2.6_SFM",430006.427719597,0,0,"AFM50","2050"
"REF_MFM",305473.441356988,0,0,"AFM50","2050"
"REF_SFM",368584.463079405,0,0,"AFM50","2050"
"RCP2.6_MFM",384764.55419426,0,0,"AFM75","2050"
"RCP2.6_SFM",474735.234955783,0,0,"AFM75","2050"
"REF_MFM",318119.599361841,0,0,"AFM75","2050"
"REF_SFM",385399.891581611,0,0,"AFM75","2050"
"RCP2.6_MFM",405897.689441112,0,0,"AFM100","2050"
"RCP2.6_SFM",551239.780548843,0,0,"AFM100","2050"
"REF_MFM",329685.544736582,0,0,"AFM100","2050"
"REF_SFM",441361.908704363,0,0,"AFM100","2050"
"RCP2.6_MFM",502139.03834783,0,0,"noAFM","2060"
"RCP2.6_SFM",506381.717377536,0,0,"noAFM","2060"
"REF_MFM",391772.215683028,0,0,"noAFM","2060"
"REF_SFM",392556.13118233,0,0,"noAFM","2060"
"RCP2.6_MFM",426773.168604493,0,0,"AFMfree","2060"
"RCP2.6_SFM",424620.476047441,0,0,"AFMfree","2060"
"REF_MFM",311214.890766794,0,0,"AFMfree","2060"
"REF_SFM",314655.340086438,0,0,"AFMfree","2060"
"RCP2.6_MFM",427259.095448353,0,0,"AFM25","2060"
"RCP2.6_SFM",449746.476844707,0,0,"AFM25","2060"
"REF_MFM",313214.742496903,0,0,"AFM25","2060"
"REF_SFM",336563.897079163,0,0,"AFM25","2060"
"RCP2.6_MFM",436522.07309563,0,0,"AFM50","2060"
"RCP2.6_SFM",551182.370773989,0,0,"AFM50","2060"
"REF_MFM",319093.225022106,0,0,"AFM50","2060"
"REF_SFM",405513.600621277,0,0,"AFM50","2060"
"RCP2.6_MFM",457499.090647838,0,0,"AFM75","2060"
"RCP2.6_SFM",609302.320778049,0,0,"AFM75","2060"
"REF_MFM",338200.550988416,0,0,"AFM75","2060"
"REF_SFM",448565.229013923,0,0,"AFM75","2060"
"RCP2.6_MFM",496689.557895031,0,0,"AFM100","2060"
"RCP2.6_SFM",702003.229038252,0,0,"AFM100","2060"
"REF_MFM",358868.510237473,0,0,"AFM100","2060"
"REF_SFM",548319.670379606,0,0,"AFM100","2060"
"RCP2.6_MFM",598280.363571597,0,0,"noAFM","2070"
"RCP2.6_SFM",603137.905396047,0,0,"noAFM","2070"
"REF_MFM",422134.746281917,0,0,"noAFM","2070"
"REF_SFM",423419.705078596,0,0,"noAFM","2070"
"RCP2.6_MFM",491819.806162225,0,0,"AFMfree","2070"
"RCP2.6_SFM",490556.119712651,0,0,"AFMfree","2070"
"REF_MFM",319578.932887205,0,0,"AFMfree","2070"
"REF_SFM",325092.223486978,0,0,"AFMfree","2070"
"RCP2.6_MFM",507928.697914226,0,0,"AFM25","2070"
"RCP2.6_SFM",553635.562606617,0,0,"AFM25","2070"
"REF_MFM",322852.237125557,0,0,"AFM25","2070"
"REF_SFM",352277.532924983,0,0,"AFM25","2070"
"RCP2.6_MFM",522913.506083027,0,0,"AFM50","2070"
"RCP2.6_SFM",663377.252685239,0,0,"AFM50","2070"
"REF_MFM",329765.54689089,0,0,"AFM50","2070"
"REF_SFM",445087.083282816,0,0,"AFM50","2070"
"RCP2.6_MFM",562596.071115038,0,0,"AFM75","2070"
"RCP2.6_SFM",727060.55610202,0,0,"AFM75","2070"
"REF_MFM",356881.622156881,0,0,"AFM75","2070"
"REF_SFM",507289.819480331,0,0,"AFM75","2070"
"RCP2.6_MFM",600464.926097751,0,0,"AFM100","2070"
"RCP2.6_SFM",836635.516937485,0,0,"AFM100","2070"
"REF_MFM",387297.664465999,0,0,"AFM100","2070"
"REF_SFM",635303.515867024,0,0,"AFM100","2070"
"RCP2.6_MFM",700698.129622848,0,0,"noAFM","2080"
"RCP2.6_SFM",702024.334115504,0,0,"noAFM","2080"
"REF_MFM",446030.460264938,0,0,"noAFM","2080"
"REF_SFM",448176.3371021,0,0,"noAFM","2080"
"RCP2.6_MFM",563769.249712964,0,0,"AFMfree","2080"
"RCP2.6_SFM",560275.907872501,0,0,"AFMfree","2080"
"REF_MFM",328706.876252307,0,0,"AFMfree","2080"
"REF_SFM",334660.368209785,0,0,"AFMfree","2080"
"RCP2.6_MFM",582271.532169399,0,0,"AFM25","2080"
"RCP2.6_SFM",632243.616452821,0,0,"AFM25","2080"
"REF_MFM",332499.16951003,0,0,"AFM25","2080"
"REF_SFM",366835.056689595,0,0,"AFM25","2080"
"RCP2.6_MFM",598295.015135112,0,0,"AFM50","2080"
"RCP2.6_SFM",759825.546601748,0,0,"AFM50","2080"
"REF_MFM",337865.015213926,0,0,"AFM50","2080"
"REF_SFM",485102.922225651,0,0,"AFM50","2080"
"RCP2.6_MFM",645254.0284489,0,0,"AFM75","2080"
"RCP2.6_SFM",828569.489005715,0,0,"AFM75","2080"
"REF_MFM",369409.783854269,0,0,"AFM75","2080"
"REF_SFM",565197.80757139,0,0,"AFM75","2080"
"RCP2.6_MFM",687725.518587768,0,0,"AFM100","2080"
"RCP2.6_SFM",941579.781397671,0,0,"AFM100","2080"
"REF_MFM",409493.793569824,0,0,"AFM100","2080"
"REF_SFM",702613.478887778,0,0,"AFM100","2080"
"RCP2.6_MFM",801419.206512494,0,0,"noAFM","2090"
"RCP2.6_SFM",802382.451312357,0,0,"noAFM","2090"
"REF_MFM",459939.883004075,0,0,"noAFM","2090"
"REF_SFM",462792.912751408,0,0,"noAFM","2090"
"RCP2.6_MFM",662497.758476519,0,0,"AFMfree","2090"
"RCP2.6_SFM",659773.796599071,0,0,"AFMfree","2090"
"REF_MFM",336671.169481407,0,0,"AFMfree","2090"
"REF_SFM",342143.964605964,0,0,"AFMfree","2090"
"RCP2.6_MFM",674901.923915028,0,0,"AFM25","2090"
"RCP2.6_SFM",726211.537780777,0,0,"AFM25","2090"
"REF_MFM",339954.823914279,0,0,"AFM25","2090"
"REF_SFM",378858.124755773,0,0,"AFM25","2090"
"RCP2.6_MFM",691657.567116901,0,0,"AFM50","2090"
"RCP2.6_SFM",869722.686103175,0,0,"AFM50","2090"
"REF_MFM",349488.874609299,0,0,"AFM50","2090"
"REF_SFM",505095.941680904,0,0,"AFM50","2090"
"RCP2.6_MFM",741811.30043093,0,0,"AFM75","2090"
"RCP2.6_SFM",946102.19010215,0,0,"AFM75","2090"
"REF_MFM",380801.495430906,0,0,"AFM75","2090"
"REF_SFM",602591.981291594,0,0,"AFM75","2090"
"RCP2.6_MFM",785312.104607216,0,0,"AFM100","2090"
"RCP2.6_SFM",1071273.06687086,0,0,"AFM100","2090"
"REF_MFM",423155.112771667,0,0,"AFM100","2090"
"REF_SFM",752515.79146412,0,0,"AFM100","2090"
"RCP2.6_MFM",895196.366559455,0,0,"noAFM","2100"
"RCP2.6_SFM",897435.507296558,0,0,"noAFM","2100"
"REF_MFM",470920.863426895,0,0,"noAFM","2100"
"REF_SFM",473746.665810755,0,0,"noAFM","2100"
"RCP2.6_MFM",747989.460031853,0,0,"AFMfree","2100"
"RCP2.6_SFM",741911.452990249,0,0,"AFMfree","2100"
"REF_MFM",347810.045147593,0,0,"AFMfree","2100"
"REF_SFM",356604.563969404,0,0,"AFMfree","2100"
"RCP2.6_MFM",761951.161797287,0,0,"AFM25","2100"
"RCP2.6_SFM",823669.512212106,0,0,"AFM25","2100"
"REF_MFM",356113.288402832,0,0,"AFM25","2100"
"REF_SFM",397283.583798657,0,0,"AFM25","2100"
"RCP2.6_MFM",784461.437846386,0,0,"AFM50","2100"
"RCP2.6_SFM",977771.393741345,0,0,"AFM50","2100"
"REF_MFM",366068.956055576,0,0,"AFM50","2100"
"REF_SFM",526993.077354181,0,0,"AFM50","2100"
"RCP2.6_MFM",838143.301688445,0,0,"AFM75","2100"
"RCP2.6_SFM",1063555.91608832,0,0,"AFM75","2100"
"REF_MFM",398424.94570319,0,0,"AFM75","2100"
"REF_SFM",636532.100059105,0,0,"AFM75","2100"
"RCP2.6_MFM",885670.654123084,0,0,"AFM100","2100"
"RCP2.6_SFM",1201490.32172413,0,0,"AFM100","2100"
"REF_MFM",443508.286670526,0,0,"AFM100","2100"
"REF_SFM",793019.205017361,0,0,"AFM100","2100"
