"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",4108.38971710577,0,0
"RCP2.6_SFM","noAFM",4110.18562125788,0,0
"REF_MFM","noAFM",1364.2508686328,0,0
"REF_SFM","noAFM",1365.08573626695,0,0
"RCP2.6_MFM","AFMfree",4077.99507905809,0,0
"RCP2.6_SFM","AFMfree",4078.1311208998,0,0
"REF_MFM","AFMfree",1341.15078255727,0,0
"REF_SFM","AFMfree",1344.89353703076,0,0
"RCP2.6_MFM","AFM25",4117.40301063471,0,0
"RCP2.6_SFM","AFM25",4152.65298604406,0,0
"REF_MFM","AFM25",1344.45974123262,0,0
"REF_SFM","AFM25",1358.2881439348,0,0
"RCP2.6_MFM","AFM50",4132.83765870704,0,0
"RCP2.6_SFM","AFM50",4221.1415108067,0,0
"REF_MFM","AFM50",1352.64229835677,0,0
"REF_SFM","AFM50",1399.8113796264,0,0
"RCP2.6_MFM","AFM75",4188.96016428904,0,0
"RCP2.6_SFM","AFM75",4253.04235959828,0,0
"REF_MFM","AFM75",1365.34186761652,0,0
"REF_SFM","AFM75",1445.81419703102,0,0
"RCP2.6_MFM","AFM100",4221.52238456829,0,0
"RCP2.6_SFM","AFM100",4286.23118928536,0,0
"REF_MFM","AFM100",1388.17962161857,0,0
"REF_SFM","AFM100",1487.81970082266,0,0
