"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",485518.981527629,0,0
"RCP2.6_SFM","noAFM",485664.385651091,0,0
"REF_MFM","noAFM",213116.365173456,0,0
"REF_SFM","noAFM",213174.040868821,0,0
"RCP2.6_MFM","AFMfree",445921.208726015,0,0
"RCP2.6_SFM","AFMfree",446009.090544142,0,0
"REF_MFM","AFMfree",188588.383149514,0,0
"REF_SFM","AFMfree",193273.144196315,0,0
"RCP2.6_MFM","AFM25",440341.148706808,0,0
"RCP2.6_SFM","AFM25",443015.626444563,0,0
"REF_MFM","AFM25",190849.330111175,0,0
"REF_SFM","AFM25",197371.460571975,0,0
"RCP2.6_MFM","AFM50",432236.797951368,0,0
"RCP2.6_SFM","AFM50",436975.594880966,0,0
"REF_MFM","AFM50",187771.728013746,0,0
"REF_SFM","AFM50",193080.662178491,0,0
"RCP2.6_MFM","AFM75",428754.330028445,0,0
"RCP2.6_SFM","AFM75",428191.019684246,0,0
"REF_MFM","AFM75",182506.475140544,0,0
"REF_SFM","AFM75",182007.330742743,0,0
"RCP2.6_MFM","AFM100",421784.799449575,0,0
"RCP2.6_SFM","AFM100",422390.429660728,0,0
"REF_MFM","AFM100",177167.094393628,0,0
"REF_SFM","AFM100",174189.225867023,0,0
