"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",29931.5409622184
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",267153.854552214
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",260460.115322541
"RCP2.6_MFM","noAFM","Annual_crops",75941.887720086
"RCP2.6_MFM","noAFM","Pasture",372629.356644336
"RCP2.6_MFM","noAFM","Permanent_crops",399140.234852178
"RCP2.6_MFM","noAFM","Urban",114073.658607004
"RCP2.6_SFM","noAFM","Afforestation",29929.227133556
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",267098.333098501
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",260654.58718993
"RCP2.6_SFM","noAFM","Annual_crops",75938.8306905731
"RCP2.6_SFM","noAFM","Pasture",372314.590451806
"RCP2.6_SFM","noAFM","Permanent_crops",399129.456253904
"RCP2.6_SFM","noAFM","Urban",114063.460451314
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",197119.240998255
"REF_MFM","noAFM","Energy_crops_and_plantations",59110.4864454456
"REF_MFM","noAFM","Annual_crops",464512.075742098
"REF_MFM","noAFM","Pasture",483974.304662622
"REF_MFM","noAFM","Permanent_crops",414762.014529486
"REF_MFM","noAFM","Urban",128154.751855215
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",197154.463597297
"REF_SFM","noAFM","Energy_crops_and_plantations",59138.507601614
"REF_SFM","noAFM","Annual_crops",464384.162082507
"REF_SFM","noAFM","Pasture",483985.567736922
"REF_SFM","noAFM","Permanent_crops",414751.212150891
"REF_SFM","noAFM","Urban",128148.559329324
"RCP2.6_MFM","AFMfree","Afforestation",29754.4351252536
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",233774.703272467
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",254805.409575494
"RCP2.6_MFM","AFMfree","Annual_crops",76592.9526970421
"RCP2.6_MFM","AFMfree","Pasture",372116.533290613
"RCP2.6_MFM","AFMfree","Permanent_crops",396579.345714395
"RCP2.6_MFM","AFMfree","Urban",113215.679669536
"RCP2.6_SFM","AFMfree","Afforestation",29753.1052783382
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",233444.120831469
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",254867.877534684
"RCP2.6_SFM","AFMfree","Annual_crops",76322.121330219
"RCP2.6_SFM","AFMfree","Pasture",372058.060613089
"RCP2.6_SFM","AFMfree","Permanent_crops",396645.144039641
"RCP2.6_SFM","AFMfree","Urban",113255.810819038
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",176517.81063398
"REF_MFM","AFMfree","Energy_crops_and_plantations",56334.5518742073
"REF_MFM","AFMfree","Annual_crops",461987.852273863
"REF_MFM","AFMfree","Pasture",482728.444734727
"REF_MFM","AFMfree","Permanent_crops",412226.971909294
"REF_MFM","AFMfree","Urban",127389.865862965
"REF_SFM","AFMfree","Afforestation",0
"REF_SFM","AFMfree","Regrowth",0
"REF_SFM","AFMfree","Forest",179158.842408046
"REF_SFM","AFMfree","Energy_crops_and_plantations",56532.7115664078
"REF_SFM","AFMfree","Annual_crops",463143.752179322
"REF_SFM","AFMfree","Pasture",483156.908022837
"REF_SFM","AFMfree","Permanent_crops",412736.156212317
"REF_SFM","AFMfree","Urban",127602.551614475
"RCP2.6_MFM","AFM25","Afforestation",29701.4555027438
"RCP2.6_MFM","AFM25","Regrowth",0
"RCP2.6_MFM","AFM25","Forest",224773.204218843
