"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",1519330.64866058,0,0
"RCP2.6_SFM","noAFM",1519128.48526958,0,0
"REF_MFM","noAFM",1747632.87423312,0,0
"REF_SFM","noAFM",1747562.47249855,0,0
"RCP2.6_MFM","AFMfree",1476839.0593448,0,0
"RCP2.6_SFM","AFMfree",1476346.24044648,0,0
"REF_MFM","AFMfree",1717185.49728904,0,0
"REF_SFM","AFMfree",1722330.92200341,0,0
"RCP2.6_MFM","AFM25",1466953.06752947,0,0
"RCP2.6_SFM","AFM25",1468340.49567617,0,0
"REF_MFM","AFM25",1719587.72705386,0,0
"REF_SFM","AFM25",1729389.41637262,0,0
"RCP2.6_MFM","AFM50",1455055.05944621,0,0
"RCP2.6_SFM","AFM50",1459585.47674286,0,0
"REF_MFM","AFM50",1714567.38110341,0,0
"REF_SFM","AFM50",1723715.98580747,0,0
"RCP2.6_MFM","AFM75",1449810.87866558,0,0
"RCP2.6_SFM","AFM75",1449897.07958121,0,0
"REF_MFM","AFM75",1709334.38014895,0,0
"REF_SFM","AFM75",1710250.47174081,0,0
"RCP2.6_MFM","AFM100",1446225.01689384,0,0
"RCP2.6_SFM","AFM100",1446213.40695662,0,0
"REF_MFM","AFM100",1708038.49862867,0,0
"REF_SFM","AFM100",1700219.38655444,0,0
