"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",32500162.5458945,0,0
"RCP2.6_SFM","noAFM",32501677.2910071,0,0
"REF_MFM","noAFM",36839978.1030284,0,0
"REF_SFM","noAFM",36840376.7019966,0,0
"RCP2.6_MFM","AFMfree",32399656.3011751,0,0
"RCP2.6_SFM","AFMfree",32396277.7894483,0,0
"REF_MFM","AFMfree",36738320.4406136,0,0
"REF_SFM","AFMfree",36746788.0745866,0,0
"RCP2.6_MFM","AFM25",32392640.4712284,0,0
"RCP2.6_SFM","AFM25",32417908.0157379,0,0
"REF_MFM","AFM25",36745074.5681561,0,0
"REF_SFM","AFM25",36771600.3608925,0,0
"RCP2.6_MFM","AFM50",32391559.8452469,0,0
"RCP2.6_SFM","AFM50",32499449.6098382,0,0
"REF_MFM","AFM50",36743988.4863005,0,0
"REF_SFM","AFM50",36862070.0031728,0,0
"RCP2.6_MFM","AFM75",32420569.4004556,0,0
"RCP2.6_SFM","AFM75",32518356.0262413,0,0
"REF_MFM","AFM75",36768724.280547,0,0
"REF_SFM","AFM75",36907921.5405463,0,0
"RCP2.6_MFM","AFM100",32442673.7826937,0,0
"RCP2.6_SFM","AFM100",32594832.0759077,0,0
"REF_MFM","AFM100",36796774.9662566,0,0
"REF_SFM","AFM100",37000881.1491116,0,0
