"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",31948678.5867237,0,0,"2020"
"REF",31995288.4824265,0,0,"2020"
"RCP2.6",31878460.6469472,0,0,"2030"
"REF",33428841.1496016,0,0,"2030"
"RCP2.6",32147616.0001699,0,0,"2040"
"REF",34538635.6518731,0,0,"2040"
"RCP2.6",32305399.5952648,0,0,"2050"
"REF",35347190.2570512,0,0,"2050"
"RCP2.6",32275596.8078694,0,0,"2060"
"REF",36026984.7763291,0,0,"2060"
"RCP2.6",32300671.5994885,0,0,"2070"
"REF",36478416.3320797,0,0,"2070"
"RCP2.6",32661109.6247044,0,0,"2080"
"REF",36735186.2600442,0,0,"2080"
"RCP2.6",32817203.8660996,0,0,"2090"
"REF",36841181.6595166,0,0,"2090"
"RCP2.6",32500162.5458945,0,0,"2100"
"REF",36839978.1030284,0,0,"2100"
