"Group","Scenario","Category","PDF"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.000351743722515045
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.000293275494861086
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.000454250589882271
"RCP2.6_MFM","noAFM","Import_Forest",0.00104599859352374
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.000351733115917897
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.000293305349370346
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.000451812301637342
"RCP2.6_SFM","noAFM","Import_Forest",0.00105512107162816
"REF_MFM","noAFM","EU28_Energy_crops",8.27444439131752e-05
"REF_MFM","noAFM","EU28_Forest_net",0.000196908204295047
"REF_MFM","noAFM","Import_Energy_plantations",4.87830153561766e-05
"REF_MFM","noAFM","Import_Forest",0.00077420154703964
"REF_SFM","noAFM","EU28_Energy_crops",8.28855990741895e-05
"REF_SFM","noAFM","EU28_Forest_net",0.000196978482709246
"REF_SFM","noAFM","Import_Energy_plantations",5.16126651968838e-05
"REF_SFM","noAFM","Import_Forest",0.000784854995226232
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.000344604052164947
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.000288888725175052
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.000407841979718808
"RCP2.6_MFM","AFMfree","Import_Forest",0.000886561690958041
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.000344123074631968
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.000289998222289172
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.000387184173234204
"RCP2.6_SFM","AFMfree","Import_Forest",0.000886342986442978
"REF_MFM","AFMfree","EU28_Energy_crops",7.94050741415792e-05
"REF_MFM","AFMfree","EU28_Forest_net",0.000182510116324664
"REF_MFM","AFMfree","Import_Energy_plantations",5.14271742343978e-05
"REF_MFM","AFMfree","Import_Forest",0.00055506167192584
"REF_SFM","AFMfree","EU28_Energy_crops",7.96308548313469e-05
"REF_SFM","AFMfree","EU28_Forest_net",0.000193326730940685
"REF_SFM","AFMfree","Import_Energy_plantations",4.76354798941931e-05
"REF_SFM","AFMfree","Import_Forest",0.000580774185593639
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.000348783335101398
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.000260146596351122
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.00046154238503378
"RCP2.6_MFM","AFM25","Import_Forest",0.000877631793338749
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.000354671945672297
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.000257724568139681
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.000523007494941769
"RCP2.6_SFM","AFM25","Import_Forest",0.00104530063966389
"REF_MFM","AFM25","EU28_Energy_crops",8.00358147916143e-05
"REF_MFM","AFM25","EU28_Forest_net",0.000184633464079881
"REF_MFM","AFM25","Import_Energy_plantations",4.86512771158911e-05
"REF_MFM","AFM25","Import_Forest",0.000567477750415059
"REF_SFM","AFM25","EU28_Energy_crops",8.15299712364896e-05
"REF_SFM","AFM25","EU28_Forest_net",0.000205790400986624
"REF_SFM","AFM25","Import_Energy_plantations",5.51363478455623e-05
"REF_SFM","AFM25","Import_Forest",0.000697704140032067
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.000352376233318893
"RCP2.6_MFM","AFM50","EU28_Forest_net",0.000226101523903538
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.000517531725295786
"RCP2.6_MFM","AFM50","Import_Forest",0.000910677982168916
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0.000364144047477016
"RCP2.6_SFM","AFM50","EU28_Forest_net",0.000217585720258768
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0.000639997228174178
"RCP2.6_SFM","AFM50","Import_Forest",0.00142562837319115
"REF_MFM","AFM50","EU28_Energy_crops",8.10956881773058e-05
"REF_MFM","AFM50","EU28_Forest_net",0.000174258583504725
"REF_MFM","AFM50","Import_Energy_plantations",5.41743346631046e-05
"REF_MFM","AFM50","Import_Forest",0.000594909946368074
"REF_SFM","AFM50","EU28_Energy_crops",8.6885443119734e-05
"REF_SFM","AFM50","EU28_Forest_net",0.000173924009176825
"REF_SFM","AFM50","Import_Energy_plantations",6.18359846584648e-05
"REF_SFM","AFM50","Import_Forest",0.00107005164804494
"RCP2.6_MFM","AFM75","EU28_Energy_crops",0.000358806540139312
"RCP2.6_MFM","AFM75","EU28_Forest_net",0.000193129238418811
"RCP2.6_MFM","AFM75","Import_Energy_plantations",0.000558257894037436
"RCP2.6_MFM","AFM75","Import_Forest",0.00104208615164682
"RCP2.6_SFM","AFM75","EU28_Energy_crops",0.00037040256077693
"RCP2.6_SFM","AFM75","EU28_Forest_net",0.000178069736559008
"RCP2.6_SFM","AFM75","Import_Energy_plantations",0.000764968854771361
"RCP2.6_SFM","AFM75","Import_Forest",0.00163583790581808
"REF_MFM","AFM75","EU28_Energy_crops",8.30317239276867e-05
"REF_MFM","AFM75","EU28_Forest_net",0.000153045138153411
"REF_MFM","AFM75","Import_Energy_plantations",5.24352366715384e-05
"REF_MFM","AFM75","Import_Forest",0.00069367374507733
"REF_SFM","AFM75","EU28_Energy_crops",9.36609277440141e-05
"REF_SFM","AFM75","EU28_Forest_net",0.000131259227378661
"REF_SFM","AFM75","Import_Energy_plantations",9.4236995685387e-05
"REF_SFM","AFM75","Import_Forest",0.00141028462231408
"RCP2.6_MFM","AFM100","EU28_Energy_crops",0.000362999454245691
"RCP2.6_MFM","AFM100","EU28_Forest_net",0.000163709880611105
"RCP2.6_MFM","AFM100","Import_Energy_plantations",0.000633440815216596
"RCP2.6_MFM","AFM100","Import_Forest",0.00108525827316237
"RCP2.6_SFM","AFM100","EU28_Energy_crops",0.00037914321115013
"RCP2.6_SFM","AFM100","EU28_Forest_net",0.000142339350725318
"RCP2.6_SFM","AFM100","Import_Energy_plantations",0.000840598168724411
"RCP2.6_SFM","AFM100","Import_Forest",0.00196448364667525
"REF_MFM","AFM100","EU28_Energy_crops",8.58156341020968e-05
"REF_MFM","AFM100","EU28_Forest_net",0.000131340755965699
"REF_MFM","AFM100","Import_Energy_plantations",6.32199277038525e-05
"REF_MFM","AFM100","Import_Forest",0.000809474879166743
"REF_SFM","AFM100","EU28_Energy_crops",9.90831613662191e-05
"REF_SFM","AFM100","EU28_Forest_net",9.58615869711879e-05
"REF_SFM","AFM100","Import_Energy_plantations",0.000141298325923412
"REF_SFM","AFM100","Import_Forest",0.00186399284602957
