"Group","PDF","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.000517473845777934,0,0,"noAFM","2020"
"RCP2.6_SFM",0.000517060898720807,0,0,"noAFM","2020"
"REF_MFM",0.000518327783225233,0,0,"noAFM","2020"
"REF_SFM",0.00051896463894321,0,0,"noAFM","2020"
"RCP2.6_MFM",0.000514953577434633,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.000518572368214568,0,0,"AFMfree","2020"
"REF_MFM",0.000518086828533361,0,0,"AFMfree","2020"
"REF_SFM",0.000520616504711294,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.00051450313191612,0,0,"AFM25","2020"
"RCP2.6_SFM",0.00051501304885743,0,0,"AFM25","2020"
"REF_MFM",0.000519677131307105,0,0,"AFM25","2020"
"REF_SFM",0.000515646459197352,0,0,"AFM25","2020"
"RCP2.6_MFM",0.000517689476558544,0,0,"AFM50","2020"
"RCP2.6_SFM",0.000510431759493739,0,0,"AFM50","2020"
"REF_MFM",0.000517310411670082,0,0,"AFM50","2020"
"REF_SFM",0.000511601254262783,0,0,"AFM50","2020"
"RCP2.6_MFM",0.000517407394356346,0,0,"AFM75","2020"
"RCP2.6_SFM",0.000501943058057383,0,0,"AFM75","2020"
"REF_MFM",0.00051677278648265,0,0,"AFM75","2020"
"REF_SFM",0.000503261129983479,0,0,"AFM75","2020"
"RCP2.6_MFM",0.000517074047477781,0,0,"AFM100","2020"
"RCP2.6_SFM",0.000493805608562584,0,0,"AFM100","2020"
"REF_MFM",0.000516841235099627,0,0,"AFM100","2020"
"REF_SFM",0.00049659367181579,0,0,"AFM100","2020"
"RCP2.6_MFM",0.000583126826949007,0,0,"noAFM","2030"
"RCP2.6_SFM",0.000582554926981057,0,0,"noAFM","2030"
"REF_MFM",0.000566234953827336,0,0,"noAFM","2030"
"REF_SFM",0.00056839074712672,0,0,"noAFM","2030"
"RCP2.6_MFM",0.000579924930767731,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.000566224868772277,0,0,"AFMfree","2030"
"REF_MFM",0.000561397592799232,0,0,"AFMfree","2030"
"REF_SFM",0.000561427535372104,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.000577342319663438,0,0,"AFM25","2030"
"RCP2.6_SFM",0.000565552570548812,0,0,"AFM25","2030"
"REF_MFM",0.000555219116420345,0,0,"AFM25","2030"
"REF_SFM",0.000560702103346084,0,0,"AFM25","2030"
"RCP2.6_MFM",0.000572703770896574,0,0,"AFM50","2030"
"RCP2.6_SFM",0.000576380575036507,0,0,"AFM50","2030"
"REF_MFM",0.00055822581206976,0,0,"AFM50","2030"
"REF_SFM",0.000556628515001629,0,0,"AFM50","2030"
"RCP2.6_MFM",0.000569964464087851,0,0,"AFM75","2030"
"RCP2.6_SFM",0.000606962424994039,0,0,"AFM75","2030"
"REF_MFM",0.000552957712191624,0,0,"AFM75","2030"
"REF_SFM",0.000585315134844314,0,0,"AFM75","2030"
"RCP2.6_MFM",0.000573209531499633,0,0,"AFM100","2030"
"RCP2.6_SFM",0.000653606101007848,0,0,"AFM100","2030"
"REF_MFM",0.000554322593980249,0,0,"AFM100","2030"
"REF_SFM",0.000628213688658234,0,0,"AFM100","2030"
"RCP2.6_MFM",0.000750461052740772,0,0,"noAFM","2040"
"RCP2.6_SFM",0.000751482046569737,0,0,"noAFM","2040"
"REF_MFM",0.000664544844564088,0,0,"noAFM","2040"
"REF_SFM",0.000667304628225754,0,0,"noAFM","2040"
"RCP2.6_MFM",0.000703714276894558,0,0,"AFMfree","2040"
"RCP2.6_SFM",0.000689638742841061,0,0,"AFMfree","2040"
"REF_MFM",0.00059970066686695,0,0,"AFMfree","2040"
"REF_SFM",0.000602021190550351,0,0,"AFMfree","2040"
"RCP2.6_MFM",0.000693277349125183,0,0,"AFM25","2040"
"RCP2.6_SFM",0.000680420180846259,0,0,"AFM25","2040"
"REF_MFM",0.000599571233836297,0,0,"AFM25","2040"
"REF_SFM",0.00063060181102841,0,0,"AFM25","2040"
"RCP2.6_MFM",0.000674226467613601,0,0,"AFM50","2040"
"RCP2.6_SFM",0.000756925198937818,0,0,"AFM50","2040"
"REF_MFM",0.000603101087758493,0,0,"AFM50","2040"
"REF_SFM",0.000686286011845476,0,0,"AFM50","2040"
