"Group","Scenario","Category","PDF"
"RCP2.6_MFM","noAFM","Clear_cut",0.000291601910628497
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",1.67358423258854e-06
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0
"RCP2.6_MFM","noAFM","EP_EU",0.000351743722515045
"RCP2.6_SFM","noAFM","Clear_cut",0.000291634162967333
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",1.67118640301301e-06
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0
"RCP2.6_SFM","noAFM","EP_EU",0.000351733115917897
"REF_MFM","noAFM","Clear_cut",0.000187758828483941
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",9.1493758111061e-06
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0
"REF_MFM","noAFM","EP_EU",8.27444439131752e-05
"REF_SFM","noAFM","Clear_cut",0.000187839813979007
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",9.1386687302387e-06
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0
"REF_SFM","noAFM","EP_EU",8.28855990741895e-05
"RCP2.6_MFM","AFMfree","Clear_cut",0.000187709875094118
"RCP2.6_MFM","AFMfree","Retention",8.12509215479876e-06
"RCP2.6_MFM","AFMfree","Selection",2.25386963089581e-06
"RCP2.6_MFM","AFMfree","Timber",9.07998882952393e-05
"RCP2.6_MFM","AFMfree","Other_management",0
"RCP2.6_MFM","AFMfree","EP_EU",0.000344604052164947
"RCP2.6_SFM","AFMfree","Clear_cut",0.000188331367552751
"RCP2.6_SFM","AFMfree","Retention",8.10186648900731e-06
"RCP2.6_SFM","AFMfree","Selection",1.95500303243055e-06
"RCP2.6_SFM","AFMfree","Timber",9.1609985214984e-05
"RCP2.6_SFM","AFMfree","Other_management",0
"RCP2.6_SFM","AFMfree","EP_EU",0.000344123074631968
"REF_MFM","AFMfree","Clear_cut",0.000125771887383157
"REF_MFM","AFMfree","Retention",5.39466472858715e-06
"REF_MFM","AFMfree","Selection",8.14402565686934e-06
"REF_MFM","AFMfree","Timber",4.31995385560511e-05
"REF_MFM","AFMfree","Other_management",0
"REF_MFM","AFMfree","EP_EU",7.94050741415792e-05
"REF_SFM","AFMfree","Clear_cut",0.0001333657544274
"REF_SFM","AFMfree","Retention",5.45041266828621e-06
"REF_SFM","AFMfree","Selection",6.24289669075413e-06
"REF_SFM","AFMfree","Timber",4.82676671542439e-05
