"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.00064501921737613,0,0
"RCP2.6_SFM","noAFM",0.000645038465288244,0,0
"REF_MFM","noAFM",0.000279652648208222,0,0
"REF_SFM","noAFM",0.000279864081783435,0,0
"RCP2.6_MFM","AFMfree",0.000633492777339999,0,0
"RCP2.6_SFM","AFMfree",0.000634121296921141,0,0
"REF_MFM","AFMfree",0.000261915190466244,0,0
"REF_SFM","AFMfree",0.000272957585772032,0,0
"RCP2.6_MFM","AFM25",0.00060892993145252,0,0
"RCP2.6_SFM","AFM25",0.000612396513811978,0,0
"REF_MFM","AFM25",0.000264669278871496,0,0
"REF_SFM","AFM25",0.000287320372223113,0,0
"RCP2.6_MFM","AFM50",0.000578477757222431,0,0
"RCP2.6_SFM","AFM50",0.000581729767735784,0,0
"REF_MFM","AFM50",0.00025535427168203,0,0
"REF_SFM","AFM50",0.000260809452296559,0,0
"RCP2.6_MFM","AFM75",0.000551935778558123,0,0
"RCP2.6_SFM","AFM75",0.000548472297335938,0,0
"REF_MFM","AFM75",0.000236076862081097,0,0
"REF_SFM","AFM75",0.000224920155122675,0,0
"RCP2.6_MFM","AFM100",0.000526709334856797,0,0
"RCP2.6_SFM","AFM100",0.000521482561875448,0,0
"REF_MFM","AFM100",0.000217156390067796,0,0
"REF_SFM","AFM100",0.000194944748337407,0,0
