"Group","PDF","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.000194341544448017,0,0,"noAFM","2020"
"RCP2.6_SFM",0.000194341544959087,0,0,"noAFM","2020"
"REF_MFM",0.000196913632189626,0,0,"noAFM","2020"
"REF_SFM",0.000196913553584801,0,0,"noAFM","2020"
"RCP2.6_MFM",0.000194449782382108,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.000194758900225168,0,0,"AFMfree","2020"
"REF_MFM",0.000196914672418516,0,0,"AFMfree","2020"
"REF_SFM",0.000198699023022189,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.000194447344038521,0,0,"AFM25","2020"
"RCP2.6_SFM",0.000191587103752149,0,0,"AFM25","2020"
"REF_MFM",0.000196915776227573,0,0,"AFM25","2020"
"REF_SFM",0.000194661708323771,0,0,"AFM25","2020"
"RCP2.6_MFM",0.000194356060446939,0,0,"AFM50","2020"
"RCP2.6_SFM",0.000187316482194652,0,0,"AFM50","2020"
"REF_MFM",0.000197005407958488,0,0,"AFM50","2020"
"REF_SFM",0.000190011149643823,0,0,"AFM50","2020"
"RCP2.6_MFM",0.000194355946360319,0,0,"AFM75","2020"
"RCP2.6_SFM",0.000181496287176855,0,0,"AFM75","2020"
"REF_MFM",0.000196989504170692,0,0,"AFM75","2020"
"REF_SFM",0.000184012090432776,0,0,"AFM75","2020"
"RCP2.6_MFM",0.000194357889134577,0,0,"AFM100","2020"
"RCP2.6_SFM",0.000172839120858115,0,0,"AFM100","2020"
"REF_MFM",0.000196916642680001,0,0,"AFM100","2020"
"REF_SFM",0.00017513856089417,0,0,"AFM100","2020"
"RCP2.6_MFM",0.000223958969311557,0,0,"noAFM","2030"
"RCP2.6_SFM",0.000223967332263295,0,0,"noAFM","2030"
"REF_MFM",0.000220689433896759,0,0,"noAFM","2030"
"REF_SFM",0.000220768848489243,0,0,"noAFM","2030"
"RCP2.6_MFM",0.000219409715354846,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.000217907848775571,0,0,"AFMfree","2030"
"REF_MFM",0.000216641479183409,0,0,"AFMfree","2030"
"REF_SFM",0.000217628284125496,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.000217699664615237,0,0,"AFM25","2030"
"RCP2.6_SFM",0.000214894090593196,0,0,"AFM25","2030"
"REF_MFM",0.000214366081060764,0,0,"AFM25","2030"
"REF_SFM",0.000212762251484732,0,0,"AFM25","2030"
"RCP2.6_MFM",0.000214620152450145,0,0,"AFM50","2030"
"RCP2.6_SFM",0.000210475655959663,0,0,"AFM50","2030"
"REF_MFM",0.000212381704320133,0,0,"AFM50","2030"
"REF_SFM",0.000207200933240816,0,0,"AFM50","2030"
"RCP2.6_MFM",0.00021372942952548,0,0,"AFM75","2030"
"RCP2.6_SFM",0.000205927074355469,0,0,"AFM75","2030"
"REF_MFM",0.000210597794521634,0,0,"AFM75","2030"
"REF_SFM",0.000200067949450804,0,0,"AFM75","2030"
"RCP2.6_MFM",0.00021196699894214,0,0,"AFM100","2030"
"RCP2.6_SFM",0.000195980499805659,0,0,"AFM100","2030"
"REF_MFM",0.000207916422256829,0,0,"AFM100","2030"
"REF_SFM",0.000189443936420138,0,0,"AFM100","2030"
"RCP2.6_MFM",0.00024871100332557,0,0,"noAFM","2040"
"RCP2.6_SFM",0.000248703978327132,0,0,"noAFM","2040"
"REF_MFM",0.000235406122204422,0,0,"noAFM","2040"
"REF_SFM",0.000235510911173392,0,0,"noAFM","2040"
"RCP2.6_MFM",0.000237737507237264,0,0,"AFMfree","2040"
"RCP2.6_SFM",0.000235841085210534,0,0,"AFMfree","2040"
"REF_MFM",0.000226597135670339,0,0,"AFMfree","2040"
"REF_SFM",0.000227973824435894,0,0,"AFMfree","2040"
"RCP2.6_MFM",0.000234535274721721,0,0,"AFM25","2040"
