"Group","Scenario","Category","PDF"
"RCP2.6_MFM","noAFM","Afforestation",4.61994305027771e-05
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",0.000372417678004935
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.000351743722515045
"RCP2.6_MFM","noAFM","Annual_crops",0.000113657580295232
"RCP2.6_MFM","noAFM","Pasture",0.000795510233390221
"RCP2.6_MFM","noAFM","Permanent_crops",0.00086019052053668
"RCP2.6_MFM","noAFM","Urban",0.00022576022373593
"RCP2.6_SFM","noAFM","Afforestation",4.61982530737713e-05
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",0.000372435830306277
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.000351733115917897
"RCP2.6_SFM","noAFM","Annual_crops",0.000113656217967543
"RCP2.6_SFM","noAFM","Pasture",0.000795474817444971
"RCP2.6_SFM","noAFM","Permanent_crops",0.00086018471666199
"RCP2.6_SFM","noAFM","Urban",0.00022575648661334
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",0.000277225596043697
"REF_MFM","noAFM","Energy_crops_and_plantations",8.27444439131752e-05
"REF_MFM","noAFM","Annual_crops",0.000828055135729216
"REF_MFM","noAFM","Pasture",0.000901803096443644
"REF_MFM","noAFM","Permanent_crops",0.000882024980272651
"REF_MFM","noAFM","Urban",0.000240508885941383
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",0.000277306854344233
"REF_SFM","noAFM","Energy_crops_and_plantations",8.28855990741895e-05
"REF_SFM","noAFM","Annual_crops",0.000827841450979204
"REF_SFM","noAFM","Pasture",0.000901803716910624
"REF_SFM","noAFM","Permanent_crops",0.000882016866843859
"REF_SFM","noAFM","Urban",0.000240499267365571
"RCP2.6_MFM","AFMfree","Afforestation",4.64162255632795e-05
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",0.00039048002915538
