"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.00276547938898082,0,0
"RCP2.6_SFM","noAFM",0.00276543943798579,0,0
"REF_MFM","noAFM",0.00321236213834377,0,0
"REF_SFM","noAFM",0.00321235375551768,0,0
"RCP2.6_MFM","AFMfree",0.00278265187843554,0,0
"RCP2.6_SFM","AFMfree",0.00278301410620514,0,0
"REF_MFM","AFMfree",0.00320673593497026,0,0
"REF_SFM","AFMfree",0.00322323322271649,0,0
"RCP2.6_MFM","AFM25",0.00274740271676432,0,0
"RCP2.6_SFM","AFM25",0.002748439594328,0,0
"REF_MFM","AFM25",0.00321353322634117,0,0
"REF_SFM","AFM25",0.00325382301244947,0,0
"RCP2.6_MFM","AFM50",0.0027049030385517,0,0
"RCP2.6_SFM","AFM50",0.00270333948031606,0,0
"REF_MFM","AFM50",0.00320515221390828,0,0
"REF_SFM","AFM50",0.00321607156786283,0,0
"RCP2.6_MFM","AFM75",0.00266512121886464,0,0
"RCP2.6_SFM","AFM75",0.00265927195164676,0,0
"REF_MFM","AFM75",0.00317950404969653,0,0
"REF_SFM","AFM75",0.00316296382673952,0,0
"RCP2.6_MFM","AFM100",0.0026375379110306,0,0
"RCP2.6_SFM","AFM100",0.00262661672666063,0,0
"REF_MFM","AFM100",0.00316006596463555,0,0
"REF_SFM","AFM100",0.00311455236174189,0,0
