"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.000213415785700122,0,0
"RCP2.6_SFM","noAFM",0.000213403599960424,0,0
"REF_MFM","noAFM",-0.000190621735757979,0,0
"REF_SFM","noAFM",-0.000190340418492393,0,0
"RCP2.6_MFM","AFMfree",0.000134190699188907,0,0
"RCP2.6_SFM","AFMfree",0.000143351510831552,0,0
"REF_MFM","AFMfree",-0.000243725254907921,0,0
"REF_SFM","AFMfree",-0.000194779441873512,0,0
"RCP2.6_MFM","AFM25",0.000122141866189059,0,0
"RCP2.6_SFM","AFM25",0.000179344582494811,0,0
"REF_MFM","AFM25",-0.000214778222510914,0,0
"REF_SFM","AFM25",-0.000130654664468196,0,0
"RCP2.6_MFM","AFM50",0.000111715661158873,0,0
"RCP2.6_SFM","AFM50",0.000221161872486767,0,0
"REF_MFM","AFM50",-0.000202524095740859,0,0
"REF_SFM","AFM50",-0.000102627445598998,0,0
"RCP2.6_MFM","AFM75",0.000108751934145584,0,0
"RCP2.6_SFM","AFM75",0.000265714606626055,0,0
"REF_MFM","AFM75",-0.000205203459852807,0,0
"REF_SFM","AFM75",-8.34139216898077e-05,0,0
"RCP2.6_MFM","AFM100",0.000109677950079501,0,0
"RCP2.6_SFM","AFM100",0.00031982527912455,0,0
"REF_MFM","AFM100",-0.00020327085322902,0,0
"REF_SFM","AFM100",-3.8318907762075e-05,0,0
