"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.234145266170187,0,0
"RCP2.6_SFM","noAFM",0.234127116961719,0,0
"REF_MFM","noAFM",0.263193882743789,0,0
"REF_SFM","noAFM",0.26321792160603,0,0
"RCP2.6_MFM","AFMfree",0.225303559488668,0,0
"RCP2.6_SFM","AFMfree",0.226293286892024,0,0
"REF_MFM","AFMfree",0.256324874822226,0,0
"REF_SFM","AFMfree",0.263462262320161,0,0
"RCP2.6_MFM","AFM25",0.222984436906106,0,0
"RCP2.6_SFM","AFM25",0.229091538846661,0,0
"REF_MFM","AFM25",0.26040361170853,0,0
"REF_SFM","AFM25",0.272154267295049,0,0
"RCP2.6_MFM","AFM50",0.220703445084226,0,0
"RCP2.6_SFM","AFM50",0.232675814020785,0,0
"REF_MFM","AFM50",0.262170703694921,0,0
"REF_SFM","AFM50",0.274297706349705,0,0
"RCP2.6_MFM","AFM75",0.219848625325023,0,0
"RCP2.6_SFM","AFM75",0.236505586944086,0,0
"REF_MFM","AFM75",0.261840144158127,0,0
"REF_SFM","AFM75",0.274810487796157,0,0
"RCP2.6_MFM","AFM100",0.220339225150034,0,0
"RCP2.6_SFM","AFM100",0.241639823973412,0,0
"REF_MFM","AFM100",0.262599837858985,0,0
"REF_SFM","AFM100",0.278401387931654,0,0
