"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.150531605641278,0,0
"RCP2.6_SFM","noAFM",0.151189186430895,0,0
"REF_MFM","noAFM",0.0412461558240278,0,0
"REF_SFM","noAFM",0.04277657039723,0,0
"RCP2.6_MFM","AFMfree",0.121110340863741,0,0
"RCP2.6_SFM","AFMfree",0.119308996971783,0,0
"REF_MFM","AFMfree",0.0217259181033396,0,0
"REF_SFM","AFMfree",0.0275612287021371,0,0
"RCP2.6_MFM","AFM25",0.12412621605689,0,0
"RCP2.6_SFM","AFM25",0.146571725765861,0,0
"REF_MFM","AFM25",0.0253446058212174,0,0
"REF_SFM","AFM25",0.0363243577790753,0,0
"RCP2.6_MFM","AFM50",0.131089361160627,0,0
"RCP2.6_SFM","AFM50",0.193271385220175,0,0
"REF_MFM","AFM50",0.0267593386562167,0,0
"REF_SFM","AFM50",0.0681284492187883,0,0
"RCP2.6_MFM","AFM75",0.149074104544248,0,0
"RCP2.6_SFM","AFM75",0.222253189696844,0,0
"REF_MFM","AFM75",0.0360419163868878,0,0
"REF_SFM","AFM75",0.0909713169807612,0,0
"RCP2.6_MFM","AFM100",0.157466460133169,0,0
"RCP2.6_SFM","AFM100",0.262530907374287,0,0
"REF_MFM","AFM100",0.0434986568975139,0,0
"REF_SFM","AFM100",0.132765138565063,0,0
