"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",-0.000314476691490567,0,0,"noAFM","2020"
"RCP2.6_SFM",-0.000362762691020177,0,0,"noAFM","2020"
"REF_MFM",0.000140162087655949,0,0,"noAFM","2020"
"REF_SFM",0.000210400539620067,0,0,"noAFM","2020"
"RCP2.6_MFM",-3.19725689109569e-05,0,0,"AFMfree","2020"
"RCP2.6_SFM",-0.000207122371257504,0,0,"AFMfree","2020"
"REF_MFM",0.000421033825576096,0,0,"AFMfree","2020"
"REF_SFM",5.08613626648791e-05,0,0,"AFMfree","2020"
"RCP2.6_MFM",-8.67986715064722e-05,0,0,"AFM25","2020"
"RCP2.6_SFM",-0.000153104556783131,0,0,"AFM25","2020"
"REF_MFM",0.00023382932831861,0,0,"AFM25","2020"
"REF_SFM",0.000202292106503169,0,0,"AFM25","2020"
"RCP2.6_MFM",-0.000291777287235247,0,0,"AFM50","2020"
"RCP2.6_SFM",-0.000190465173571718,0,0,"AFM50","2020"
"REF_MFM",0.000551095009149099,0,0,"AFM50","2020"
"REF_SFM",0.000166686728727917,0,0,"AFM50","2020"
"RCP2.6_MFM",-0.000322893393553812,0,0,"AFM75","2020"
"RCP2.6_SFM",-0.000311400240685441,0,0,"AFM75","2020"
"REF_MFM",0.000519548271522368,0,0,"AFM75","2020"
"REF_SFM",0.000371555122606706,0,0,"AFM75","2020"
"RCP2.6_MFM",-0.000381088857396192,0,0,"AFM100","2020"
"RCP2.6_SFM",-0.000260073526587875,0,0,"AFM100","2020"
"REF_MFM",0.000303372019683041,0,0,"AFM100","2020"
"REF_SFM",1.50806596525975e-05,0,0,"AFM100","2020"
"RCP2.6_MFM",0.00651998732092028,0,0,"noAFM","2030"
"RCP2.6_SFM",0.0064561548837093,0,0,"noAFM","2030"
"REF_MFM",0.0049235810891095,0,0,"noAFM","2030"
"REF_SFM",0.00513530367063219,0,0,"noAFM","2030"
"RCP2.6_MFM",0.00608429469357091,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.00526257548657119,0,0,"AFMfree","2030"
"REF_MFM",0.00415618293147316,0,0,"AFMfree","2030"
"REF_SFM",0.00468398052468284,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.00605721469226085,0,0,"AFM25","2030"
"RCP2.6_SFM",0.00582856211984154,0,0,"AFM25","2030"
"REF_MFM",0.00350175552078323,0,0,"AFM25","2030"
"REF_SFM",0.00550407751891657,0,0,"AFM25","2030"
"RCP2.6_MFM",0.00525864782277652,0,0,"AFM50","2030"
"RCP2.6_SFM",0.00749968871618188,0,0,"AFM50","2030"
"REF_MFM",0.00432943087612425,0,0,"AFM50","2030"
"REF_SFM",0.00572275945462494,0,0,"AFM50","2030"
"RCP2.6_MFM",0.00502157152024232,0,0,"AFM75","2030"
"RCP2.6_SFM",0.0119356186878643,0,0,"AFM75","2030"
"REF_MFM",0.0038084771595711,0,0,"AFM75","2030"
"REF_SFM",0.010019392050442,0,0,"AFM75","2030"
"RCP2.6_MFM",0.00533721259281259,0,0,"AFM100","2030"
"RCP2.6_SFM",0.0177019292087188,0,0,"AFM100","2030"
"REF_MFM",0.00383060216584231,0,0,"AFM100","2030"
"REF_SFM",0.0150964641314284,0,0,"AFM100","2030"
"RCP2.6_MFM",0.0240063554098227,0,0,"noAFM","2040"
"RCP2.6_SFM",0.0241199712792253,0,0,"noAFM","2040"
"REF_MFM",0.0148380909208815,0,0,"noAFM","2040"
"REF_SFM",0.0150751541752506,0,0,"noAFM","2040"
"RCP2.6_MFM",0.0191788920418768,0,0,"AFMfree","2040"
"RCP2.6_SFM",0.0188044016609241,0,0,"AFMfree","2040"
"REF_MFM",0.00817551421420889,0,0,"AFMfree","2040"
"REF_SFM",0.00979088220280734,0,0,"AFMfree","2040"
"RCP2.6_MFM",0.01847360469935,0,0,"AFM25","2040"
"RCP2.6_SFM",0.0188164347854892,0,0,"AFM25","2040"
"REF_MFM",0.00828235453008205,0,0,"AFM25","2040"
"REF_SFM",0.0134031855652088,0,0,"AFM25","2040"
"RCP2.6_MFM",0.0162734940602278,0,0,"AFM50","2040"
"RCP2.6_SFM",0.0266327181849736,0,0,"AFM50","2040"
"REF_MFM",0.00923370853152496,0,0,"AFM50","2040"
"REF_SFM",0.0194677244557845,0,0,"AFM50","2040"
"RCP2.6_MFM",0.017610118171086,0,0,"AFM75","2040"
"RCP2.6_SFM",0.0302785393213026,0,0,"AFM75","2040"
"REF_MFM",0.0101470913551966,0,0,"AFM75","2040"
"REF_SFM",0.0216028826924408,0,0,"AFM75","2040"
"RCP2.6_MFM",0.0197643752634377,0,0,"AFM100","2040"
"RCP2.6_SFM",0.0394004481258859,0,0,"AFM100","2040"
"REF_MFM",0.0116608802026575,0,0,"AFM100","2040"
"REF_SFM",0.0328110663195977,0,0,"AFM100","2040"
"RCP2.6_MFM",0.0413183589142748,0,0,"noAFM","2050"
"RCP2.6_SFM",0.0432189548824666,0,0,"noAFM","2050"
"REF_MFM",0.0268734880656023,0,0,"noAFM","2050"
"REF_SFM",0.0270630009144022,0,0,"noAFM","2050"
"RCP2.6_MFM",0.0283732655167169,0,0,"AFMfree","2050"
"RCP2.6_SFM",0.0327900447262009,0,0,"AFMfree","2050"
"REF_MFM",0.0127207855240277,0,0,"AFMfree","2050"
"REF_SFM",0.0157518465139717,0,0,"AFMfree","2050"
"RCP2.6_MFM",0.0316474848242921,0,0,"AFM25","2050"
"RCP2.6_SFM",0.0304887835532181,0,0,"AFM25","2050"
"REF_MFM",0.0124314466634002,0,0,"AFM25","2050"
"REF_SFM",0.0180248169840493,0,0,"AFM25","2050"
"RCP2.6_MFM",0.0308100524045915,0,0,"AFM50","2050"
"RCP2.6_SFM",0.0441088605849101,0,0,"AFM50","2050"
"REF_MFM",0.0128702043785285,0,0,"AFM50","2050"
"REF_SFM",0.033513788860583,0,0,"AFM50","2050"
"RCP2.6_MFM",0.0308021613233533,0,0,"AFM75","2050"
"RCP2.6_SFM",0.0557120807543641,0,0,"AFM75","2050"
"REF_MFM",0.0178193068146384,0,0,"AFM75","2050"
"REF_SFM",0.0334433595791793,0,0,"AFM75","2050"
"RCP2.6_MFM",0.0372095195466797,0,0,"AFM100","2050"
"RCP2.6_SFM",0.0802234491732462,0,0,"AFM100","2050"
"REF_MFM",0.0197208103325,0,0,"AFM100","2050"
"REF_SFM",0.0492778731269412,0,0,"AFM100","2050"
"RCP2.6_MFM",0.0586270209653234,0,0,"noAFM","2060"
"RCP2.6_SFM",0.0605972255471351,0,0,"noAFM","2060"
"REF_MFM",0.0340303439159786,0,0,"noAFM","2060"
"REF_SFM",0.0346026398985408,0,0,"noAFM","2060"
"RCP2.6_MFM",0.0441568517559683,0,0,"AFMfree","2060"
"RCP2.6_SFM",0.0459510660075438,0,0,"AFMfree","2060"
"REF_MFM",0.0174778296224504,0,0,"AFMfree","2060"
"REF_SFM",0.0205610471862386,0,0,"AFMfree","2060"
"RCP2.6_MFM",0.0440453899501234,0,0,"AFM25","2060"
"RCP2.6_SFM",0.0515337487352371,0,0,"AFM25","2060"
"REF_MFM",0.0175936309796853,0,0,"AFM25","2060"
"REF_SFM",0.0251728465050065,0,0,"AFM25","2060"
"RCP2.6_MFM",0.0486051485716767,0,0,"AFM50","2060"
"RCP2.6_SFM",0.0816733890036906,0,0,"AFM50","2060"
"REF_MFM",0.0188743509224915,0,0,"AFM50","2060"
"REF_SFM",0.0453238522501158,0,0,"AFM50","2060"
"RCP2.6_MFM",0.0523197767093945,0,0,"AFM75","2060"
"RCP2.6_SFM",0.0997315946335612,0,0,"AFM75","2060"
"REF_MFM",0.0259385633819734,0,0,"AFM75","2060"
"REF_SFM",0.050867479794608,0,0,"AFM75","2060"
"RCP2.6_MFM",0.064211196815766,0,0,"AFM100","2060"
"RCP2.6_SFM",0.121116501252742,0,0,"AFM100","2060"
"REF_MFM",0.0296639074787769,0,0,"AFM100","2060"
"REF_SFM",0.0791854668979016,0,0,"AFM100","2060"
"RCP2.6_MFM",0.0838287478364764,0,0,"noAFM","2070"
"RCP2.6_SFM",0.085630667741353,0,0,"noAFM","2070"
"REF_MFM",0.0388727014116076,0,0,"noAFM","2070"
"REF_SFM",0.0402204872437397,0,0,"noAFM","2070"
"RCP2.6_MFM",0.0628310386653864,0,0,"AFMfree","2070"
"RCP2.6_SFM",0.0638640385456609,0,0,"AFMfree","2070"
"REF_MFM",0.0188946286412787,0,0,"AFMfree","2070"
"REF_SFM",0.0229308878588446,0,0,"AFMfree","2070"
"RCP2.6_MFM",0.0682085283235716,0,0,"AFM25","2070"
"RCP2.6_SFM",0.0838003013692482,0,0,"AFM25","2070"
"REF_MFM",0.0199960579547439,0,0,"AFM25","2070"
"REF_SFM",0.0290884902109794,0,0,"AFM25","2070"
"RCP2.6_MFM",0.0741807423335946,0,0,"AFM50","2070"
"RCP2.6_SFM",0.111594405569613,0,0,"AFM50","2070"
"REF_MFM",0.0213827896135354,0,0,"AFM50","2070"
"REF_SFM",0.0546059744634579,0,0,"AFM50","2070"
"RCP2.6_MFM",0.0852041875957119,0,0,"AFM75","2070"
"RCP2.6_SFM",0.129237347058714,0,0,"AFM75","2070"
"REF_MFM",0.030265398741073,0,0,"AFM75","2070"
"REF_SFM",0.0653860782422755,0,0,"AFM75","2070"
"RCP2.6_MFM",0.0905979407641221,0,0,"AFM100","2070"
"RCP2.6_SFM",0.159691550583381,0,0,"AFM100","2070"
"REF_MFM",0.0362806367637474,0,0,"AFM100","2070"
"REF_SFM",0.10135545384547,0,0,"AFM100","2070"
"RCP2.6_MFM",0.110164228273862,0,0,"noAFM","2080"
"RCP2.6_SFM",0.11078485781601,0,0,"noAFM","2080"
"REF_MFM",0.0424065673597833,0,0,"noAFM","2080"
"REF_SFM",0.044007179719755,0,0,"noAFM","2080"
"RCP2.6_MFM",0.0790794806622706,0,0,"AFMfree","2080"
"RCP2.6_SFM",0.0791347932406396,0,0,"AFMfree","2080"
"REF_MFM",0.0211223286565833,0,0,"AFMfree","2080"
"REF_SFM",0.0257182778770237,0,0,"AFMfree","2080"
"RCP2.6_MFM",0.0852352171177402,0,0,"AFM25","2080"
"RCP2.6_SFM",0.100878930768479,0,0,"AFM25","2080"
"REF_MFM",0.0222440502295238,0,0,"AFM25","2080"
"REF_SFM",0.0317167611276815,0,0,"AFM25","2080"
"RCP2.6_MFM",0.0894683316353097,0,0,"AFM50","2080"
"RCP2.6_SFM",0.133842802251722,0,0,"AFM50","2080"
"REF_MFM",0.0225191802837282,0,0,"AFM50","2080"
"REF_SFM",0.0628053446132204,0,0,"AFM50","2080"
"RCP2.6_MFM",0.10339825388635,0,0,"AFM75","2080"
"RCP2.6_SFM",0.155241762902515,0,0,"AFM75","2080"
"REF_MFM",0.0321341711375628,0,0,"AFM75","2080"
"REF_SFM",0.0784078901255904,0,0,"AFM75","2080"
"RCP2.6_MFM",0.109238484821209,0,0,"AFM100","2080"
"RCP2.6_SFM",0.18731981185188,0,0,"AFM100","2080"
"REF_MFM",0.0392087914479316,0,0,"AFM100","2080"
"REF_SFM",0.117946740694724,0,0,"AFM100","2080"
"RCP2.6_MFM",0.129303103806746,0,0,"noAFM","2090"
