"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0383696812029506,0,0
"RCP2.6_SFM","noAFM",0.0383567092930589,0,0
"REF_MFM","noAFM",-0.00634504270914663,0,0
"REF_SFM","noAFM",-0.00630229674450115,0,0
"RCP2.6_MFM","AFMfree",0.0307047157460646,0,0
"RCP2.6_SFM","AFMfree",0.0315170322201318,0,0
"REF_MFM","AFMfree",-0.0115008209058432,0,0
"REF_SFM","AFMfree",-0.00664172253489295,0,0
"RCP2.6_MFM","AFM25",0.029368790917533,0,0
"RCP2.6_SFM","AFM25",0.0348741596068762,0,0
"REF_MFM","AFM25",-0.00871351730274319,0,0
"REF_SFM","AFM25",-0.000364011759385962,0,0
"RCP2.6_MFM","AFM50",0.0279649882778469,0,0
"RCP2.6_SFM","AFM50",0.0389081548269747,0,0
"REF_MFM","AFM50",-0.00758591578261636,0,0
"REF_SFM","AFM50",0.00230138541902587,0,0
"RCP2.6_MFM","AFM75",0.027487300708193,0,0
"RCP2.6_SFM","AFM75",0.0429276277471135,0,0
"REF_MFM","AFM75",-0.00806374308988948,0,0
"REF_SFM","AFM75",0.00406650960524819,0,0
"RCP2.6_MFM","AFM100",0.0274612714163344,0,0
"RCP2.6_SFM","AFM100",0.0480207359043744,0,0
"REF_MFM","AFM100",-0.00795898071779214,0,0
"REF_SFM","AFM100",0.00836784682417131,0,0
