"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",-0.0183045753483484,0,0,"noAFM","2020"
"RCP2.6_SFM",-0.018304575161819,0,0,"noAFM","2020"
"REF_MFM",-0.0184642383587707,0,0,"noAFM","2020"
"REF_SFM",-0.0184647225232179,0,0,"noAFM","2020"
"RCP2.6_MFM",-0.0181720468566094,0,0,"AFMfree","2020"
"RCP2.6_SFM",-0.0182262444216728,0,0,"AFMfree","2020"
"REF_MFM",-0.0183920429865824,0,0,"AFMfree","2020"
"REF_SFM",-0.0186285391138669,0,0,"AFMfree","2020"
"RCP2.6_MFM",-0.0181698377326127,0,0,"AFM25","2020"
"RCP2.6_SFM",-0.0181885790323965,0,0,"AFM25","2020"
"REF_MFM",-0.0184649673632955,0,0,"AFM25","2020"
"REF_SFM",-0.0184908954835384,0,0,"AFM25","2020"
"RCP2.6_MFM",-0.0183021717137945,0,0,"AFM50","2020"
"RCP2.6_SFM",-0.0181620791515143,0,0,"AFM50","2020"
"REF_MFM",-0.0183430654068396,0,0,"AFM50","2020"
"REF_SFM",-0.0184385435787139,0,0,"AFM50","2020"
"RCP2.6_MFM",-0.0183014784960456,0,0,"AFM75","2020"
"RCP2.6_SFM",-0.0181035266617344,0,0,"AFM75","2020"
"REF_MFM",-0.0183384194190842,0,0,"AFM75","2020"
"REF_SFM",-0.0181603141466133,0,0,"AFM75","2020"
"RCP2.6_MFM",-0.0183026862046564,0,0,"AFM100","2020"
"RCP2.6_SFM",-0.01808530773192,0,0,"AFM100","2020"
"REF_MFM",-0.0183936540988211,0,0,"AFM100","2020"
"REF_SFM",-0.0182223995265754,0,0,"AFM100","2020"
"RCP2.6_MFM",-0.0145264981259039,0,0,"noAFM","2030"
"RCP2.6_SFM",-0.0145261866107684,0,0,"noAFM","2030"
"REF_MFM",-0.0156688651283327,0,0,"noAFM","2030"
"REF_SFM",-0.0156713717622582,0,0,"noAFM","2030"
"RCP2.6_MFM",-0.0152670820086741,0,0,"AFMfree","2030"
"RCP2.6_SFM",-0.0145980723737487,0,0,"AFMfree","2030"
"REF_MFM",-0.0164676202457844,0,0,"AFMfree","2030"
"REF_SFM",-0.0156569215565243,0,0,"AFMfree","2030"
"RCP2.6_MFM",-0.0152588360486092,0,0,"AFM25","2030"
"RCP2.6_SFM",-0.0142246826222788,0,0,"AFM25","2030"
"REF_MFM",-0.0165493794016828,0,0,"AFM25","2030"
"REF_SFM",-0.0152799267081125,0,0,"AFM25","2030"
"RCP2.6_MFM",-0.0155828532266821,0,0,"AFM50","2030"
"RCP2.6_SFM",-0.0137744477304016,0,0,"AFM50","2030"
"REF_MFM",-0.0165244842865668,0,0,"AFM50","2030"
"REF_SFM",-0.0148559026936774,0,0,"AFM50","2030"
"RCP2.6_MFM",-0.0155650572411431,0,0,"AFM75","2030"
"RCP2.6_SFM",-0.012900554537731,0,0,"AFM75","2030"
"REF_MFM",-0.0166607726406803,0,0,"AFM75","2030"
"REF_SFM",-0.0142112493005607,0,0,"AFM75","2030"
"RCP2.6_MFM",-0.0155863590618542,0,0,"AFM100","2030"
"RCP2.6_SFM",-0.012285895608093,0,0,"AFM100","2030"
"REF_MFM",-0.0167750131460902,0,0,"AFM100","2030"
"REF_SFM",-0.0138308999443639,0,0,"AFM100","2030"
"RCP2.6_MFM",-0.0102483630461051,0,0,"noAFM","2040"
"RCP2.6_SFM",-0.0102425220278194,0,0,"noAFM","2040"
"REF_MFM",-0.0132105427739834,0,0,"noAFM","2040"
"REF_SFM",-0.0132151775868706,0,0,"noAFM","2040"
"RCP2.6_MFM",-0.0122795078606503,0,0,"AFMfree","2040"
"RCP2.6_SFM",-0.0110449959595256,0,0,"AFMfree","2040"
"REF_MFM",-0.0149800034212406,0,0,"AFMfree","2040"
"REF_SFM",-0.0132128946377936,0,0,"AFMfree","2040"
"RCP2.6_MFM",-0.0123325208503858,0,0,"AFM25","2040"
"RCP2.6_SFM",-0.0103025660791981,0,0,"AFM25","2040"
"REF_MFM",-0.0151677986464864,0,0,"AFM25","2040"
"REF_SFM",-0.0127905797569155,0,0,"AFM25","2040"
"RCP2.6_MFM",-0.0127025836009315,0,0,"AFM50","2040"
"RCP2.6_SFM",-0.00885586909973948,0,0,"AFM50","2040"
"REF_MFM",-0.0152768410808617,0,0,"AFM50","2040"
"REF_SFM",-0.0118238533835124,0,0,"AFM50","2040"
"RCP2.6_MFM",-0.0126339891881311,0,0,"AFM75","2040"
"RCP2.6_SFM",-0.00668807435687119,0,0,"AFM75","2040"
"REF_MFM",-0.015437714866537,0,0,"AFM75","2040"
"REF_SFM",-0.009802681934213,0,0,"AFM75","2040"
"RCP2.6_MFM",-0.0122921083488394,0,0,"AFM100","2040"
"RCP2.6_SFM",-0.00522109928553501,0,0,"AFM100","2040"
"REF_MFM",-0.0155133085968069,0,0,"AFM100","2040"
"REF_SFM",-0.00830902196377649,0,0,"AFM100","2040"
"RCP2.6_MFM",-0.00481772118298581,0,0,"noAFM","2050"
"RCP2.6_SFM",-0.00482514441123194,0,0,"noAFM","2050"
"REF_MFM",-0.0106018994680409,0,0,"noAFM","2050"
"REF_SFM",-0.0105975052355643,0,0,"noAFM","2050"
"RCP2.6_MFM",-0.00848920029351974,0,0,"AFMfree","2050"
"RCP2.6_SFM",-0.00646926690959003,0,0,"AFMfree","2050"
"REF_MFM",-0.0139793403910591,0,0,"AFMfree","2050"
"REF_SFM",-0.0112513434589649,0,0,"AFMfree","2050"
"RCP2.6_MFM",-0.00814056386976803,0,0,"AFM25","2050"
"RCP2.6_SFM",-0.00512634817743906,0,0,"AFM25","2050"
"REF_MFM",-0.0142276113633011,0,0,"AFM25","2050"
"REF_SFM",-0.0106069523399927,0,0,"AFM25","2050"
"RCP2.6_MFM",-0.008034717251464,0,0,"AFM50","2050"
"RCP2.6_SFM",-0.0031540463500236,0,0,"AFM50","2050"
"REF_MFM",-0.0141020104422856,0,0,"AFM50","2050"
"REF_SFM",-0.00858009788451592,0,0,"AFM50","2050"
"RCP2.6_MFM",-0.00789204972739515,0,0,"AFM75","2050"
"RCP2.6_SFM",-0.00139767612882602,0,0,"AFM75","2050"
"REF_MFM",-0.0141957087360832,0,0,"AFM75","2050"
"REF_SFM",-0.00636802109430084,0,0,"AFM75","2050"
"RCP2.6_MFM",-0.00792401988666382,0,0,"AFM100","2050"
"RCP2.6_SFM",0.000490725826346842,0,0,"AFM100","2050"
"REF_MFM",-0.0138221745707462,0,0,"AFM100","2050"
"REF_SFM",-0.00410785819467258,0,0,"AFM100","2050"
"RCP2.6_MFM",0.000704905133442615,0,0,"noAFM","2060"
"RCP2.6_SFM",0.000675600672490824,0,0,"noAFM","2060"
"REF_MFM",-0.0086304206272406,0,0,"noAFM","2060"
"REF_SFM",-0.00863165176548307,0,0,"noAFM","2060"
"RCP2.6_MFM",-0.00290318018431676,0,0,"AFMfree","2060"
"RCP2.6_SFM",-0.00076258548619583,0,0,"AFMfree","2060"
"REF_MFM",-0.012941174199039,0,0,"AFMfree","2060"
"REF_SFM",-0.0100183312680778,0,0,"AFMfree","2060"
"RCP2.6_MFM",-0.00234546283327652,0,0,"AFM25","2060"
"RCP2.6_SFM",0.00118764954794271,0,0,"AFM25","2060"
"REF_MFM",-0.012911758972638,0,0,"AFM25","2060"
"REF_SFM",-0.00829152936316727,0,0,"AFM25","2060"
"RCP2.6_MFM",-0.00247626389561611,0,0,"AFM50","2060"
"RCP2.6_SFM",0.00443030396760906,0,0,"AFM50","2060"
"REF_MFM",-0.0125016460325736,0,0,"AFM50","2060"
"REF_SFM",-0.00617003711752343,0,0,"AFM50","2060"
"RCP2.6_MFM",-0.00232190670058312,0,0,"AFM75","2060"
"RCP2.6_SFM",0.00865991870928731,0,0,"AFM75","2060"
"REF_MFM",-0.0127622445748833,0,0,"AFM75","2060"
"REF_SFM",-0.00344058648917832,0,0,"AFM75","2060"
"RCP2.6_MFM",-0.00127624099116107,0,0,"AFM100","2060"
"RCP2.6_SFM",0.0126020885589962,0,0,"AFM100","2060"
"REF_MFM",-0.0126887626366595,0,0,"AFM100","2060"
"REF_SFM",-0.000939996550679053,0,0,"AFM100","2060"
"RCP2.6_MFM",0.0126362779176901,0,0,"noAFM","2070"
"RCP2.6_SFM",0.0126047225066426,0,0,"noAFM","2070"
"REF_MFM",-0.00765660414912711,0,0,"noAFM","2070"
"REF_SFM",-0.00764100489899026,0,0,"noAFM","2070"
"RCP2.6_MFM",0.00854355672310077,0,0,"AFMfree","2070"
"RCP2.6_SFM",0.010152623598311,0,0,"AFMfree","2070"
"REF_MFM",-0.012785949711051,0,0,"AFMfree","2070"
"REF_SFM",-0.00958159043880967,0,0,"AFMfree","2070"
"RCP2.6_MFM",0.00866315188298504,0,0,"AFM25","2070"
"RCP2.6_SFM",0.012565603640438,0,0,"AFM25","2070"
"REF_MFM",-0.0126457040767142,0,0,"AFM25","2070"
"REF_SFM",-0.0071704570062714,0,0,"AFM25","2070"
"RCP2.6_MFM",0.00767397485828235,0,0,"AFM50","2070"
"RCP2.6_SFM",0.0159778073326292,0,0,"AFM50","2070"
"REF_MFM",-0.0124524096245947,0,0,"AFM50","2070"
"REF_SFM",-0.00458882871120898,0,0,"AFM50","2070"
