"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.0342399077979101
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.00412977340504044
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.0452620874382385
"RCP2.6_MFM","noAFM","Import_Forest",0.0668998370000889
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.034238653846929
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.00411805544612984
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.0450189727837631
"RCP2.6_SFM","noAFM","Import_Forest",0.0678135043540731
"REF_MFM","noAFM","EU28_Energy_crops",0.00793492962088913
"REF_MFM","noAFM","EU28_Forest_net",-0.0142799723300358
"REF_MFM","noAFM","Import_Energy_plantations",0.00485908492554274
"REF_MFM","noAFM","Import_Forest",0.0427321136076317
"REF_SFM","noAFM","EU28_Energy_crops",0.0079483762394485
"REF_SFM","noAFM","EU28_Forest_net",-0.0142506729839497
"REF_SFM","noAFM","Import_Energy_plantations",0.00514143938474626
"REF_SFM","noAFM","Import_Forest",0.0439374277569849
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.0335115526615841
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.00647866537051322
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.0406395045329502
"RCP2.6_MFM","AFMfree","Import_Forest",0.0621401903355844
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.0334855621166529
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.00740155836233129
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.0385776579954582
"RCP2.6_SFM","AFMfree","Import_Forest",0.0616948751191447
"REF_MFM","AFMfree","EU28_Energy_crops",0.00759453310587565
"REF_MFM","AFMfree","EU28_Forest_net",-0.0145785190328441
"REF_MFM","AFMfree","Import_Energy_plantations",0.00512446852303546
"REF_MFM","AFMfree","Import_Forest",0.0343619403407026
"REF_SFM","AFMfree","EU28_Energy_crops",0.00765951543349136
"REF_SFM","AFMfree","EU28_Forest_net",-0.00925787084444059
"REF_SFM","AFMfree","Import_Energy_plantations",0.00474652029062677
"REF_SFM","AFMfree","Import_Forest",0.0364708814119089
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.0338293794233062
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.00266645143583716
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.0459905038006291
"RCP2.6_MFM","AFM25","Import_Forest",0.0587960744284206
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.0345677782049154
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.00781815783484418
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.052118968421491
"RCP2.6_SFM","AFM25","Import_Forest",0.0695346407319157
"REF_MFM","AFM25","EU28_Energy_crops",0.00766427149170673
"REF_MFM","AFM25","EU28_Forest_net",-0.0128792842782146
"REF_MFM","AFM25","Import_Energy_plantations",0.00484569311698958
"REF_MFM","AFM25","Import_Forest",0.0346972133269209
"REF_SFM","AFM25","EU28_Energy_crops",0.00787728170765905
"REF_SFM","AFM25","EU28_Forest_net",-0.00298602297921654
"REF_SFM","AFM25","Import_Energy_plantations",0.0054941687773017
"REF_SFM","AFM25","Import_Forest",0.0392222776926845
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.0340834651116465
"RCP2.6_MFM","AFM50","EU28_Forest_net",-0.00185123628775211
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.0515661125038571
"RCP2.6_MFM","AFM50","Import_Forest",0.0584565332804344
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0.035556974210512
"RCP2.6_SFM","AFM50","EU28_Forest_net",0.00804473055836919
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0.0637780761567346
"RCP2.6_SFM","AFM50","Import_Forest",0.0969442928349254
"REF_MFM","AFM50","EU28_Energy_crops",0.00776655461203544
"REF_MFM","AFM50","EU28_Forest_net",-0.013313579764462
"REF_MFM","AFM50","Import_Energy_plantations",0.00539382573896029
"REF_MFM","AFM50","Import_Forest",0.0333597791663539
"REF_SFM","AFM50","EU28_Energy_crops",0.00841225985015022
"REF_SFM","AFM50","EU28_Forest_net",-0.00270166827300404
"REF_SFM","AFM50","Import_Energy_plantations",0.00616280351839508
"REF_SFM","AFM50","Import_Forest",0.0653658747405992
"RCP2.6_MFM","AFM75","EU28_Energy_crops",0.0346172907582559
"RCP2.6_MFM","AFM75","EU28_Forest_net",-0.00560931611490559
"RCP2.6_MFM","AFM75","Import_Energy_plantations",0.05562318363494
"RCP2.6_MFM","AFM75","Import_Forest",0.0690847714495184
"RCP2.6_SFM","AFM75","EU28_Energy_crops",0.0362411485297141
"RCP2.6_SFM","AFM75","EU28_Forest_net",0.00882121778697013
"RCP2.6_SFM","AFM75","Import_Energy_plantations",0.0762569869384625
"RCP2.6_SFM","AFM75","Import_Forest",0.106042877225878
"REF_MFM","AFM75","EU28_Energy_crops",0.0079453441959424
"REF_MFM","AFM75","EU28_Forest_net",-0.0151315691089229
"REF_MFM","AFM75","Import_Energy_plantations",0.00521948961829537
"REF_MFM","AFM75","Import_Forest",0.0410263792335113
"REF_SFM","AFM75","EU28_Energy_crops",0.00908613680236879
"REF_SFM","AFM75","EU28_Forest_net",-0.00333030753148334
"REF_SFM","AFM75","Import_Energy_plantations",0.0093912274840059
"REF_SFM","AFM75","Import_Forest",0.0804884153817994
"RCP2.6_MFM","AFM100","EU28_Energy_crops",0.0349510353658118
"RCP2.6_MFM","AFM100","EU28_Forest_net",-0.00748976394947741
"RCP2.6_MFM","AFM100","Import_Energy_plantations",0.0631125289422458
"RCP2.6_MFM","AFM100","Import_Forest",0.0668926597745892
"RCP2.6_SFM","AFM100","EU28_Energy_crops",0.0372193296732423
"RCP2.6_SFM","AFM100","EU28_Forest_net",0.0108014062311321
"RCP2.6_SFM","AFM100","Import_Energy_plantations",0.0838003943664194
"RCP2.6_SFM","AFM100","Import_Forest",0.130709777103493
"REF_MFM","AFM100","EU28_Energy_crops",0.00820983929840872
"REF_MFM","AFM100","EU28_Forest_net",-0.0161688200162009
"REF_MFM","AFM100","Import_Energy_plantations",0.0062926881013286
"REF_MFM","AFM100","Import_Forest",0.0451649495139775
"REF_SFM","AFM100","EU28_Energy_crops",0.00964260407249411
"REF_SFM","AFM100","EU28_Forest_net",-0.0012747572483228
"REF_SFM","AFM100","Import_Energy_plantations",0.0140870352907226
"REF_SFM","AFM100","Import_Forest",0.110310256450169
