"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.00133489431718093,0,0
"RCP2.6_SFM","noAFM",0.00134158812479742,0,0
"REF_MFM","noAFM",0.000285237194692791,0,0
"REF_SFM","noAFM",0.000300385814535912,0,0
"RCP2.6_MFM","AFMfree",0.00116332902509835,0,0
"RCP2.6_SFM","AFMfree",0.00114748223954694,0,0
"REF_MFM","AFMfree",0.000152840218253669,0,0
"REF_SFM","AFMfree",0.000219380745210204,0,0
"RCP2.6_MFM","AFM25",0.00117183274209885,0,0
"RCP2.6_SFM","AFM25",0.00139936842407043,0,0
"REF_MFM","AFM25",0.000181591134444483,0,0
"REF_SFM","AFM25",0.00031694962291433,0,0
"RCP2.6_MFM","AFM50",0.00121234657633769,0,0
"RCP2.6_SFM","AFM50",0.00183112188316033,0,0
"REF_MFM","AFM50",0.000183554183274408,0,0
"REF_SFM","AFM50",0.000612419489957677,0,0
"RCP2.6_MFM","AFM75",0.00135511703594392,0,0
"RCP2.6_SFM","AFM75",0.00209039007383389,0,0
"REF_MFM","AFM75",0.000256115809319469,0,0
"REF_SFM","AFM75",0.000816269192982111,0,0
"RCP2.6_MFM","AFM100",0.00140960538109897,0,0
"RCP2.6_SFM","AFM100",0.00246464953763908,0,0
"REF_MFM","AFM100",0.000311232087397546,0,0
"REF_SFM","AFM100",0.00120546806522642,0,0
