"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Clear_cut",-0.0105584128569719
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",-0.00211545553016773
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0.0168036417921801
"RCP2.6_MFM","noAFM","EP_EU",0.0342399077979101
"RCP2.6_SFM","noAFM","Clear_cut",-0.0105624088904947
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",-0.00211153759495581
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0.0167920019315804
"RCP2.6_SFM","noAFM","EP_EU",0.034238653846929
"REF_MFM","noAFM","Clear_cut",-0.00739763301706004
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",-0.0194568433267727
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0.0125745040137969
"REF_MFM","noAFM","EP_EU",0.00793492962088913
"REF_SFM","noAFM","Clear_cut",-0.00739478813533024
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",-0.0194448271837716
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0.0125889423351521
"REF_SFM","noAFM","EP_EU",0.0079483762394485
"RCP2.6_MFM","AFMfree","Clear_cut",-0.00520151786798263
"RCP2.6_MFM","AFMfree","Retention",-0.0111570844462872
"RCP2.6_MFM","AFMfree","Selection",-0.00329614364696626
"RCP2.6_MFM","AFMfree","Timber",0.00897536417820057
"RCP2.6_MFM","AFMfree","Other_management",0.0171580471535487
"RCP2.6_MFM","AFMfree","EP_EU",0.0335115526615841
"RCP2.6_SFM","AFMfree","Clear_cut",-0.00519897512046157
"RCP2.6_SFM","AFMfree","Retention",-0.0111200095747078
"RCP2.6_SFM","AFMfree","Selection",-0.00246572467640554
"RCP2.6_SFM","AFMfree","Timber",0.00905659503209657
"RCP2.6_SFM","AFMfree","Other_management",0.0171296727018096
"RCP2.6_SFM","AFMfree","EP_EU",0.0334855621166529
"REF_MFM","AFMfree","Clear_cut",-0.00373285821420371
"REF_MFM","AFMfree","Retention",-0.0083720694956965
"REF_MFM","AFMfree","Selection",-0.0194935993467279
"REF_MFM","AFMfree","Timber",0.00424908696067179
"REF_MFM","AFMfree","Other_management",0.0127709210631121
"REF_MFM","AFMfree","EP_EU",0.00759453310587565
"REF_SFM","AFMfree","Clear_cut",-0.00406682342607559
"REF_SFM","AFMfree","Retention",-0.0085963925087317
"REF_SFM","AFMfree","Selection",-0.0141823905911694
"REF_SFM","AFMfree","Timber",0.00474224893262351
"REF_SFM","AFMfree","Other_management",0.0128454867489126
"REF_SFM","AFMfree","EP_EU",0.00765951543349136
"RCP2.6_MFM","AFM25","Clear_cut",-0.00491554589363926
"RCP2.6_MFM","AFM25","Retention",-0.00909845959363091
"RCP2.6_MFM","AFM25","Selection",-0.00715388280118867
"RCP2.6_MFM","AFM25","Timber",0.00679596678649193
"RCP2.6_MFM","AFM25","Other_management",0.0170383729378041
"RCP2.6_MFM","AFM25","EP_EU",0.0338293794233062
"RCP2.6_SFM","AFM25","Clear_cut",-0.00509739899582194
"RCP2.6_SFM","AFM25","Retention",-0.00941568804567647
"RCP2.6_SFM","AFM25","Selection",-0.00161243783397999
"RCP2.6_SFM","AFM25","Timber",0.00702601016762736
"RCP2.6_SFM","AFM25","Other_management",0.0169176725426952
"RCP2.6_SFM","AFM25","EP_EU",0.0345677782049154
"REF_MFM","AFM25","Clear_cut",-0.00317479696026547
"REF_MFM","AFM25","Retention",-0.00708868066290309
"REF_MFM","AFM25","Selection",-0.0186137928195655
"REF_MFM","AFM25","Timber",0.00332775606234231
"REF_MFM","AFM25","Other_management",0.0126702301021771
"REF_MFM","AFM25","EP_EU",0.00766427149170673
"REF_SFM","AFM25","Clear_cut",-0.00378350336703599
"REF_SFM","AFM25","Retention",-0.00762505447349516
"REF_SFM","AFM25","Selection",-0.00940909110785195
"REF_SFM","AFM25","Timber",0.00512154696135241
"REF_SFM","AFM25","Other_management",0.0127100790078142
"REF_SFM","AFM25","EP_EU",0.00787728170765905
"RCP2.6_MFM","AFM50","Clear_cut",-0.00464626004790878
"RCP2.6_MFM","AFM50","Retention",-0.00672932784806907
"RCP2.6_MFM","AFM50","Selection",-0.0112756136785052
"RCP2.6_MFM","AFM50","Timber",0.00412265877857998
"RCP2.6_MFM","AFM50","Other_management",0.0166773065081509
"RCP2.6_MFM","AFM50","EP_EU",0.0340834651116465
"RCP2.6_SFM","AFM50","Clear_cut",-0.0050791628639964
"RCP2.6_SFM","AFM50","Retention",-0.0066780541838954
"RCP2.6_SFM","AFM50","Selection",-0.00126911190738633
"RCP2.6_SFM","AFM50","Timber",0.00433340743716169
"RCP2.6_SFM","AFM50","Other_management",0.0167376520764856
"RCP2.6_SFM","AFM50","EP_EU",0.035556974210512
"REF_MFM","AFM50","Clear_cut",-0.00265784822475169
"REF_MFM","AFM50","Retention",-0.00559737283854415
