"Group","Scenario","PDF","lower95","upper95"
"RCP2.6_MFM","noAFM",0.000213415785700122,0,0
"RCP2.6_SFM","noAFM",0.000213403599960424,0,0
"REF_MFM","noAFM",-0.000190621735757979,0,0
"REF_SFM","noAFM",-0.000190340418492393,0,0
"RCP2.6_MFM","AFMfree",0.000225621709460593,0,0
"RCP2.6_SFM","AFMfree",0.000235675805037735,0,0
"REF_MFM","AFMfree",-0.000199348317417765,0,0
"REF_SFM","AFMfree",-0.00014514605789594,0,0
"RCP2.6_MFM","AFM25",0.000192263414861284,0,0
"RCP2.6_SFM","AFM25",0.00025344163442489,0,0
"REF_MFM","AFM25",-0.000180389794050062,0,0
"REF_SFM","AFM25",-7.87732975254238e-05,0,0
"RCP2.6_MFM","AFM50",0.000153669574241417,0,0
"RCP2.6_SFM","AFM50",0.000267536056722798,0,0
"REF_MFM","AFM50",-0.000182501556837342,0,0
"REF_SFM","AFM50",-6.89075843513277e-05,0,0
"RCP2.6_MFM","AFM75",0.000123714013335093,0,0
"RCP2.6_SFM","AFM75",0.000286799317903051,0,0
"REF_MFM","AFM75",-0.000196531272537478,0,0
"REF_SFM","AFM75",-6.66935712897214e-05,0,0
"RCP2.6_MFM","AFM100",0.000109677950079501,0,0
"RCP2.6_SFM","AFM100",0.00031982527912455,0,0
"REF_MFM","AFM100",-0.00020327085322902,0,0
"REF_SFM","AFM100",-3.8318907762075e-05,0,0
