"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",-0.0183045753483484,0,0,"noAFM","2020"
"RCP2.6_SFM",-0.018304575161819,0,0,"noAFM","2020"
"REF_MFM",-0.0184642383587707,0,0,"noAFM","2020"
"REF_SFM",-0.0184647225232179,0,0,"noAFM","2020"
"RCP2.6_MFM",-0.0181720468566094,0,0,"AFMfree","2020"
"RCP2.6_SFM",-0.0182262444216728,0,0,"AFMfree","2020"
"REF_MFM",-0.0183920429865824,0,0,"AFMfree","2020"
"REF_SFM",-0.0186285391138669,0,0,"AFMfree","2020"
"RCP2.6_MFM",-0.0181698377326127,0,0,"AFM25","2020"
"RCP2.6_SFM",-0.0181885790323965,0,0,"AFM25","2020"
"REF_MFM",-0.0184649673632955,0,0,"AFM25","2020"
"REF_SFM",-0.0184908954835384,0,0,"AFM25","2020"
"RCP2.6_MFM",-0.0183021717137945,0,0,"AFM50","2020"
"RCP2.6_SFM",-0.0181620791515143,0,0,"AFM50","2020"
"REF_MFM",-0.0183430654068396,0,0,"AFM50","2020"
"REF_SFM",-0.0184385435787139,0,0,"AFM50","2020"
"RCP2.6_MFM",-0.0183014784960456,0,0,"AFM75","2020"
"RCP2.6_SFM",-0.0181035266617344,0,0,"AFM75","2020"
"REF_MFM",-0.0183384194190842,0,0,"AFM75","2020"
"REF_SFM",-0.0181603141466133,0,0,"AFM75","2020"
"RCP2.6_MFM",-0.0183026862046564,0,0,"AFM100","2020"
"RCP2.6_SFM",-0.01808530773192,0,0,"AFM100","2020"
"REF_MFM",-0.0183936540988211,0,0,"AFM100","2020"
"REF_SFM",-0.0182223995265754,0,0,"AFM100","2020"
"RCP2.6_MFM",-0.0145264981259039,0,0,"noAFM","2030"
"RCP2.6_SFM",-0.0145261866107684,0,0,"noAFM","2030"
"REF_MFM",-0.0156688651283327,0,0,"noAFM","2030"
"REF_SFM",-0.0156713717622582,0,0,"noAFM","2030"
"RCP2.6_MFM",-0.0147716122763114,0,0,"AFMfree","2030"
"RCP2.6_SFM",-0.0140617675908354,0,0,"AFMfree","2030"
"REF_MFM",-0.0159569404710929,0,0,"AFMfree","2030"
"REF_SFM",-0.0150909395862875,0,0,"AFMfree","2030"
"RCP2.6_MFM",-0.0148972774664232,0,0,"AFM25","2030"
"RCP2.6_SFM",-0.013808152790649,0,0,"AFM25","2030"
"REF_MFM",-0.0162062223701969,0,0,"AFM25","2030"
"REF_SFM",-0.0148502840793606,0,0,"AFM25","2030"
"RCP2.6_MFM",-0.0153777515689324,0,0,"AFM50","2030"
"RCP2.6_SFM",-0.0134678895335765,0,0,"AFM50","2030"
"REF_MFM",-0.0162799108956234,0,0,"AFM50","2030"
"REF_SFM",-0.0145547164073235,0,0,"AFM50","2030"
"RCP2.6_MFM",-0.0154035567402883,0,0,"AFM75","2030"
"RCP2.6_SFM",-0.0126993809052693,0,0,"AFM75","2030"
"REF_MFM",-0.0164762053919194,0,0,"AFM75","2030"
"REF_SFM",-0.0140150571422501,0,0,"AFM75","2030"
"RCP2.6_MFM",-0.0155863590618542,0,0,"AFM100","2030"
"RCP2.6_SFM",-0.012285895608093,0,0,"AFM100","2030"
"REF_MFM",-0.0167750131460902,0,0,"AFM100","2030"
"REF_SFM",-0.0138308999443639,0,0,"AFM100","2030"
"RCP2.6_MFM",-0.0102483630461051,0,0,"noAFM","2040"
"RCP2.6_SFM",-0.0102425220278194,0,0,"noAFM","2040"
"REF_MFM",-0.0132105427739834,0,0,"noAFM","2040"
"REF_SFM",-0.0132151775868706,0,0,"noAFM","2040"
"RCP2.6_MFM",-0.0111256953453563,0,0,"AFMfree","2040"
"RCP2.6_SFM",-0.00971983837268472,0,0,"AFMfree","2040"
"REF_MFM",-0.0138455831786168,0,0,"AFMfree","2040"
"REF_SFM",-0.0119752337283514,0,0,"AFMfree","2040"
"RCP2.6_MFM",-0.0114109355106557,0,0,"AFM25","2040"
"RCP2.6_SFM",-0.00926983275403714,0,0,"AFM25","2040"
"REF_MFM",-0.0143514664387487,0,0,"AFM25","2040"
"REF_SFM",-0.0116995346706228,0,0,"AFM25","2040"
"RCP2.6_MFM",-0.012086122997704,0,0,"AFM50","2040"
"RCP2.6_SFM",-0.00804669993483706,0,0,"AFM50","2040"
"REF_MFM",-0.0147281123470372,0,0,"AFM50","2040"
"REF_SFM",-0.0111828914410203,0,0,"AFM50","2040"
"RCP2.6_MFM",-0.0122045314507885,0,0,"AFM75","2040"
"RCP2.6_SFM",-0.00625379996694377,0,0,"AFM75","2040"
"REF_MFM",-0.0151118396547815,0,0,"AFM75","2040"
"REF_SFM",-0.00936540904491218,0,0,"AFM75","2040"
"RCP2.6_MFM",-0.0122921083488394,0,0,"AFM100","2040"
"RCP2.6_SFM",-0.00522109928553501,0,0,"AFM100","2040"
"REF_MFM",-0.0155133085968069,0,0,"AFM100","2040"
"REF_SFM",-0.00830902196377649,0,0,"AFM100","2040"
"RCP2.6_MFM",-0.00481772118298581,0,0,"noAFM","2050"
"RCP2.6_SFM",-0.00482514441123194,0,0,"noAFM","2050"
"REF_MFM",-0.0106018994680409,0,0,"noAFM","2050"
"REF_SFM",-0.0105975052355643,0,0,"noAFM","2050"
"RCP2.6_MFM",-0.00654109428416403,0,0,"AFMfree","2050"
"RCP2.6_SFM",-0.00440333691558573,0,0,"AFMfree","2050"
"REF_MFM",-0.0123609366674318,0,0,"AFMfree","2050"
"REF_SFM",-0.00928800571871997,0,0,"AFMfree","2050"
"RCP2.6_MFM",-0.00655778217437549,0,0,"AFM25","2050"
"RCP2.6_SFM",-0.00342230589382995,0,0,"AFM25","2050"
"REF_MFM",-0.0130057681226962,0,0,"AFM25","2050"
"REF_SFM",-0.00890297508072258,0,0,"AFM25","2050"
"RCP2.6_MFM",-0.00672626721171933,0,0,"AFM50","2050"
"RCP2.6_SFM",-0.00187856049221921,0,0,"AFM50","2050"
"REF_MFM",-0.0131132049524055,0,0,"AFM50","2050"
"REF_SFM",-0.00739074032100632,0,0,"AFM50","2050"
"RCP2.6_MFM",-0.0072019182257527,0,0,"AFM75","2050"
"RCP2.6_SFM",-0.000629902045926278,0,0,"AFM75","2050"
"REF_MFM",-0.0136492182008119,0,0,"AFM75","2050"
"REF_SFM",-0.00570376181262211,0,0,"AFM75","2050"
"RCP2.6_MFM",-0.00792401988666382,0,0,"AFM100","2050"
"RCP2.6_SFM",0.000490725826346842,0,0,"AFM100","2050"
"REF_MFM",-0.0138221745707462,0,0,"AFM100","2050"
"REF_SFM",-0.00410785819467258,0,0,"AFM100","2050"
"RCP2.6_MFM",0.000704905133442615,0,0,"noAFM","2060"
"RCP2.6_SFM",0.000675600672490824,0,0,"noAFM","2060"
"REF_MFM",-0.0086304206272406,0,0,"noAFM","2060"
"REF_SFM",-0.00863165176548307,0,0,"noAFM","2060"
"RCP2.6_MFM",0.000169678880912688,0,0,"AFMfree","2060"
"RCP2.6_SFM",0.00250238964803842,0,0,"AFMfree","2060"
"REF_MFM",-0.010690885356944,0,0,"AFMfree","2060"
"REF_SFM",-0.00720516859652229,0,0,"AFMfree","2060"
"RCP2.6_MFM",0.000354152789565452,0,0,"AFM25","2060"
"RCP2.6_SFM",0.00385794676814116,0,0,"AFM25","2060"
"REF_MFM",-0.0110295446874954,0,0,"AFM25","2060"
"REF_SFM",-0.00609372578684355,0,0,"AFM25","2060"
"RCP2.6_MFM",-0.00062297098469556,0,0,"AFM50","2060"
"RCP2.6_SFM",0.00639157458860306,0,0,"AFM50","2060"
"REF_MFM",-0.0111782042274309,0,0,"AFM50","2060"
"REF_SFM",-0.00435179149111792,0,0,"AFM50","2060"
"RCP2.6_MFM",-0.00133670053151222,0,0,"AFM75","2060"
"RCP2.6_SFM",0.00980285982246113,0,0,"AFM75","2060"
"REF_MFM",-0.0120792803557189,0,0,"AFM75","2060"
"REF_SFM",-0.00255732050533575,0,0,"AFM75","2060"
"RCP2.6_MFM",-0.00127624099116107,0,0,"AFM100","2060"
"RCP2.6_SFM",0.0126020885589962,0,0,"AFM100","2060"
"REF_MFM",-0.0126887626366595,0,0,"AFM100","2060"
"REF_SFM",-0.000939996550679053,0,0,"AFM100","2060"
"RCP2.6_MFM",0.0126362779176901,0,0,"noAFM","2070"
"RCP2.6_SFM",0.0126047225066426,0,0,"noAFM","2070"
"REF_MFM",-0.00765660414912711,0,0,"noAFM","2070"
"REF_SFM",-0.00764100489899026,0,0,"noAFM","2070"
"RCP2.6_MFM",0.0134216539652925,0,0,"AFMfree","2070"
"RCP2.6_SFM",0.0148396762901266,0,0,"AFMfree","2070"
"REF_MFM",-0.00970525648982368,0,0,"AFMfree","2070"
"REF_SFM",-0.00588849756079824,0,0,"AFMfree","2070"
"RCP2.6_MFM",0.0125736612077537,0,0,"AFM25","2070"
"RCP2.6_SFM",0.0165319840374093,0,0,"AFM25","2070"
"REF_MFM",-0.0102256686323009,0,0,"AFM25","2070"
"REF_SFM",-0.00408054510004108,0,0,"AFM25","2070"
"RCP2.6_MFM",0.0102758982682996,0,0,"AFM50","2070"
"RCP2.6_SFM",0.0189164465174539,0,0,"AFM50","2070"
"REF_MFM",-0.0105830285613868,0,0,"AFM50","2070"
"REF_SFM",-0.00227502868287258,0,0,"AFM50","2070"
