"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.150531605641278,0,0
"RCP2.6_SFM","noAFM",0.151189186430895,0,0
"REF_MFM","noAFM",0.0412461558240278,0,0
"REF_SFM","noAFM",0.04277657039723,0,0
"RCP2.6_MFM","AFMfree",0.133794548722431,0,0
"RCP2.6_SFM","AFMfree",0.132103058561491,0,0
"REF_MFM","AFMfree",0.0282533359760978,0,0
"REF_SFM","AFMfree",0.034876797358963,0,0
"RCP2.6_MFM","AFM25",0.134486442301701,0,0
"RCP2.6_SFM","AFM25",0.157013535025539,0,0
"REF_MFM","AFM25",0.0310001375950602,0,0
"REF_SFM","AFM25",0.0444861582370763,0,0
"RCP2.6_MFM","AFM50",0.138132215829606,0,0
"RCP2.6_SFM","AFM50",0.199990666323379,0,0
"REF_MFM","AFM50",0.0310746695867004,0,0
"REF_SFM","AFM50",0.0738644457021458,0,0
"RCP2.6_MFM","AFM75",0.152172979775725,0,0
"RCP2.6_SFM","AFM75",0.225452392812273,0,0
"REF_MFM","AFM75",0.0380912199525427,0,0
"REF_SFM","AFM75",0.0940712772517041,0,0
"RCP2.6_MFM","AFM100",0.157466460133169,0,0
"RCP2.6_SFM","AFM100",0.262530907374287,0,0
"REF_MFM","AFM100",0.0434986568975139,0,0
"REF_SFM","AFM100",0.132765138565063,0,0
