"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.234145266170187,0,0
"RCP2.6_SFM","noAFM",0.234127116961719,0,0
"REF_MFM","noAFM",0.263193882743789,0,0
"REF_SFM","noAFM",0.26321792160603,0,0
"RCP2.6_MFM","AFMfree",0.239973802982024,0,0
"RCP2.6_SFM","AFMfree",0.241102372540953,0,0
"REF_MFM","AFMfree",0.264196030865285,0,0
"REF_SFM","AFMfree",0.272363802865654,0,0
"RCP2.6_MFM","AFM25",0.235087368914793,0,0
"RCP2.6_SFM","AFM25",0.241288661074092,0,0
"REF_MFM","AFM25",0.267415975496497,0,0
"REF_SFM","AFM25",0.282208780385111,0,0
"RCP2.6_MFM","AFM50",0.229029464151968,0,0
"RCP2.6_SFM","AFM50",0.240573633318805,0,0
"REF_MFM","AFM50",0.267518547755463,0,0
"REF_SFM","AFM50",0.281401767526218,0,0
"RCP2.6_MFM","AFM75",0.223413838481408,0,0
"RCP2.6_SFM","AFM75",0.240285398835265,0,0
"REF_MFM","AFM75",0.26424082982459,0,0
"REF_SFM","AFM75",0.27873091724242,0,0
"RCP2.6_MFM","AFM100",0.220339225150034,0,0
"RCP2.6_SFM","AFM100",0.241639823973412,0,0
"REF_MFM","AFM100",0.262599837858985,0,0
"REF_SFM","AFM100",0.278401387931654,0,0
