"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","EU28_Energy_crops",0.0353140358322946
"RCP2.6_MFM","noAFM","EU28_Forest_net",0.0455730736552146
"RCP2.6_MFM","noAFM","Import_Energy_plantations",0.0454281780998305
"RCP2.6_MFM","noAFM","Clear_cut_im",0.0206526075761319
"RCP2.6_MFM","noAFM","Pulp_Timber_Plantation_im",0.078097121308189
"RCP2.6_MFM","noAFM","Selection_im",0.00118111293024929
"RCP2.6_MFM","noAFM","Selective_im",0.0298568597453926
"RCP2.6_SFM","noAFM","EU28_Energy_crops",0.0353124300903407
"RCP2.6_SFM","noAFM","EU28_Forest_net",0.0455603117111412
"RCP2.6_SFM","noAFM","Import_Energy_plantations",0.0451843551632123
"RCP2.6_SFM","noAFM","Clear_cut_im",0.0206788626352217
"RCP2.6_SFM","noAFM","Pulp_Timber_Plantation_im",0.0789802920206428
"RCP2.6_SFM","noAFM","Selection_im",0.00118173739791197
"RCP2.6_SFM","noAFM","Selective_im",0.0298564222434125
"REF_MFM","noAFM","EU28_Energy_crops",0.00828905286048246
"REF_MFM","noAFM","EU28_Forest_net",0.0323346740849966
"REF_MFM","noAFM","Import_Energy_plantations",0.00487842987785178
"REF_MFM","noAFM","Clear_cut_im",0.0192659930896865
"REF_MFM","noAFM","Pulp_Timber_Plantation_im",0.0513063423685447
"REF_MFM","noAFM","Selection_im",0.00197629638908291
"REF_MFM","noAFM","Selective_im",0.0332341752584129
"REF_SFM","noAFM","EU28_Energy_crops",0.00830314203051446
"REF_SFM","noAFM","EU28_Forest_net",0.0323453062573261
"REF_SFM","noAFM","Import_Energy_plantations",0.00516241205548882
"REF_SFM","noAFM","Clear_cut_im",0.0191461137293829
"REF_SFM","noAFM","Pulp_Timber_Plantation_im",0.0525146411852299
"REF_SFM","noAFM","Selection_im",0.00200515316831407
"REF_SFM","noAFM","Selective_im",0.0330136786528086
"RCP2.6_MFM","AFMfree","EU28_Energy_crops",0.0344127711108782
"RCP2.6_MFM","AFMfree","EU28_Forest_net",0.0403559016944144
"RCP2.6_MFM","AFMfree","Import_Energy_plantations",0.0407843193307837
"RCP2.6_MFM","AFMfree","Clear_cut_im",0.0149925838764135
"RCP2.6_MFM","AFMfree","Pulp_Timber_Plantation_im",0.0569117077586947
"RCP2.6_MFM","AFMfree","Selection_im",0.000757617389044826
"RCP2.6_MFM","AFMfree","Selective_im",0.0215912734850773
"RCP2.6_SFM","AFMfree","EU28_Energy_crops",0.0343775347294047
"RCP2.6_SFM","AFMfree","EU28_Forest_net",0.0403316196215796
"RCP2.6_SFM","AFMfree","Import_Energy_plantations",0.0387181976555765
"RCP2.6_SFM","AFMfree","Clear_cut_im",0.0152519142136176
"RCP2.6_SFM","AFMfree","Pulp_Timber_Plantation_im",0.0565447589694874
"RCP2.6_SFM","AFMfree","Selection_im",0.000790334691592851
"RCP2.6_SFM","AFMfree","Selective_im",0.0213762782122925
"REF_MFM","AFMfree","EU28_Energy_crops",0.00795428058199312
"REF_MFM","AFMfree","EU28_Forest_net",0.0291444545346881
"REF_MFM","AFMfree","Import_Energy_plantations",0.00514069424053504
"REF_MFM","AFMfree","Clear_cut_im",0.0127126956928662
"REF_MFM","AFMfree","Pulp_Timber_Plantation_im",0.0325741357049471
"REF_MFM","AFMfree","Selection_im",0.00130524050485435
"REF_MFM","AFMfree","Selective_im",0.0182265910672618
"REF_SFM","AFMfree","EU28_Energy_crops",0.00796695555025236
"REF_SFM","AFMfree","EU28_Forest_net",0.0299464176321424
"REF_SFM","AFMfree","Import_Energy_plantations",0.00476168755788139
"REF_SFM","AFMfree","Clear_cut_im",0.0129152926744755
"REF_SFM","AFMfree","Pulp_Timber_Plantation_im",0.0340920983108556
"REF_SFM","AFMfree","Selection_im",0.00133151907936034
"REF_SFM","AFMfree","Selective_im",0.0184989843075459
"RCP2.6_MFM","AFM25","EU28_Energy_crops",0.0348297172398055
"RCP2.6_MFM","AFM25","EU28_Forest_net",0.0386007870718789
"RCP2.6_MFM","AFM25","Import_Energy_plantations",0.0461550148720715
"RCP2.6_MFM","AFM25","Clear_cut_im",0.016193338544314
"RCP2.6_MFM","AFM25","Pulp_Timber_Plantation_im",0.0574043886905033
"RCP2.6_MFM","AFM25","Selection_im",0.000843300441091819
"RCP2.6_MFM","AFM25","Selective_im",0.0197745848184926
"RCP2.6_SFM","AFM25","EU28_Energy_crops",0.0354471026347428
"RCP2.6_SFM","AFM25","EU28_Forest_net",0.0378770229590598
"RCP2.6_SFM","AFM25","Import_Energy_plantations",0.0523019904139059
"RCP2.6_SFM","AFM25","Clear_cut_im",0.0190577272663218
"RCP2.6_SFM","AFM25","Pulp_Timber_Plantation_im",0.0711941897247716
"RCP2.6_SFM","AFM25","Selection_im",0.00108615371074839
"RCP2.6_SFM","AFM25","Selective_im",0.0206372703735047
"REF_MFM","AFM25","EU28_Energy_crops",0.00799701248004166
"REF_MFM","AFM25","EU28_Forest_net",0.0295895521724992
"REF_MFM","AFM25","Import_Energy_plantations",0.00486442698023727
"REF_MFM","AFM25","Clear_cut_im",0.0132115066813499
"REF_MFM","AFM25","Pulp_Timber_Plantation_im",0.0338283284850711
"REF_MFM","AFM25","Selection_im",0.00140135627745437
"REF_MFM","AFM25","Selective_im",0.0192258386548653
"REF_SFM","AFM25","EU28_Energy_crops",0.00815056811871906
"REF_SFM","AFM25","EU28_Forest_net",0.0303672318937689
"REF_SFM","AFM25","Import_Energy_plantations",0.00551179365384677
"REF_SFM","AFM25","Clear_cut_im",0.0172976452728621
"REF_SFM","AFM25","Pulp_Timber_Plantation_im",0.0389460187855186
"REF_SFM","AFM25","Selection_im",0.0018580421154897
"REF_SFM","AFM25","Selective_im",0.0247000884796018
"RCP2.6_MFM","AFM50","EU28_Energy_crops",0.0352348441291205
"RCP2.6_MFM","AFM50","EU28_Forest_net",0.0362551809244393
"RCP2.6_MFM","AFM50","Import_Energy_plantations",0.051754530196785
"RCP2.6_MFM","AFM50","Clear_cut_im",0.0181236925937723
"RCP2.6_MFM","AFM50","Pulp_Timber_Plantation_im",0.0618819980312391
"RCP2.6_MFM","AFM50","Selection_im",0.00104004085782067
"RCP2.6_MFM","AFM50","Selective_im",0.0195644100624846
"RCP2.6_SFM","AFM50","EU28_Energy_crops",0.0364595251792499
"RCP2.6_SFM","AFM50","EU28_Forest_net",0.0351227285599542
"RCP2.6_SFM","AFM50","Import_Energy_plantations",0.0640023579323539
"RCP2.6_SFM","AFM50","Clear_cut_im",0.0242539326998707
"RCP2.6_SFM","AFM50","Pulp_Timber_Plantation_im",0.104405607530058
"RCP2.6_SFM","AFM50","Selection_im",0.00137866771512721
"RCP2.6_SFM","AFM50","Selective_im",0.037929830394291
"REF_MFM","AFM50","EU28_Energy_crops",0.00810933245834664
"REF_MFM","AFM50","EU28_Forest_net",0.0289469025459647
"REF_MFM","AFM50","Import_Energy_plantations",0.00541654635653212
"REF_MFM","AFM50","Clear_cut_im",0.0151976186768605
"REF_MFM","AFM50","Pulp_Timber_Plantation_im",0.035254774962569
"REF_MFM","AFM50","Selection_im",0.00166477708358545
"REF_MFM","AFM50","Selective_im",0.020657261572128
"REF_SFM","AFM50","EU28_Energy_crops",0.00869298095115707
"REF_SFM","AFM50","EU28_Forest_net",0.0278570348708811
"REF_SFM","AFM50","Import_Energy_plantations",0.00618283172842531
"REF_SFM","AFM50","Clear_cut_im",0.0226385985312693
"REF_SFM","AFM50","Pulp_Timber_Plantation_im",0.0688243181078377
"REF_SFM","AFM50","Selection_im",0.0024381111565857
"REF_SFM","AFM50","Selective_im",0.0479098007672675
"RCP2.6_MFM","AFM75","EU28_Energy_crops",0.0359594799877963
"RCP2.6_MFM","AFM75","EU28_Forest_net",0.0342316692521517
"RCP2.6_MFM","AFM75","Import_Energy_plantations",0.0558280670699319
"RCP2.6_MFM","AFM75","Clear_cut_im",0.0194471201215497
"RCP2.6_MFM","AFM75","Pulp_Timber_Plantation_im",0.0766296009700112
"RCP2.6_MFM","AFM75","Selection_im",0.00124713128446956
"RCP2.6_MFM","AFM75","Selective_im",0.0242001578134913
"RCP2.6_SFM","AFM75","EU28_Energy_crops",0.0371494158831193
"RCP2.6_SFM","AFM75","EU28_Forest_net",0.0319034848885216
"RCP2.6_SFM","AFM75","Import_Energy_plantations",0.0764997685043539
"RCP2.6_SFM","AFM75","Clear_cut_im",0.0302520650222421
"RCP2.6_SFM","AFM75","Pulp_Timber_Plantation_im",0.122158824612918
"RCP2.6_SFM","AFM75","Selection_im",0.00185232514191344
"RCP2.6_SFM","AFM75","Selective_im",0.0404507380302511
"REF_MFM","AFM75","EU28_Energy_crops",0.00831307703356642
"REF_MFM","AFM75","EU28_Forest_net",0.0271121541957871
"REF_MFM","AFM75","Import_Energy_plantations",0.00524345872967486
"REF_MFM","AFM75","Clear_cut_im",0.0164844401482462
"REF_MFM","AFM75","Pulp_Timber_Plantation_im",0.044874695750564
"REF_MFM","AFM75","Selection_im",0.00196604921273836
"REF_MFM","AFM75","Selective_im",0.0274509651141808
"REF_SFM","AFM75","EU28_Energy_crops",0.00940560000844511
"REF_SFM","AFM75","EU28_Forest_net",0.0248774038915723
