"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",14.0703587138649,0,0,"2020"
"REF",14.0763453322513,0,0,"2020"
"RCP2.6",13.9455121276407,0,0,"2030"
"REF",14.6909575123752,0,0,"2030"
"RCP2.6",14.0093828325962,0,0,"2040"
"REF",15.1600631123418,0,0,"2040"
"RCP2.6",14.035601948441,0,0,"2050"
"REF",15.5207393244722,0,0,"2050"
"RCP2.6",14.0261410320223,0,0,"2060"
"REF",15.8486409090761,0,0,"2060"
"RCP2.6",14.0747937875184,0,0,"2070"
"REF",16.0868745152139,0,0,"2070"
"RCP2.6",14.2056790629799,0,0,"2080"
"REF",16.2180868774524,0,0,"2080"
"RCP2.6",14.2849008964499,0,0,"2090"
"REF",16.2906954067757,0,0,"2090"
"RCP2.6",14.1757394582901,9.30484344641235,18.9422361258501,"2100"
"REF",16.3214713076653,10.9127083207069,22.156623288296,"2100"
