"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0.00447049166530612
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",0.0485854931756242
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",0.0333190413573203
"RCP2.6_MFM","noAFM","Annual_crops",0.0115234066208192
"RCP2.6_MFM","noAFM","Pasture",0.0769013634493619
"RCP2.6_MFM","noAFM","Permanent_crops",0.082281449801451
"RCP2.6_MFM","noAFM","Urban",0.0219820953668722
"RCP2.6_SFM","noAFM","Afforestation",0.0044644080605751
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",0.0480479468244783
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",0.0331086006235173
"RCP2.6_SFM","noAFM","Annual_crops",0.0115608644599979
"RCP2.6_SFM","noAFM","Pasture",0.0767768790034027
"RCP2.6_SFM","noAFM","Permanent_crops",0.0821870180771096
"RCP2.6_SFM","noAFM","Urban",0.0218901018398746
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",0.0420561414566793
"REF_MFM","noAFM","Energy_crops_and_plantations",0.00641599445224177
"REF_MFM","noAFM","Annual_crops",0.0825492497696443
"REF_MFM","noAFM","Pasture",0.0906416057001903
"REF_MFM","noAFM","Permanent_crops",0.0874473927091214
"REF_MFM","noAFM","Urban",0.0240520903015731
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",0.0421617861852581
"REF_SFM","noAFM","Energy_crops_and_plantations",0.00647663346730856
"REF_SFM","noAFM","Annual_crops",0.0825359088456593
"REF_SFM","noAFM","Pasture",0.0906196879021126
"REF_SFM","noAFM","Permanent_crops",0.0874479737668539
"REF_SFM","noAFM","Urban",0.0240506089588222
"RCP2.6_MFM","AFMfree","Afforestation",0.0045039200926389
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",0.0464727777378062
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",0.0341932910797941
"RCP2.6_MFM","AFMfree","Annual_crops",0.0116076160437418
"RCP2.6_MFM","AFMfree","Pasture",0.0777368851236986
"RCP2.6_MFM","AFMfree","Permanent_crops",0.0833908954726972
"RCP2.6_MFM","AFMfree","Urban",0.0223145730835979
"RCP2.6_SFM","AFMfree","Afforestation",0.00470013686175998
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",0.0634941726253587
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",0.0363085646155656
"RCP2.6_SFM","AFMfree","Annual_crops",0.0120184018192288
"RCP2.6_SFM","AFMfree","Pasture",0.0811556727371179
"RCP2.6_SFM","AFMfree","Permanent_crops",0.088551602435605
"RCP2.6_SFM","AFMfree","Urban",0.0232433072810368
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",0.0382945882009171
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.00647319773279492
"REF_MFM","AFMfree","Annual_crops",0.0853632364758085
"REF_MFM","AFMfree","Pasture",0.0931884477272651
"REF_MFM","AFMfree","Permanent_crops",0.0909198735563632
"REF_MFM","AFMfree","Urban",0.0245636948531839
"REF_SFM","AFMfree","Afforestation",0
"REF_SFM","AFMfree","Regrowth",0
"REF_SFM","AFMfree","Forest",0.0476627971910013
"REF_SFM","AFMfree","Energy_crops_and_plantations",0.0066843201527184
"REF_SFM","AFMfree","Annual_crops",0.0874204914952518
"REF_SFM","AFMfree","Pasture",0.0942864503491746
"REF_SFM","AFMfree","Permanent_crops",0.0920720728450301
"REF_SFM","AFMfree","Urban",0.0251620472487731
"RCP2.6_MFM","AFM25","Afforestation",0.00445488649699124
"RCP2.6_MFM","AFM25","Regrowth",0
"RCP2.6_MFM","AFM25","Forest",0.0422059578677501
"RCP2.6_MFM","AFM25","Energy_crops_and_plantations",0.0330633533465666
"RCP2.6_MFM","AFM25","Annual_crops",0.0115013663273661
"RCP2.6_MFM","AFM25","Pasture",0.0768785446497712
"RCP2.6_MFM","AFM25","Permanent_crops",0.0822205146262605
"RCP2.6_MFM","AFM25","Urban",0.0219919849609595
"RCP2.6_SFM","AFM25","Afforestation",0.00469848224040114
"RCP2.6_SFM","AFM25","Regrowth",0
"RCP2.6_SFM","AFM25","Forest",0.0630148205108247
"RCP2.6_SFM","AFM25","Energy_crops_and_plantations",0.0356111662257706
"RCP2.6_SFM","AFM25","Annual_crops",0.011800078215517
"RCP2.6_SFM","AFM25","Pasture",0.0809960569971436
"RCP2.6_SFM","AFM25","Permanent_crops",0.0886331486431852
"RCP2.6_SFM","AFM25","Urban",0.0232764279640029
"REF_MFM","AFM25","Afforestation",0
"REF_MFM","AFM25","Regrowth",0
"REF_MFM","AFM25","Forest",0.0349555715481899
"REF_MFM","AFM25","Energy_crops_and_plantations",0.00644168355262412
"REF_MFM","AFM25","Annual_crops",0.0844366490600702
"REF_MFM","AFM25","Pasture",0.092342357083548
"REF_MFM","AFM25","Permanent_crops",0.0900407537831901
"REF_MFM","AFM25","Urban",0.0242816371520415
"REF_SFM","AFM25","Afforestation",0
"REF_SFM","AFM25","Regrowth",0
"REF_SFM","AFM25","Forest",0.0469433471692592
"REF_SFM","AFM25","Energy_crops_and_plantations",0.00684089138655641
"REF_SFM","AFM25","Annual_crops",0.0873506295223909
"REF_SFM","AFM25","Pasture",0.0943736671498916
"REF_SFM","AFM25","Permanent_crops",0.0921185879260108
"REF_SFM","AFM25","Urban",0.0251439643760641
"RCP2.6_MFM","AFM50","Afforestation",0.00444023335800748
"RCP2.6_MFM","AFM50","Regrowth",0
"RCP2.6_MFM","AFM50","Forest",0.0390805851996106
"RCP2.6_MFM","AFM50","Energy_crops_and_plantations",0.0331819182597587
"RCP2.6_MFM","AFM50","Annual_crops",0.0113551000295758
"RCP2.6_MFM","AFM50","Pasture",0.0766047419161128
"RCP2.6_MFM","AFM50","Permanent_crops",0.0820486031539474
"RCP2.6_MFM","AFM50","Urban",0.0218882448954892
"RCP2.6_SFM","AFM50","Afforestation",0.00470156989148784
"RCP2.6_SFM","AFM50","Regrowth",0
"RCP2.6_SFM","AFM50","Forest",0.0629644842929842
"RCP2.6_SFM","AFM50","Energy_crops_and_plantations",0.0365326971501679
"RCP2.6_SFM","AFM50","Annual_crops",0.0113911287247334
"RCP2.6_SFM","AFM50","Pasture",0.0808216278381749
"RCP2.6_SFM","AFM50","Permanent_crops",0.0887910394817437
"RCP2.6_SFM","AFM50","Urban",0.0232954245181403
"REF_MFM","AFM50","Afforestation",0
"REF_MFM","AFM50","Regrowth",0
"REF_MFM","AFM50","Forest",0.031982344333387
"REF_MFM","AFM50","Energy_crops_and_plantations",0.00642976875606646
"REF_MFM","AFM50","Annual_crops",0.0834646287401101
"REF_MFM","AFM50","Pasture",0.0913040855878837
"REF_MFM","AFM50","Permanent_crops",0.089013717986258
"REF_MFM","AFM50","Urban",0.024017537754042
"REF_SFM","AFM50","Afforestation",0
"REF_SFM","AFM50","Regrowth",0
"REF_SFM","AFM50","Forest",0.0469333088906998
"REF_SFM","AFM50","Energy_crops_and_plantations",0.00706782698733212
"REF_SFM","AFM50","Annual_crops",0.0874005336430032
"REF_SFM","AFM50","Pasture",0.0944508236491787
"REF_SFM","AFM50","Permanent_crops",0.0923404720419335
"REF_SFM","AFM50","Urban",0.0251688437616764
"RCP2.6_MFM","AFM75","Afforestation",0.00442102918377063
"RCP2.6_MFM","AFM75","Regrowth",0
"RCP2.6_MFM","AFM75","Forest",0.0358140338895866
"RCP2.6_MFM","AFM75","Energy_crops_and_plantations",0.0331964835763312
"RCP2.6_MFM","AFM75","Annual_crops",0.0111703585881124
"RCP2.6_MFM","AFM75","Pasture",0.0762064793379057
"RCP2.6_MFM","AFM75","Permanent_crops",0.0815946250764798
"RCP2.6_MFM","AFM75","Urban",0.0216823621562436
"RCP2.6_SFM","AFM75","Afforestation",0.00470440343406977
"RCP2.6_SFM","AFM75","Regrowth",0
"RCP2.6_SFM","AFM75","Forest",0.0631504472036673
"RCP2.6_SFM","AFM75","Energy_crops_and_plantations",0.0377982720294079
"RCP2.6_SFM","AFM75","Annual_crops",0.0111486400343343
"RCP2.6_SFM","AFM75","Pasture",0.0806602334532256
"RCP2.6_SFM","AFM75","Permanent_crops",0.0892462148422674
"RCP2.6_SFM","AFM75","Urban",0.0233522332841553
"REF_MFM","AFM75","Afforestation",0
"REF_MFM","AFM75","Regrowth",0
"REF_MFM","AFM75","Forest",0.0293695019412721
"REF_MFM","AFM75","Energy_crops_and_plantations",0.00643466989932836
"REF_MFM","AFM75","Annual_crops",0.0826807574656539
"REF_MFM","AFM75","Pasture",0.0903446752629233
"REF_MFM","AFM75","Permanent_crops",0.0882195292390716
"REF_MFM","AFM75","Urban",0.0238137631723248
"REF_SFM","AFM75","Afforestation",0
"REF_SFM","AFM75","Regrowth",0
"REF_SFM","AFM75","Forest",0.0466815838290968
"REF_SFM","AFM75","Energy_crops_and_plantations",0.00761891965736834
"REF_SFM","AFM75","Annual_crops",0.0871717629038337
"REF_SFM","AFM75","Pasture",0.0943735188934407
"REF_SFM","AFM75","Permanent_crops",0.092445598423568
"REF_SFM","AFM75","Urban",0.0251531411176438
"RCP2.6_MFM","AFM100","Afforestation",0.00440979202189889
"RCP2.6_MFM","AFM100","Regrowth",0
"RCP2.6_MFM","AFM100","Forest",0.0330448981466053
"RCP2.6_MFM","AFM100","Energy_crops_and_plantations",0.0336826115216629
"RCP2.6_MFM","AFM100","Annual_crops",0.0109657011336611
"RCP2.6_MFM","AFM100","Pasture",0.076195211961294
"RCP2.6_MFM","AFM100","Permanent_crops",0.0819115609733369
"RCP2.6_MFM","AFM100","Urban",0.0216367281025063
"RCP2.6_SFM","AFM100","Afforestation",0.00469483364682879
"RCP2.6_SFM","AFM100","Regrowth",0
"RCP2.6_SFM","AFM100","Forest",0.0609324601189832
"RCP2.6_SFM","AFM100","Energy_crops_and_plantations",0.0392362746021446
"RCP2.6_SFM","AFM100","Annual_crops",0.0107652899335935
"RCP2.6_SFM","AFM100","Pasture",0.0801577128760065
"RCP2.6_SFM","AFM100","Permanent_crops",0.0892088569480056
"RCP2.6_SFM","AFM100","Urban",0.0233384456108184
"REF_MFM","AFM100","Afforestation",0
"REF_MFM","AFM100","Regrowth",0
"REF_MFM","AFM100","Forest",0.0271516196337883
"REF_MFM","AFM100","Energy_crops_and_plantations",0.00650178433442142
"REF_MFM","AFM100","Annual_crops",0.0808789945010275
"REF_MFM","AFM100","Pasture",0.0886277272322563
"REF_MFM","AFM100","Permanent_crops",0.0862707102522034
"REF_MFM","AFM100","Urban",0.0234683595934661
"REF_SFM","AFM100","Afforestation",0
"REF_SFM","AFM100","Regrowth",0
"REF_SFM","AFM100","Forest",0.0467630699254949
"REF_SFM","AFM100","Energy_crops_and_plantations",0.00796914464555011
"REF_SFM","AFM100","Annual_crops",0.087251215716243
"REF_SFM","AFM100","Pasture",0.0944708412014257
"REF_SFM","AFM100","Permanent_crops",0.0928359375907961
"REF_SFM","AFM100","Urban",0.0252330960643841
