"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",14.1034670473552,0,0
"RCP2.6_SFM","noAFM",14.1004733658597,0,0
"REF_MFM","noAFM",16.2760314384774,0,0
"REF_SFM","noAFM",16.2767552976173,0,0
"RCP2.6_MFM","AFMfree",14.1023891510911,0,0
"RCP2.6_SFM","AFMfree",14.1652690970354,0,0
"REF_MFM","AFMfree",16.2799084283635,0,0
"REF_SFM","AFMfree",16.2911352586128,0,0
"RCP2.6_MFM","AFM25",14.0963428922013,0,0
"RCP2.6_SFM","AFM25",14.1338041618348,0,0
"REF_MFM","AFM25",16.2731542790176,0,0
"REF_SFM","AFM25",16.2954937954961,0,0
"RCP2.6_MFM","AFM50",14.0946354282962,0,0
"RCP2.6_SFM","AFM50",14.1332037711404,0,0
"REF_MFM","AFM50",16.2656751917165,0,0
"REF_SFM","AFM50",16.3046427698588,0,0
"RCP2.6_MFM","AFM75",14.0878378193111,0,0
"RCP2.6_SFM","AFM75",14.1230385587159,0,0
"REF_MFM","AFM75",16.2604456954856,0,0
"REF_SFM","AFM75",16.2997713487096,0,0
"RCP2.6_MFM","AFM100",14.0852918488578,0,0
"RCP2.6_SFM","AFM100",14.1317796179136,0,0
"REF_MFM","AFM100",16.2517048583438,0,0
"REF_SFM","AFM100",16.2970622695253,0,0
