"Group","PDFx100","lower95","upper95","Year"
"RCP2.6",14.069757066044,0,0,"2020"
"REF",14.0752803966654,0,0,"2020"
"RCP2.6",13.9423170397687,0,0,"2030"
"REF",14.6876262518666,0,0,"2030"
"RCP2.6",13.9886868049709,0,0,"2040"
"REF",15.1476844380367,0,0,"2040"
"RCP2.6",14.0062538333562,0,0,"2050"
"REF",15.4989671795401,0,0,"2050"
"RCP2.6",13.9851075378624,0,0,"2060"
"REF",15.8173902798001,0,0,"2060"
"RCP2.6",14.0188820363582,0,0,"2070"
"REF",16.0480838110781,0,0,"2070"
"RCP2.6",14.1358270621706,0,0,"2080"
"REF",16.1755071482581,0,0,"2080"
"RCP2.6",14.2105138642543,0,0,"2090"
"REF",16.2458191486456,0,0,"2090"
"RCP2.6",14.1034670473552,0,0,"2100"
"REF",16.2760314384774,0,0,"2100"
