"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.256102989147303,0,0
"RCP2.6_SFM","noAFM",0.256754411261883,0,0
"REF_MFM","noAFM",0.151284963929058,0,0
"REF_SFM","noAFM",0.152490447079065,0,0
"RCP2.6_MFM","AFMfree",0.209806174645307,0,0
"RCP2.6_SFM","AFMfree",0.207390638093551,0,0
"REF_MFM","AFMfree",0.107058092327146,0,0
"REF_SFM","AFMfree",0.109512955112513,0,0
"RCP2.6_MFM","AFM25",0.213801131678158,0,0
"RCP2.6_SFM","AFM25",0.237601457083055,0,0
"REF_MFM","AFM25",0.110118021731519,0,0
"REF_SFM","AFM25",0.126831388319807,0,0
"RCP2.6_MFM","AFM50",0.223854696795662,0,0
"RCP2.6_SFM","AFM50",0.303552650010905,0,0
"REF_MFM","AFM50",0.115247213655986,0,0
"REF_SFM","AFM50",0.184543676113424,0,0
"RCP2.6_MFM","AFM75",0.247543226499402,0,0
"RCP2.6_SFM","AFM75",0.34026662208332,0,0
"REF_MFM","AFM75",0.131444840184758,0,0
"REF_SFM","AFM75",0.234476422403748,0,0
"RCP2.6_MFM","AFM100",0.264439371724407,0,0
"RCP2.6_SFM","AFM100",0.390772817661343,0,0
"REF_MFM","AFM100",0.151416776667008,0,0
"REF_SFM","AFM100",0.304026962982458,0,0
