"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Clear_cut",0.0292310117689212
"RCP2.6_MFM","noAFM","Retention",0
"RCP2.6_MFM","noAFM","Selection",0.000151896307209933
"RCP2.6_MFM","noAFM","Timber",0
"RCP2.6_MFM","noAFM","Other_management",0.0161901655790834
"RCP2.6_MFM","noAFM","EP_EU",0.0353140358322946
"RCP2.6_SFM","noAFM","Clear_cut",0.0292338021626437
"RCP2.6_SFM","noAFM","Retention",0
"RCP2.6_SFM","noAFM","Selection",0.00015172231812757
"RCP2.6_SFM","noAFM","Timber",0
"RCP2.6_SFM","noAFM","Other_management",0.01617478723037
"RCP2.6_SFM","noAFM","EP_EU",0.0353124300903407
"REF_MFM","noAFM","Clear_cut",0.0189969340639352
"REF_MFM","noAFM","Retention",0
"REF_MFM","noAFM","Selection",0.000736540629789008
"REF_MFM","noAFM","Timber",0
"REF_MFM","noAFM","Other_management",0.0126011993912723
"REF_MFM","noAFM","EP_EU",0.00828905286048246
"REF_SFM","noAFM","Clear_cut",0.0190047253832399
"REF_SFM","noAFM","Retention",0
"REF_SFM","noAFM","Selection",0.000735715763203227
"REF_SFM","noAFM","Timber",0
"REF_SFM","noAFM","Other_management",0.012604865110883
"REF_SFM","noAFM","EP_EU",0.00830314203051446
"RCP2.6_MFM","AFMfree","Clear_cut",0.0224896070752168
"RCP2.6_MFM","AFMfree","Retention",0.000800647063996618
"RCP2.6_MFM","AFMfree","Selection",0.000209222720153827
"RCP2.6_MFM","AFMfree","Timber",0
"RCP2.6_MFM","AFMfree","Other_management",0.0168564248350471
"RCP2.6_MFM","AFMfree","EP_EU",0.0344127711108782
"RCP2.6_SFM","AFMfree","Clear_cut",0.0225925737761848
"RCP2.6_SFM","AFMfree","Retention",0.000800955967445255
"RCP2.6_SFM","AFMfree","Selection",0.000180753138687841
"RCP2.6_SFM","AFMfree","Timber",0
"RCP2.6_SFM","AFMfree","Other_management",0.0167573367392617
"RCP2.6_SFM","AFMfree","EP_EU",0.0343775347294047
"REF_MFM","AFMfree","Clear_cut",0.0148841445913853
"REF_MFM","AFMfree","Retention",0.000532968136907921
"REF_MFM","AFMfree","Selection",0.000698748273033915
"REF_MFM","AFMfree","Timber",0
"REF_MFM","AFMfree","Other_management",0.013028593533361
"REF_MFM","AFMfree","EP_EU",0.00795428058199312
"REF_SFM","AFMfree","Clear_cut",0.0157956674085183
"REF_SFM","AFMfree","Retention",0.000539496560834207
"REF_SFM","AFMfree","Selection",0.000539255878007132
"REF_SFM","AFMfree","Timber",0
"REF_SFM","AFMfree","Other_management",0.0130719977847828
"REF_SFM","AFMfree","EP_EU",0.00796695555025236
"RCP2.6_MFM","AFM25","Clear_cut",0.020719721770409
"RCP2.6_MFM","AFM25","Retention",0.00063711153958659
"RCP2.6_MFM","AFM25","Selection",0.000531630801722485
"RCP2.6_MFM","AFM25","Timber",0
"RCP2.6_MFM","AFM25","Other_management",0.0167123229601608
"RCP2.6_MFM","AFM25","EP_EU",0.0348297172398055
"RCP2.6_SFM","AFM25","Clear_cut",0.0207468245415999
"RCP2.6_SFM","AFM25","Retention",0.000663148361672085
"RCP2.6_SFM","AFM25","Selection",0.000135209038123555
"RCP2.6_SFM","AFM25","Timber",0
"RCP2.6_SFM","AFM25","Other_management",0.0163318410176643
"RCP2.6_SFM","AFM25","EP_EU",0.0354471026347428
"REF_MFM","AFM25","Clear_cut",0.0153407037099798
"REF_MFM","AFM25","Retention",0.000424280758848439
"REF_MFM","AFM25","Selection",0.00091713389844262
"REF_MFM","AFM25","Timber",0
"REF_MFM","AFM25","Other_management",0.0129074338052283
"REF_MFM","AFM25","EP_EU",0.00799701248004166
"REF_SFM","AFM25","Clear_cut",0.0167270385089132
"REF_SFM","AFM25","Retention",0.000503481275013181
"REF_SFM","AFM25","Selection",0.000393073155557026
"REF_SFM","AFM25","Timber",0
"REF_SFM","AFM25","Other_management",0.0127436389542855
"REF_SFM","AFM25","EP_EU",0.00815056811871906
"RCP2.6_MFM","AFM50","Clear_cut",0.0187148443092111
"RCP2.6_MFM","AFM50","Retention",0.000457751683495342
"RCP2.6_MFM","AFM50","Selection",0.000873648605468531
"RCP2.6_MFM","AFM50","Timber",0
"RCP2.6_MFM","AFM50","Other_management",0.0162089363262643
"RCP2.6_MFM","AFM50","EP_EU",0.0352348441291205
"RCP2.6_SFM","AFM50","Clear_cut",0.0185733372969606
"RCP2.6_SFM","AFM50","Retention",0.000466607895677717
