"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.0808871094875092,0,0
"RCP2.6_SFM","noAFM",0.0808727418014819,0,0
"REF_MFM","noAFM",0.040623726945479,0,0
"REF_SFM","noAFM",0.0406484482878406,0,0
"RCP2.6_MFM","AFMfree",0.0747686728052926,0,0
"RCP2.6_SFM","AFMfree",0.0747091543509843,0,0
"REF_MFM","AFMfree",0.0370987351166812,0,0
"REF_SFM","AFMfree",0.0379133731823948,0,0
"RCP2.6_MFM","AFM25",0.0734305043116844,0,0
"RCP2.6_SFM","AFM25",0.0733241255938026,0,0
"REF_MFM","AFM25",0.0375865646525408,0,0
"REF_SFM","AFM25",0.038517800012488,0,0
"RCP2.6_MFM","AFM50",0.0714900250535598,0,0
"RCP2.6_SFM","AFM50",0.0715822537392041,0,0
"REF_MFM","AFM50",0.0370562350043114,0,0
"REF_SFM","AFM50",0.0365500158220382,0,0
"RCP2.6_MFM","AFM75",0.070191149239948,0,0
"RCP2.6_SFM","AFM75",0.0690529007716409,0,0
"REF_MFM","AFM75",0.0354252312293535,0,0
"REF_SFM","AFM75",0.0342830039000174,0,0
"RCP2.6_MFM","AFM100",0.068551847690919,0,0
"RCP2.6_SFM","AFM100",0.0668686310377832,0,0
"REF_MFM","AFM100",0.0340309470435587,0,0
"REF_SFM","AFM100",0.0312024429180619,0,0
