"Group","Scenario","Year","Category","PDFx100"
"RCP2.6","noAFM","2020","Afforestation",0
"RCP2.6","noAFM","2020","Regrowth",0
"RCP2.6","noAFM","2020","Forest",1.16150864407207
"RCP2.6","noAFM","2020","Energy_crops_and_plantations",0.0276844849534506
"RCP2.6","noAFM","2020","Annual_crops",3.08612211694768
"RCP2.6","noAFM","2020","Pasture",4.67635793008502
"RCP2.6","noAFM","2020","Permanent_crops",1.39579794684637
"RCP2.6","noAFM","2020","Urban",1.09423842925586
"REF","noAFM","2020","Afforestation",0
"REF","noAFM","2020","Regrowth",0
"REF","noAFM","2020","Forest",1.16132965945472
"REF","noAFM","2020","Energy_crops_and_plantations",0.0276918018797223
"REF","noAFM","2020","Annual_crops",3.0861251282735
"REF","noAFM","2020","Pasture",4.67638145123396
"REF","noAFM","2020","Permanent_crops",1.39578769277266
"REF","noAFM","2020","Urban",1.09423842925586
"RCP2.6","noAFM","2030","Afforestation",0
"RCP2.6","noAFM","2030","Regrowth",0
"RCP2.6","noAFM","2030","Forest",1.24648507431553
"RCP2.6","noAFM","2030","Energy_crops_and_plantations",0.210779021364728
"RCP2.6","noAFM","2030","Annual_crops",2.99517637978197
"RCP2.6","noAFM","2030","Pasture",4.37090423065402
"RCP2.6","noAFM","2030","Permanent_crops",1.39579630914183
"RCP2.6","noAFM","2030","Urban",1.09423842925586
"REF","noAFM","2030","Afforestation",0
"REF","noAFM","2030","Regrowth",0
"REF","noAFM","2030","Forest",1.2447112953819
"REF","noAFM","2030","Energy_crops_and_plantations",0.0835739479337092
"REF","noAFM","2030","Annual_crops",3.21838594957344
"REF","noAFM","2030","Pasture",4.84369680161359
"REF","noAFM","2030","Permanent_crops",1.3957973136919
"REF","noAFM","2030","Urban",1.09423842925586
"RCP2.6","noAFM","2040","Afforestation",0
"RCP2.6","noAFM","2040","Regrowth",0
"RCP2.6","noAFM","2040","Forest",1.32129382261659
"RCP2.6","noAFM","2040","Energy_crops_and_plantations",0.253682923190589
"RCP2.6","noAFM","2040","Annual_crops",3.02756962172536
"RCP2.6","noAFM","2040","Pasture",4.2500067416314
"RCP2.6","noAFM","2040","Permanent_crops",1.39579329002262
"RCP2.6","noAFM","2040","Urban",1.09423842925586
"REF","noAFM","2040","Afforestation",0
"REF","noAFM","2040","Regrowth",0
"REF","noAFM","2040","Forest",1.31502935073866
"REF","noAFM","2040","Energy_crops_and_plantations",0.0843647338680961
"REF","noAFM","2040","Annual_crops",3.37056850333139
"REF","noAFM","2040","Pasture",4.98057704794397
"REF","noAFM","2040","Permanent_crops",1.39579700635938
"REF","noAFM","2040","Urban",1.09423842925586
"RCP2.6","noAFM","2050","Afforestation",0
"RCP2.6","noAFM","2050","Regrowth",0
"RCP2.6","noAFM","2050","Forest",1.40118515226887
"RCP2.6","noAFM","2050","Energy_crops_and_plantations",0.424759440943895
"RCP2.6","noAFM","2050","Annual_crops",2.96087847207163
"RCP2.6","noAFM","2050","Pasture",4.05025181582918
"RCP2.6","noAFM","2050","Permanent_crops",1.39579409054927
"RCP2.6","noAFM","2050","Urban",1.09423842925586
"REF","noAFM","2050","Afforestation",0
"REF","noAFM","2050","Regrowth",0
"REF","noAFM","2050","Forest",1.36752820926429
"REF","noAFM","2050","Energy_crops_and_plantations",0.0865548185055232
"REF","noAFM","2050","Annual_crops",3.50380557042953
"REF","noAFM","2050","Pasture",5.07050567030519
"REF","noAFM","2050","Permanent_crops",1.39579582532631
"REF","noAFM","2050","Urban",1.09423842925586
"RCP2.6","noAFM","2060","Afforestation",0
"RCP2.6","noAFM","2060","Regrowth",0
"RCP2.6","noAFM","2060","Forest",1.48291084006888
"RCP2.6","noAFM","2060","Energy_crops_and_plantations",0.63156633612181
"RCP2.6","noAFM","2060","Annual_crops",2.87585504782901
"RCP2.6","noAFM","2060","Pasture",3.79513411843316
"RCP2.6","noAFM","2060","Permanent_crops",1.39578992526449
"RCP2.6","noAFM","2060","Urban",1.09423842925586
"REF","noAFM","2060","Afforestation",0
"REF","noAFM","2060","Regrowth",0
"REF","noAFM","2060","Forest",1.39763211871068
"REF","noAFM","2060","Energy_crops_and_plantations",0.095696497836729
"REF","noAFM","2060","Annual_crops",3.63006868818485
"REF","noAFM","2060","Pasture",5.14429325982399
"REF","noAFM","2060","Permanent_crops",1.39579650378601
"REF","noAFM","2060","Urban",1.09423842925586
"RCP2.6","noAFM","2070","Afforestation",0
"RCP2.6","noAFM","2070","Regrowth",0
"RCP2.6","noAFM","2070","Forest",1.65227847211922
"RCP2.6","noAFM","2070","Energy_crops_and_plantations",0.884657535236749
"RCP2.6","noAFM","2070","Annual_crops",2.67394436526027
"RCP2.6","noAFM","2070","Pasture",3.55479400082478
"RCP2.6","noAFM","2070","Permanent_crops",1.39578975201303
"RCP2.6","noAFM","2070","Urban",1.09423842925586
"REF","noAFM","2070","Afforestation",0
"REF","noAFM","2070","Regrowth",0
"REF","noAFM","2070","Forest",1.43279508480429
"REF","noAFM","2070","Energy_crops_and_plantations",0.105669281317791
"REF","noAFM","2070","Annual_crops",3.67363969391583
"REF","noAFM","2070","Pasture",5.1961371289575
"REF","noAFM","2070","Permanent_crops",1.39579537598268
"REF","noAFM","2070","Urban",1.09423842925586
