"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",10.247802730596,0,0
"RCP2.6_SFM","noAFM",10.248933261135,0,0
"REF_MFM","noAFM",11.3322356199547,0,0
"REF_SFM","noAFM",11.3323454516,0,0
"RCP2.6_MFM","AFMfree",10.2341852843257,0,0
"RCP2.6_SFM","AFMfree",10.2356156268328,0,0
"REF_MFM","AFMfree",11.3164772959728,0,0
"REF_SFM","AFMfree",11.3168320958056,0,0
"RCP2.6_MFM","AFM25",10.2343149060018,0,0
"RCP2.6_SFM","AFM25",10.2349968184081,0,0
"REF_MFM","AFM25",11.3160883838653,0,0
"REF_SFM","AFM25",11.3208643198099,0,0
"RCP2.6_MFM","AFM50",10.2338034024574,0,0
"RCP2.6_SFM","AFM50",10.2492411632387,0,0
"REF_MFM","AFM50",11.3160015573315,0,0
"REF_SFM","AFM50",11.3362150424182,0,0
"RCP2.6_MFM","AFM75",10.2343261028463,0,0
"RCP2.6_SFM","AFM75",10.2586839323601,0,0
"REF_MFM","AFM75",11.3196401094918,0,0
"REF_SFM","AFM75",11.3392186512867,0,0
"RCP2.6_MFM","AFM100",10.2399933087761,0,0
"RCP2.6_SFM","AFM100",10.2778998969762,0,0
"REF_MFM","AFM100",11.3225138452343,0,0
"REF_SFM","AFM100",11.3545002450819,0,0
