"Group","Scenario","Category","PDFx100"
"RCP2.6_MFM","noAFM","Afforestation",0
"RCP2.6_MFM","noAFM","Regrowth",0
"RCP2.6_MFM","noAFM","Forest",2.83425016333244
"RCP2.6_MFM","noAFM","Energy_crops_and_plantations",2.21970088825896
"RCP2.6_MFM","noAFM","Annual_crops",1.14316646239958
"RCP2.6_MFM","noAFM","Pasture",2.68989483754239
"RCP2.6_MFM","noAFM","Permanent_crops",1.17598695923389
"RCP2.6_MFM","noAFM","Urban",0.535327677526153
"RCP2.6_SFM","noAFM","Afforestation",0
"RCP2.6_SFM","noAFM","Regrowth",0
"RCP2.6_SFM","noAFM","Forest",2.83481212849528
"RCP2.6_SFM","noAFM","Energy_crops_and_plantations",2.21941964409437
"RCP2.6_SFM","noAFM","Annual_crops",1.14331462246655
"RCP2.6_SFM","noAFM","Pasture",2.68997460745634
"RCP2.6_SFM","noAFM","Permanent_crops",1.17598695923389
"RCP2.6_SFM","noAFM","Urban",0.535327677526153
"REF_MFM","noAFM","Afforestation",0
"REF_MFM","noAFM","Regrowth",0
"REF_MFM","noAFM","Forest",1.7283168491382
"REF_MFM","noAFM","Energy_crops_and_plantations",0.19538784050757
"REF_MFM","noAFM","Annual_crops",2.22498411107662
"REF_MFM","noAFM","Pasture",5.97306712694595
"REF_MFM","noAFM","Permanent_crops",1.17599068191466
"REF_MFM","noAFM","Urban",0.535327677526153
"REF_SFM","noAFM","Afforestation",0
"REF_SFM","noAFM","Regrowth",0
"REF_SFM","noAFM","Forest",1.72847047064576
"REF_SFM","noAFM","Energy_crops_and_plantations",0.195571372910621
"REF_SFM","noAFM","Annual_crops",2.22494695456249
"REF_SFM","noAFM","Pasture",5.97293777906947
"REF_SFM","noAFM","Permanent_crops",1.17599068191466
"REF_SFM","noAFM","Urban",0.535327677526153
"RCP2.6_MFM","AFMfree","Afforestation",0
"RCP2.6_MFM","AFMfree","Regrowth",0
"RCP2.6_MFM","AFMfree","Forest",2.81271126500664
"RCP2.6_MFM","AFMfree","Energy_crops_and_plantations",2.21563470988104
"RCP2.6_MFM","AFMfree","Annual_crops",1.14479423468625
"RCP2.6_MFM","AFMfree","Pasture",2.69142140977107
"RCP2.6_MFM","AFMfree","Permanent_crops",1.17598695923389
"RCP2.6_MFM","AFMfree","Urban",0.535327677526153
"RCP2.6_SFM","AFMfree","Afforestation",0
"RCP2.6_SFM","AFMfree","Regrowth",0
"RCP2.6_SFM","AFMfree","Forest",2.8126999988514
"RCP2.6_SFM","AFMfree","Energy_crops_and_plantations",2.213582480026
"RCP2.6_SFM","AFMfree","Annual_crops",1.14576261668014
"RCP2.6_SFM","AFMfree","Pasture",2.69209504232401
"RCP2.6_SFM","AFMfree","Permanent_crops",1.17598695923389
"RCP2.6_SFM","AFMfree","Urban",0.535327677526153
"REF_MFM","AFMfree","Afforestation",0
"REF_MFM","AFMfree","Regrowth",0
"REF_MFM","AFMfree","Forest",1.70268593310169
"REF_MFM","AFMfree","Energy_crops_and_plantations",0.195415804406229
"REF_MFM","AFMfree","Annual_crops",2.22487006392168
"REF_MFM","AFMfree","Pasture",5.97310616821223
"REF_MFM","AFMfree","Permanent_crops",1.17599068191466
"REF_MFM","AFMfree","Urban",0.535327677526153
"REF_SFM","AFMfree","Afforestation",0
