"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.0666953705511026,0,0,"noAFM","2020"
"RCP2.6_SFM",0.0666611274241115,0,0,"noAFM","2020"
"REF_MFM",0.0665097143102998,0,0,"noAFM","2020"
"REF_SFM",0.0665718011584624,0,0,"noAFM","2020"
"RCP2.6_MFM",0.0666110180049932,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.0669388232095875,0,0,"AFMfree","2020"
"REF_MFM",0.0665836340061946,0,0,"AFMfree","2020"
"REF_SFM",0.067057961204403,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.0665623124238135,0,0,"AFM25","2020"
"RCP2.6_SFM",0.0663336231171349,0,0,"AFM25","2020"
"REF_MFM",0.0666511565375759,0,0,"AFM25","2020"
"REF_SFM",0.0662444927907106,0,0,"AFM25","2020"
"RCP2.6_MFM",0.0667104386416881,0,0,"AFM50","2020"
"RCP2.6_SFM",0.0655427516706825,0,0,"AFM50","2020"
"REF_MFM",0.0665612466734506,0,0,"AFM50","2020"
"REF_SFM",0.065431211899545,0,0,"AFM50","2020"
"RCP2.6_MFM",0.0666761370818416,0,0,"AFM75","2020"
"RCP2.6_SFM",0.0643573081518461,0,0,"AFM75","2020"
"REF_MFM",0.066487321351881,0,0,"AFM75","2020"
"REF_SFM",0.064262818829355,0,0,"AFM75","2020"
"RCP2.6_MFM",0.0666488970686366,0,0,"AFM100","2020"
"RCP2.6_SFM",0.0628683296285865,0,0,"AFM100","2020"
"REF_MFM",0.0664727535411282,0,0,"AFM100","2020"
"REF_SFM",0.0628530346249049,0,0,"AFM100","2020"
"RCP2.6_MFM",0.0724136737106858,0,0,"noAFM","2030"
"RCP2.6_SFM",0.0723650208051239,0,0,"noAFM","2030"
"REF_MFM",0.0700017368370631,0,0,"noAFM","2030"
"REF_SFM",0.0701708535165137,0,0,"noAFM","2030"
"RCP2.6_MFM",0.0721197983640297,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.0705165942580295,0,0,"AFMfree","2030"
"REF_MFM",0.0695354541434805,0,0,"AFMfree","2030"
"REF_SFM",0.0693191703172226,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.0720674388434782,0,0,"AFM25","2030"
"RCP2.6_SFM",0.0701949199425668,0,0,"AFM25","2030"
"REF_MFM",0.0691592617052744,0,0,"AFM25","2030"
"REF_SFM",0.0688097233477677,0,0,"AFM25","2030"
"RCP2.6_MFM",0.0717439341203536,0,0,"AFM50","2030"
"RCP2.6_SFM",0.0706576402855058,0,0,"AFM50","2030"
"REF_MFM",0.069665440819086,0,0,"AFM50","2030"
"REF_SFM",0.0679452593100607,0,0,"AFM50","2030"
"RCP2.6_MFM",0.0715817268600364,0,0,"AFM75","2030"
"RCP2.6_SFM",0.0726601313500142,0,0,"AFM75","2030"
"REF_MFM",0.0691149673411078,0,0,"AFM75","2030"
"REF_SFM",0.0698871470038511,0,0,"AFM75","2030"
"RCP2.6_MFM",0.0720209661303734,0,0,"AFM100","2030"
"RCP2.6_SFM",0.0758290146209516,0,0,"AFM100","2030"
"REF_MFM",0.0695607319994939,0,0,"AFM100","2030"
"REF_SFM",0.0724667181356541,0,0,"AFM100","2030"
"RCP2.6_MFM",0.0854227956266302,0,0,"noAFM","2040"
"RCP2.6_SFM",0.0855166027151448,0,0,"noAFM","2040"
"REF_MFM",0.0771425164117248,0,0,"noAFM","2040"
"REF_SFM",0.0773969845111063,0,0,"noAFM","2040"
"RCP2.6_MFM",0.0815242416537041,0,0,"AFMfree","2040"
"RCP2.6_SFM",0.0794028730491933,0,0,"AFMfree","2040"
"REF_MFM",0.0715595615240307,0,0,"AFMfree","2040"
"REF_SFM",0.0710090951229029,0,0,"AFMfree","2040"
"RCP2.6_MFM",0.0807602411599098,0,0,"AFM25","2040"
"RCP2.6_SFM",0.0777317393080621,0,0,"AFM25","2040"
"REF_MFM",0.0718485519964898,0,0,"AFM25","2040"
"REF_SFM",0.0728290456922647,0,0,"AFM25","2040"
"RCP2.6_MFM",0.0790253265243066,0,0,"AFM50","2040"
"RCP2.6_SFM",0.0835932630946734,0,0,"AFM50","2040"
"REF_MFM",0.0724676965486247,0,0,"AFM50","2040"
"REF_SFM",0.0768952557087711,0,0,"AFM50","2040"
"RCP2.6_MFM",0.0801442497183245,0,0,"AFM75","2040"
"RCP2.6_SFM",0.0864924408439522,0,0,"AFM75","2040"
"REF_MFM",0.0732507991976699,0,0,"AFM75","2040"
"REF_SFM",0.0799081882672357,0,0,"AFM75","2040"
"RCP2.6_MFM",0.0822886342122275,0,0,"AFM100","2040"
"RCP2.6_SFM",0.0915258456973616,0,0,"AFM100","2040"
"REF_MFM",0.0752729642722461,0,0,"AFM100","2040"
"REF_SFM",0.0853427890447108,0,0,"AFM100","2040"
"RCP2.6_MFM",0.0992725220597623,0,0,"noAFM","2050"
"RCP2.6_SFM",0.100865679276637,0,0,"noAFM","2050"
"REF_MFM",0.0865077970575274,0,0,"noAFM","2050"
"REF_SFM",0.086838995278337,0,0,"noAFM","2050"
"RCP2.6_MFM",0.0883832619796419,0,0,"AFMfree","2050"
"RCP2.6_SFM",0.0895655200724875,0,0,"AFMfree","2050"
"REF_MFM",0.0746197432776364,0,0,"AFMfree","2050"
"REF_SFM",0.0739746975466709,0,0,"AFMfree","2050"
"RCP2.6_MFM",0.0907280467422695,0,0,"AFM25","2050"
"RCP2.6_SFM",0.0873827499608062,0,0,"AFM25","2050"
"REF_MFM",0.0745643558952714,0,0,"AFM25","2050"
"REF_SFM",0.0763841986373113,0,0,"AFM25","2050"
"RCP2.6_MFM",0.0905708566721329,0,0,"AFM50","2050"
"RCP2.6_SFM",0.0970216387381856,0,0,"AFM50","2050"
"REF_MFM",0.0755348297124001,0,0,"AFM50","2050"
"REF_SFM",0.0865564214902377,0,0,"AFM50","2050"
"RCP2.6_MFM",0.0900978688250789,0,0,"AFM75","2050"
"RCP2.6_SFM",0.108496463873718,0,0,"AFM75","2050"
"REF_MFM",0.0790889994693608,0,0,"AFM75","2050"
"REF_SFM",0.0894882742470839,0,0,"AFM75","2050"
"RCP2.6_MFM",0.0962668064981727,0,0,"AFM100","2050"
"RCP2.6_SFM",0.126737240779004,0,0,"AFM100","2050"
"REF_MFM",0.0814004654649123,0,0,"AFM100","2050"
"REF_SFM",0.0988556147585497,0,0,"AFM100","2050"
"RCP2.6_MFM",0.113384753319658,0,0,"noAFM","2060"
"RCP2.6_SFM",0.115088442581746,0,0,"noAFM","2060"
