"Group","PDFx100","lower95","upper95","Scenario","Year"
"RCP2.6_MFM",0.0499370576766324,0,0,"noAFM","2020"
"RCP2.6_SFM",0.0499370566775277,0,0,"noAFM","2020"
"REF_MFM",0.0499352036223288,0,0,"noAFM","2020"
"REF_SFM",0.0499348123870472,0,0,"noAFM","2020"
"RCP2.6_MFM",0.0500571673916447,0,0,"AFMfree","2020"
"RCP2.6_SFM",0.0500120281633252,0,0,"AFMfree","2020"
"REF_MFM",0.0499974376571744,0,0,"AFMfree","2020"
"REF_SFM",0.0500179680883376,0,0,"AFMfree","2020"
"RCP2.6_MFM",0.050058682855389,0,0,"AFM25","2020"
"RCP2.6_SFM",0.0500155100218863,0,0,"AFM25","2020"
"REF_MFM",0.0499348673528351,0,0,"AFM25","2020"
"REF_SFM",0.050045386398447,0,0,"AFM25","2020"
"RCP2.6_MFM",0.0499396545574383,0,0,"AFM50","2020"
"RCP2.6_SFM",0.0500189073936109,0,0,"AFM50","2020"
"REF_MFM",0.0500428294673447,0,0,"AFM50","2020"
"REF_SFM",0.0500180489903575,0,0,"AFM50","2020"
"RCP2.6_MFM",0.0499400514100355,0,0,"AFM75","2020"
"RCP2.6_SFM",0.0500528204132453,0,0,"AFM75","2020"
"REF_MFM",0.0500460293335176,0,0,"AFM75","2020"
"REF_SFM",0.0501316292010086,0,0,"AFM75","2020"
"RCP2.6_MFM",0.0499388923771867,0,0,"AFM100","2020"
"RCP2.6_SFM",0.0500404995348226,0,0,"AFM100","2020"
"REF_MFM",0.0499957741815362,0,0,"AFM100","2020"
"REF_SFM",0.0500385954957944,0,0,"AFM100","2020"
"RCP2.6_MFM",0.0506567974831698,0,0,"noAFM","2030"
"RCP2.6_SFM",0.050657003867418,0,0,"noAFM","2030"
"REF_MFM",0.0499702104208753,0,0,"noAFM","2030"
"REF_SFM",0.0499677992359942,0,0,"noAFM","2030"
"RCP2.6_MFM",0.0504237698494373,0,0,"AFMfree","2030"
"RCP2.6_SFM",0.0497594964700907,0,0,"AFMfree","2030"
"REF_MFM",0.0496950469634393,0,0,"AFMfree","2030"
"REF_SFM",0.049047891411328,0,0,"AFMfree","2030"
"RCP2.6_MFM",0.0504096560835174,0,0,"AFM25","2030"
"RCP2.6_SFM",0.0496967752677061,0,0,"AFM25","2030"
"REF_MFM",0.0495819758488311,0,0,"AFM25","2030"
"REF_SFM",0.048948521788747,0,0,"AFM25","2030"
"RCP2.6_MFM",0.0501487208628362,0,0,"AFM50","2030"
"RCP2.6_SFM",0.0495610085239294,0,0,"AFM50","2030"
"REF_MFM",0.0496066727682056,0,0,"AFM50","2030"
"REF_SFM",0.0487666045917644,0,0,"AFM50","2030"
"RCP2.6_MFM",0.0501114031463902,0,0,"AFM75","2030"
"RCP2.6_SFM",0.0495670423872951,0,0,"AFM75","2030"
"REF_MFM",0.0494982027891634,0,0,"AFM75","2030"
"REF_SFM",0.0486457663745557,0,0,"AFM75","2030"
"RCP2.6_MFM",0.0500550662571732,0,0,"AFM100","2030"
"RCP2.6_SFM",0.0493275836624845,0,0,"AFM100","2030"
"REF_MFM",0.0493830838227691,0,0,"AFM100","2030"
"REF_SFM",0.0483603777498636,0,0,"AFM100","2030"
"RCP2.6_MFM",0.0512129790181599,0,0,"noAFM","2040"
"RCP2.6_SFM",0.0512178293858796,0,0,"noAFM","2040"
"REF_MFM",0.0500118067162188,0,0,"noAFM","2040"
"REF_SFM",0.0500077360121441,0,0,"noAFM","2040"
"RCP2.6_MFM",0.0504595927162369,0,0,"AFMfree","2040"
"RCP2.6_SFM",0.0493287679800519,0,0,"AFMfree","2040"
"REF_MFM",0.0493873905765047,0,0,"AFMfree","2040"
"REF_SFM",0.0482209951975063,0,0,"AFMfree","2040"
"RCP2.6_MFM",0.050382486525974,0,0,"AFM25","2040"
"RCP2.6_SFM",0.0492437333508272,0,0,"AFM25","2040"
"REF_MFM",0.0491979124216658,0,0,"AFM25","2040"
"REF_SFM",0.0481069304872442,0,0,"AFM25","2040"
"RCP2.6_MFM",0.0500422036710576,0,0,"AFM50","2040"
"RCP2.6_SFM",0.0493657429266585,0,0,"AFM50","2040"
"REF_MFM",0.0490915173508192,0,0,"AFM50","2040"
"REF_SFM",0.0477858010160195,0,0,"AFM50","2040"
"RCP2.6_MFM",0.049993239811824,0,0,"AFM75","2040"
"RCP2.6_SFM",0.0493018356968298,0,0,"AFM75","2040"
"REF_MFM",0.048900223222246,0,0,"AFM75","2040"
"REF_SFM",0.0479799745118976,0,0,"AFM75","2040"
"RCP2.6_MFM",0.0500434103759729,0,0,"AFM100","2040"
"RCP2.6_SFM",0.0489688115342232,0,0,"AFM100","2040"
"REF_MFM",0.0487695195073505,0,0,"AFM100","2040"
"REF_SFM",0.0474621475509098,0,0,"AFM100","2040"
"RCP2.6_MFM",0.0523227091329154,0,0,"noAFM","2050"
"RCP2.6_SFM",0.0523190479334365,0,0,"noAFM","2050"
"REF_MFM",0.0502087310944149,0,0,"noAFM","2050"
"REF_SFM",0.0502037000047446,0,0,"noAFM","2050"
"RCP2.6_MFM",0.0508188303029663,0,0,"AFMfree","2050"
"RCP2.6_SFM",0.0496066459589631,0,0,"AFMfree","2050"
"REF_MFM",0.0488899304692181,0,0,"AFMfree","2050"
"REF_SFM",0.0473473818042657,0,0,"AFMfree","2050"
"RCP2.6_MFM",0.0507956725041978,0,0,"AFM25","2050"
"RCP2.6_SFM",0.0496744646468438,0,0,"AFM25","2050"
"REF_MFM",0.0486833816712908,0,0,"AFM25","2050"
"REF_SFM",0.0472353620364967,0,0,"AFM25","2050"
"RCP2.6_MFM",0.0507197003281587,0,0,"AFM50","2050"
"RCP2.6_SFM",0.0493940539877189,0,0,"AFM50","2050"
"REF_MFM",0.0485939430832028,0,0,"AFM50","2050"
"REF_SFM",0.0470706998526348,0,0,"AFM50","2050"
"RCP2.6_MFM",0.0506780948141791,0,0,"AFM75","2050"
"RCP2.6_SFM",0.0486215257156798,0,0,"AFM75","2050"
"REF_MFM",0.0484065728561171,0,0,"AFM75","2050"
"REF_SFM",0.0467093787914349,0,0,"AFM75","2050"
"RCP2.6_MFM",0.0505636477460385,0,0,"AFM100","2050"
"RCP2.6_SFM",0.0480039638640792,0,0,"AFM100","2050"
"REF_MFM",0.0484115441005792,0,0,"AFM100","2050"
"REF_SFM",0.0462939021557622,0,0,"AFM100","2050"
"RCP2.6_MFM",0.0535287859120096,0,0,"noAFM","2060"
"RCP2.6_SFM",0.0535128628398632,0,0,"noAFM","2060"
"REF_MFM",0.0502403385439225,0,0,"noAFM","2060"
"REF_SFM",0.0502336872849984,0,0,"noAFM","2060"
"RCP2.6_MFM",0.0519517715371941,0,0,"AFMfree","2060"
"RCP2.6_SFM",0.0508893316487924,0,0,"AFMfree","2060"
"REF_MFM",0.0484695135320508,0,0,"AFMfree","2060"
"REF_SFM",0.0469343775861944,0,0,"AFMfree","2060"
"RCP2.6_MFM",0.0520086521401389,0,0,"AFM25","2060"
"RCP2.6_SFM",0.050720831890359,0,0,"AFM25","2060"
"REF_MFM",0.0483027226080719,0,0,"AFM25","2060"
"REF_SFM",0.046706345252425,0,0,"AFM25","2060"
"RCP2.6_MFM",0.051750049063822,0,0,"AFM50","2060"
"RCP2.6_SFM",0.0503208078639439,0,0,"AFM50","2060"
"REF_MFM",0.0482997619015551,0,0,"AFM50","2060"
"REF_SFM",0.0461455864272164,0,0,"AFM50","2060"
"RCP2.6_MFM",0.0517282729771575,0,0,"AFM75","2060"
"RCP2.6_SFM",0.0497389771798569,0,0,"AFM75","2060"
"REF_MFM",0.0479841340705006,0,0,"AFM75","2060"
"REF_SFM",0.045670273487692,0,0,"AFM75","2060"
"RCP2.6_MFM",0.0520663497210266,0,0,"AFM100","2060"
"RCP2.6_SFM",0.0490419897041676,0,0,"AFM100","2060"
"REF_MFM",0.0478345644808963,0,0,"AFM100","2060"
"REF_SFM",0.0446286365143054,0,0,"AFM100","2060"
"RCP2.6_MFM",0.0563417353152007,0,0,"noAFM","2070"
"RCP2.6_SFM",0.0563233093695968,0,0,"noAFM","2070"
