"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",0.293587681109623,0,0
"RCP2.6_SFM","noAFM",0.293582416060218,0,0
"REF_MFM","noAFM",0.387655447734442,0,0
"REF_SFM","noAFM",0.387645067987247,0,0
"RCP2.6_MFM","AFMfree",0.290114066832704,0,0
"RCP2.6_SFM","AFMfree",0.289521046507254,0,0
"REF_MFM","AFMfree",0.3858356599907,0,0
"REF_SFM","AFMfree",0.383988809954678,0,0
"RCP2.6_MFM","AFM25",0.289340080902045,0,0
"RCP2.6_SFM","AFM25",0.286860059912664,0,0
"REF_MFM","AFM25",0.387559197017669,0,0
"REF_SFM","AFM25",0.384818938921706,0,0
"RCP2.6_MFM","AFM50",0.288547950444068,0,0
"RCP2.6_SFM","AFM50",0.284411772201467,0,0
"REF_MFM","AFM50",0.387404221431442,0,0
"REF_SFM","AFM50",0.382125286167704,0,0
"RCP2.6_MFM","AFM75",0.287588479371941,0,0
"RCP2.6_SFM","AFM75",0.281554324148403,0,0
"REF_MFM","AFM75",0.385996989489896,0,0
"REF_SFM","AFM75",0.37785617135752,0,0
"RCP2.6_MFM","AFM100",0.286104051757045,0,0
"RCP2.6_SFM","AFM100",0.27891639335634,0,0
"REF_MFM","AFM100",0.384313507526303,0,0
"REF_SFM","AFM100",0.374479673769355,0,0
