"Group","Scenario","PDFx100","lower95","upper95"
"RCP2.6_MFM","noAFM",10.336167612058,0,0
"RCP2.6_SFM","noAFM",10.3365197972412,0,0
"REF_MFM","noAFM",12.2680135247197,0,0
"REF_SFM","noAFM",12.2683070523071,0,0
"RCP2.6_MFM","AFMfree",10.3251667930165,0,0
"RCP2.6_SFM","AFMfree",10.3248895265867,0,0
"REF_MFM","AFMfree",12.2551670801389,0,0
"REF_SFM","AFMfree",12.253947555372,0,0
"RCP2.6_MFM","AFM25",10.3240071615502,0,0
"RCP2.6_SFM","AFM25",10.3254677608269,0,0
"REF_MFM","AFM25",12.257599253161,0,0
"REF_SFM","AFM25",12.2592616470737,0,0
"RCP2.6_MFM","AFM50",10.324972195798,0,0
"RCP2.6_SFM","AFM50",10.3352309736328,0,0
"REF_MFM","AFM50",12.2590180792753,0,0
"REF_SFM","AFM50",12.2707102950539,0,0
"RCP2.6_MFM","AFM75",10.3282807702383,0,0
"RCP2.6_SFM","AFM75",10.3368209457457,0,0
"REF_MFM","AFM75",12.2618650683194,0,0
"REF_SFM","AFM75",12.2785593378547,0,0
"RCP2.6_MFM","AFM100",10.3292783628147,0,0
"RCP2.6_SFM","AFM100",10.3425613172831,0,0
"REF_MFM","AFM100",12.2654149540446,0,0
"REF_SFM","AFM100",12.2905555895816,0,0
