"Scenario","Ecoregion","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0","AA0101",2050,0,0,0,NA,1.145859276e-06,7.06580736e-07,6.65118300912e-06,NA,0,0,0,0,0,0,0,0,0,0,0,3.37648e-07,0,0,0,0,0,1.70514100967398e-08,0,4.98638887908053e-08
"RCP_MFM_AF0","AA0102",2050,0,0,0,0,4.764904941e-05,1.8851014068e-05,8.8792529748e-06,2.86912389606e-06,0,0,0,0,1.113092764e-06,0,0,0,0,0,0,0,0,0,0,0,0,7.82082527138276e-07,0,6.25488378759886e-06
"RCP_MFM_AF0","AA0103",2050,0,0,0,0,7.11958884e-07,3.320876736e-06,1.4433263802e-07,2.99386841355e-05,0,0,0,0,2.1541267e-07,0,0,0,0,0,0,3.127e-08,9.66720000000000e-09,0,0,0,0,1.46796815662614e-06,0,9.5321190235774e-06
"RCP_MFM_AF0","AA0104",2050,0,0,0,0,5.57139348e-07,7.970470773e-06,1.933330014116e-06,1.4262880771e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99455609908402e-06,0,1.70079686824751e-05
"RCP_MFM_AF0","AA0105",2050,0,0,0,0,8.848076e-06,2.91920291085e-05,7.597352765528e-05,4.68998651868e-05,0,0,0,0,2.99847778e-06,0,0,0,0,0,0,8.539668302e-06,5.2550508e-08,0,0,0,0,1.35424627870654e-05,0,5.03167900698275e-05
"RCP_MFM_AF0","AA0106",2050,0,0,0,0,5.94003032e-07,6.46738947e-06,1.242964767768e-06,5.9692033552053e-05,0,0,0,0,7.02614174e-07,0,0,0,0,0,0,0,0,0,0,0,0,5.66434962568112e-06,0,3.76922637538285e-05
"RCP_MFM_AF0","AA0107",2050,0,0,0,0,1.193999976e-06,2.42037185e-06,1.7837222938839e-05,0,0,0,0,0,4.26646e-09,0,0,0,0,0,0,2.188730874e-06,0,0,0,0,0,1.38491148904048e-06,0,5.3072274217442e-06
"RCP_MFM_AF0","AA0108",2050,0,0,0,0,2.55710208e-07,1.228240944e-06,4.2324428125e-07,3.109193447121e-06,0,0,0,0,1.82159517e-07,0,0,0,0,0,0,2.5622622e-08,8.15577e-09,0,0,0,0,1.67749681921648e-07,0,1.90545649156499e-06
"RCP_MFM_AF0","AA0109",2050,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCP_MFM_AF0","AA0110",2050,0,0,0,NA,7.8648e-08,3.096e-07,1.59682044735e-06,NA,0,0,0,0,0,0,0,0,0,0,0,7.1448e-08,0,0,0,0,0,3.03450719587992e-07,0,1.07719341886536e-06
