"Scenario","Ecoregion","Year","Annual_EU_median","Permanent_EU_median","Pasture_EU_median","Urban_EU_median","Annual_RoW_median","Permanent_RoW_median","Pasture_RoW_median","Urban_RoW_median","For_ClearCut_EU_median","For_ClearCut_im_median","For_ClearCut_ex_median","For_Retention_EU_median","For_Plantation_im_median","For_TimberPlant_EU_median","For_TimberPlant_ex_median","For_SelectionSystem_EU_median","For_Selective_im_median","EP_EU_median","EP_conv_EU_median","EP_RoW_median","EP_conv_im_median","Afforested_EU_median","Afforested_RoW_median","Regrowth_median","ForOther_Extensive_EU_median","ForOther_Extensive_RoW_median","ForOther_Intensive_EU_median","ForOther_Intensive_RoW_median"
"RCP_MFM_AF0","AA0101",2010,0,0,0,NA,3.46693665e-07,2.89808505e-07,4.1710802600775e-06,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27018429197326e-09,0,1.35178067277725e-08
"RCP_MFM_AF0","AA0102",2010,0,0,0,0,1.2157311707e-05,9.2992972115e-06,8.04415993374e-06,1.382585065855e-06,0,0,0,0,5.66891374e-07,0,0,0,0,0,0,0,0,0,0,0,0,2.94697579449234e-07,0,3.44977390219353e-06
"RCP_MFM_AF0","AA0103",2010,0,0,0,0,3.024775325e-07,1.4606496495e-06,6.132962092425e-07,1.3306081838e-05,0,0,0,0,8.9827236e-08,0,0,0,0,0,0,0,0,0,0,0,0,4.14868574378884e-07,0,3.83971593317948e-06
"RCP_MFM_AF0","AA0104",2010,0,0,0,0,3.2025114e-07,4.80707476775e-06,2.98143827746e-06,8.18826829805e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15847557459156e-07,0,1.05582823143367e-05
"RCP_MFM_AF0","AA0105",2010,0,0,0,0,1.0147500363e-05,3.481962949325e-05,0.000143701738867548,4.2323014307825e-05,0,0,0,0,3.897439906e-06,0,0,0,0,0,0,0,0,0,0,0,0,6.28520258759176e-06,0,4.57918449952226e-05
"RCP_MFM_AF0","AA0106",2010,0,0,0,0,3.519116685e-07,3.6611263495e-06,3.27489993986e-06,3.26214549937433e-05,0,0,0,0,4.41045689e-07,0,0,0,0,0,0,0,0,0,0,0,0,2.33760967008513e-06,0,2.36238951666271e-05
"RCP_MFM_AF0","AA0107",2010,0,0,0,0,1.459839348e-06,2.28538957375e-06,2.113986817805e-05,0,0,0,0,0,2.799125e-09,0,0,0,0,0,0,0,0,0,0,0,0,6.35889200054442e-07,0,4.2398666502629e-06
"RCP_MFM_AF0","AA0108",2010,0,0,0,0,1.0731581825e-07,5.775511175e-07,7.402333552075e-07,1.4550556904135e-06,0,0,0,0,8.02591e-08,0,0,0,0,0,0,0,0,0,0,0,0,4.40376722204707e-08,0,7.22576299177133e-07
"RCP_MFM_AF0","AA0109",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCP_MFM_AF0","AA0110",2010,0,0,0,NA,2.002e-08,1.22808e-07,6.60222819225e-07,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5740801544567e-08,0,2.05535005578992e-07
"RCP_MFM_AF0","AA0111",2010,0,0,0,0,1.6638070875e-06,4.211242595e-06,4.5799252143925e-05,1.405497324375e-05,0,0,0,0,3.5562897e-08,0,0,0,0,0,0,0,0,0,0,0,0,1.19692695905698e-06,0,7.95755423743535e-06
"RCP_MFM_AF0","AA0112",2010,0,0,0,NA,8.0419986e-07,2.105554695e-06,2.8734306495165e-05,NA,0,0,0,0,2.90675e-09,0,0,0,0,0,0,0,0,0,0,0,0,2.32568348101925e-07,0,1.45739438556887e-06
"RCP_MFM_AF0","AA0113",2010,0,0,0,0,0,5.36168952e-06,0.00027738120485145,7.14862457946e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4168162873075e-06,0,2.21374906464421e-05
"RCP_MFM_AF0","AA0114",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RCP_MFM_AF0","AA0115",2010,0,0,0,0,7.31203707e-06,2.5875898385e-05,0.000101938673357385,4.3566174034425e-06,0,0,0,0,4.9078874205e-06,0,0,0,0,0,0,0,0,0,0,0,0,5.25734335422369e-06,0,4.16327157602951e-05
"RCP_MFM_AF0","AA0116",2010,0,0,0,0,1.3447896375e-06,6.521921722e-06,1.49577213503775e-05,1.23378267761e-06,0,0,0,0,1.47172708375e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.78984046828039e-06,0,1.24482819792593e-05
"RCP_MFM_AF0","AA0117",2010,0,0,0,0,1.7431014445e-05,5.23159506825e-06,0.00027168438607816,2.02026715779e-05,0,2.55572005e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.90496151833857e-05,0,2.39585295172534e-05
"RCP_MFM_AF0","AA0118",2010,0,0,0,0,1.50846529e-06,7.4270630625e-06,6.154026080575e-06,1.16349720397175e-05,0,0,0,0,1.071101976e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.79847902984244e-06,0,2.16374942401127e-05
"RCP_MFM_AF0","AA0119",2010,0,0,0,0,9.795433e-08,2.100225876e-05,1.331822925e-05,2.10283614776e-06,0,0,0,0,1.360980475e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.95835847457369e-05,0,0.000114336788746899
"RCP_MFM_AF0","AA0120",2010,0,0,0,0,4.3754947525e-06,1.09421804395e-05,8.354764687776e-05,1.11208252051e-05,0,0,0,0,5.3223e-09,0,0,0,0,0,0,0,0,0,0,0,0,2.48856048251748e-06,0,1.43319808470454e-05
"RCP_MFM_AF0","AA0121",2010,0,0,0,0,3.79165584e-06,3.44456846e-05,7.147921034711e-05,2.49637539885e-06,0,0,0,0,2.2057102065e-06,0,0,0,0,0,0,0,0,0,0,0,0,1.90517442656911e-06,0,1.64684176545055e-05
"RCP_MFM_AF0","AA0122",2010,0,0,0,0,4.81672246125e-06,3.6375665775e-05,7.39152231066375e-05,2.94719529455e-06,0,0,0,0,3.127311095e-06,0,0,0,0,0,0,0,0,0,0,0,0,2.80947590842641e-06,0,2.41100507331844e-05
"RCP_MFM_AF0","AA0123",2010,0,0,0,0,0.00013692393907275,3.6138473e-05,4.5191022868975e-05,0.0001085642198901,0,0,0,0,1.110962226e-06,0,0,0,0,0,0,0,0,0,0,0,0,6.00026436381918e-06,0,5.76689494958679e-05
"RCP_MFM_AF0","AA0124",2010,0,0,0,0,0.00012781690617,1.938642647125e-05,2.88806650267775e-05,6.2078854429602e-05,0,0,0,0,2.13251388e-07,0,0,0,0,0,0,0,0,0,0,0,0,8.6381845014348e-06,0,6.16376788049217e-05
"RCP_MFM_AF0","AA0125",2010,0,0,0,0,9.2184e-09,1.26247123e-07,1.4097573062475e-06,8.306796804992e-06,0,0,0,0,4.440425e-09,0,0,0,0,0,0,0,0,0,0,0,0,1.42453144962851e-07,0,5.03500276213081e-07
"RCP_MFM_AF0","AA0126",2010,0,0,0,0,6.75964475e-07,2.20027687875e-05,2.34562183394175e-05,1.0552792136075e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1869386890685e-06,0,9.93915320160626e-06
"RCP_MFM_AF0","AA0127",2010,0,0,0,0,8.2544616e-07,4.2810660395e-06,4.9082201082325e-06,1.4356227008975e-06,0,0,0,0,3.2587861e-07,0,0,0,0,0,0,0,0,0,0,0,0,1.77427887762471e-06,0,1.58905941570125e-05
